"source","target","id","developer_comments"
"balloon#db3a5a2f417faa2dfb0abcd95a444c28","[emb exp='tf.names.itsuki_p.NPC']真的会危害[emb exp='tf.names.itsuki.chiyo']吗……？","balloon#db3a5a2f417faa2dfb0abcd95a444c28","机翻辅助：

[emb exp='tf.names.itsuki_p.NPC']真的会危害[emb exp='tf.names.itsuki.chiyo']吗……？

真的是[emb exp='tf.names.itsuki_p.NPC']把[emb exp='tf.names.itsuki.chiyo']……？

真的是[emb exp='tf.names.itsuki_p.NPC']，[emb exp='tf.names.itsuki.chiyo']……？"
"balloon#133b88e511f5150c01e64f62c0a17916","不对，现在只能先假设[emb exp='tf.names.itsuki_p.NPC']是协助者。","balloon#133b88e511f5150c01e64f62c0a17916","机翻辅助：

不对，现在只能先假设[emb exp='tf.names.itsuki_p.NPC']是协助者。

不，现在只能认为[emb exp='tf.names.itsuki_p.NPC']是合作者。

不，现在只能把[emb exp='tf.names.itsuki_p.NPC']当成帮手了。"
"balloon#b92ccd3e1dde3cf418b8ce19ce52d566","为什么要这么做呢，[emb exp='tf.names.yohei.NPC']……？","balloon#b92ccd3e1dde3cf418b8ce19ce52d566","机翻辅助：

为什么要这么做呢，[emb exp='tf.names.yohei.NPC']……？

为什么要做那样的事，[emb exp='tf.names.yohei.NPC']……？

[emb exp='tf.names.yohei.NPC']，你为什么要这么做……？"
"balloon#e545fdd4eaa564fd885d313a176f1a97","喂，[emb exp='tf.names.NPC.me']没有做！","balloon#e545fdd4eaa564fd885d313a176f1a97","机翻辅助：

喂，[emb exp='tf.names.NPC.me']没有做！

哦，[emb exp='tf.names.NPC.me']没做！

[emb exp='tf.names.NPC.me']、我才没有！"
"balloon#da5aaa8f09e829e9bb9760406064b649","没想到[emb exp='tf.names.makino.NPC']会是协助者……","balloon#da5aaa8f09e829e9bb9760406064b649","机翻辅助：

没想到[emb exp='tf.names.makino.NPC']会是协助者……

没想到[emb exp='tf.names.makino.NPC']竟然是合作者……

没想到[emb exp='tf.names.makino.NPC']竟然是帮手……"
"balloon#50abe3dccad419e5e133e10c7e1dbf3f","真的不是我……","balloon#50abe3dccad419e5e133e10c7e1dbf3f","机翻辅助：

真的不是我……

真的不一样……"
"balloon#2019d1d35b007917d6f73ed7d4b8bc26","为什么要这么做……？","balloon#2019d1d35b007917d6f73ed7d4b8bc26","机翻辅助：

为什么要这么做……？

为什么那样的事……？"
"balloon#3bc6cb89e7568ee33c03e03cb0e87e88","大家相信我啊……","balloon#3bc6cb89e7568ee33c03e03cb0e87e88","机翻辅助：

大家相信我啊……

大家，相信我吧……

大家要相信我啊……"
"balloon#0273940428969852ed28d321d5696ffa","[emb exp='tf.names.itsuki_p.NPC']，请告诉我[emb exp='tf.names.itsuki.chiyo']在哪里！","balloon#0273940428969852ed28d321d5696ffa","机翻辅助：

[emb exp='tf.names.itsuki_p.NPC']，请告诉我[emb exp='tf.names.itsuki.chiyo']在哪里！

请告诉我[emb exp='tf.names.itsuki_p.NPC']、[emb exp='tf.names.itsuki.chiyo']的所在地！"
"balloon#2cd123c9b131c30ac911192fc86c9122","[emb exp='tf.names.NPC.me']也想知道啊……","balloon#2cd123c9b131c30ac911192fc86c9122","机翻辅助：

[emb exp='tf.names.NPC.me']也想知道啊……

[emb exp='tf.names.NPC.me']也知道啊……"
"message10#114e29945ced3d8021b0ba051fe38468","在大家怀疑的协助者中，最可疑的就是[font color=@1]大助[resetfont]。","message10#114e29945ced3d8021b0ba051fe38468","机翻辅助：

在大家怀疑的协助者中，最可疑的就是[font color=@1]大助[resetfont]。

作为千世的帮手，最被怀疑的是[font color=@1]大助[resetfont]。

作为千世的合作者，最令人怀疑的是大助。[font color=@1][resetfont]"
"message10#3926ce5c24974ddb57564f7429a0c5db","但是大助绝不说出千世的下落。[l]
树他们决定一起寻找千世的下落。","message10#3926ce5c24974ddb57564f7429a0c5db","机翻辅助：

但是大助绝不说出千世的下落。[l]
树他们决定一起寻找千世的下落。

但是大助并没有说出千世的去向。[l]
树他们决定合作寻找千世的去向。

但是大助绝对没有说出千世的下落。[l]
树等人决定齐心协力，寻找千世的下落。"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_陽平","阳平","speaker_陽平","机翻辅助：

阳平"
"speaker_牧野","牧野","speaker_牧野",""
"speaker_日下部","日下部","speaker_日下部",""
