"source","target","id","developer_comments"
"balloon#4a0726dfe1574d3b99ba26e1fdce4ecc","他引发“式音岛神隐”这个连续杀人事件……","balloon#4a0726dfe1574d3b99ba26e1fdce4ecc","机翻辅助：

他引发“式音岛神隐”这个连续杀人事件……

引发了“式音岛神隐”的连环杀人事件……

发生了名为“式音岛神隐”的连环杀人事件……"
"balloon#8d992d6e948e742718fa2365d6513f97","对[emb exp='tf.names.itsuki.chiyo']与[emb exp='tf.names.itsuki.iroha']下手的犯人是……","balloon#8d992d6e948e742718fa2365d6513f97","机翻辅助：

对[emb exp='tf.names.itsuki.chiyo']与[emb exp='tf.names.itsuki.iroha']下手的犯人是……

拿着[emb exp='tf.names.itsuki.chiyo']和[emb exp='tf.names.itsuki.iroha']的犯人……

指使[emb exp='tf.names.itsuki.chiyo']和[emb exp='tf.names.itsuki.iroha']的凶手是……"
"balloon#8aa9c3101bf642fa5583c8bbbf60c83b","是你，[emb exp='tf.names.itsuki.NPC']！","balloon#8aa9c3101bf642fa5583c8bbbf60c83b","机翻辅助：

是你，[emb exp='tf.names.itsuki.NPC']！"
"balloon#c0629178c3eebd834d58ab183610d95c","…………","balloon#c0629178c3eebd834d58ab183610d95c",""
"balloon#2c87a531f53461ae3f53d4dea04bc496","各位，对不起。","balloon#2c87a531f53461ae3f53d4dea04bc496","机翻辅助：

各位，对不起。

对不起，各位。"
"balloon#cf6253a09a635d7328e4c7cb4892fca7","我儿子一直死缠烂打……","balloon#cf6253a09a635d7328e4c7cb4892fca7","机翻辅助：

我儿子一直死缠烂打……

儿子继续挣扎……

儿子继续挣扎着……"
"balloon#3248ded81923682e3e78640ab744e3c9","……不对，[emb exp='tf.names.makino.jin']。","balloon#3248ded81923682e3e78640ab744e3c9","机翻辅助：

……不对，[emb exp='tf.names.makino.jin']。

……不，[emb exp='tf.names.makino.jin']。"
"balloon#be1384a81610bded22e9b2ef523dd2a5","[emb exp='tf.names.makino.me']们已经是[emb exp='tf.names.makino.itsuki']的伙伴了！","balloon#be1384a81610bded22e9b2ef523dd2a5","机翻辅助：

[emb exp='tf.names.makino.me']们已经是[emb exp='tf.names.makino.itsuki']的伙伴了！"
"balloon#b1eccb2551d56cafff8cd8c678ef967d","[emb exp='tf.names.yuuki.itsuki']，对不起，我之前一直怀疑你……","balloon#b1eccb2551d56cafff8cd8c678ef967d","机翻辅助：

[emb exp='tf.names.yuuki.itsuki']，对不起，我之前一直怀疑你……

[emb exp='tf.names.yuuki.itsuki']，到现在为止一直怀疑对不起……

[emb exp='tf.names.yuuki.itsuki']，对不起，我一直在怀疑你……"
"balloon#1c7668682f343fe550ff4225c9c36f96","不过，我不会再迷惘了。","balloon#1c7668682f343fe550ff4225c9c36f96","机翻辅助：

不过，我不会再迷惘了。

但是，我不会再犹豫了。"
"balloon#0a6c6a29d4c11a6b45d3670603e631cb","犯人一定是[emb exp='tf.names.yuuki.jin']！","balloon#0a6c6a29d4c11a6b45d3670603e631cb","机翻辅助：

犯人一定是[emb exp='tf.names.yuuki.jin']！

凶手一定是[emb exp='tf.names.yuuki.jin']！"
"balloon#153f5960a2455cf3476a967ba931acfd","啊，[emb exp='tf.names.kusakabe.me']也相信[emb exp='tf.names.kusakabe.itsuki']。","balloon#153f5960a2455cf3476a967ba931acfd","机翻辅助：

啊，[emb exp='tf.names.kusakabe.me']也相信[emb exp='tf.names.kusakabe.itsuki']。"
"balloon#e298e6de1030e5a404e4d89d8232b46d","[emb exp='tf.names.kusakabe.jin']……[l][chara_mod time=""@f1"" name=""日下部"" face=""surprise""]不对，天泽仁！","balloon#e298e6de1030e5a404e4d89d8232b46d","机翻辅助：

[emb exp='tf.names.kusakabe.jin']……[l][chara_mod time=""@f1"" name=""日下部"" face=""surprise""]不对，天泽仁！

[emb exp='tf.names.kusakabe.jin']……[l][chara_mod time=""@f1"" name=""日下部"" face=""surprise""]不，天泽仁！"
"balloon#1f409912d70b6781439874d1a2beb094","你已经无法找借口了。","balloon#1f409912d70b6781439874d1a2beb094","机翻辅助：

你已经无法找借口了。

已经不能再狡辩了。

你不能再狡辩了。"
"balloon#4ddce03bcb618e5c4e71cf43d0f5920f","怎、怎么会这样……！","balloon#4ddce03bcb618e5c4e71cf43d0f5920f","机翻辅助：

怎、怎么会这样……！

啊，怎么了……！

怎么回事……！"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_牧野","牧野","speaker_牧野",""
"speaker_結城","结城","speaker_結城","机翻辅助：

结城"
"speaker_日下部","日下部","speaker_日下部",""
"speaker_影山","影山","speaker_影山",""
