"source","target","id","developer_comments"
"balloon#8b27199f00a4663a526e918555cc385f","[emb exp='tf.names.NPC.me']が少し目を離した隙に、こんなことになってしまって……。","balloon#8b27199f00a4663a526e918555cc385f","NPC"
"balloon#9238b25bf56a5844f08800dc12ff59c4","[emb exp='tf.names.itsuki_p.NPC']……。","balloon#9238b25bf56a5844f08800dc12ff59c4","主人公"
"balloon#10c6a29ed4fd0bd6896d197e6b649ae1","ダメだダメだ、[emb exp='tf.names.NPC.me']がしっかりしなきゃ……！","balloon#10c6a29ed4fd0bd6896d197e6b649ae1","NPC"
"balloon#2a473d13d007d1aa22e94af2a2b067d6","[emb exp='tf.names.NPC.me']が知っていることを話すから、[emb exp='tf.names.NPC.itsuki']にも聞いてほしいんだ。","balloon#2a473d13d007d1aa22e94af2a2b067d6","NPC"
"balloon#f86f329f0c43015f816afdc481f7c96e","はい、なんでしょうか？","balloon#f86f329f0c43015f816afdc481f7c96e","主人公"
"balloon#6267e8943a07e2bed9f9d5a7cf5dfc6c","[emb exp='tf.names.NPC.me']が、[emb exp='tf.names.NPC.utaha']を最後に見たときのことだ。","balloon#6267e8943a07e2bed9f9d5a7cf5dfc6c","NPC"
"balloon#9e06d47c841484cd105029ffcc96e4fa","さっきも話したけど、[emb exp='tf.names.NPC.me']は[emb exp='tf.names.NPC.utaha']たちとかくれんぼをしていたんだ。","balloon#9e06d47c841484cd105029ffcc96e4fa","NPC"
"balloon#1dc9a05761429b23058c99a49415c4fb","[emb exp='tf.names.NPC.me']と[emb exp='tf.names.NPC.utaha']は、一緒に隠れ場所を探していてね。","balloon#1dc9a05761429b23058c99a49415c4fb","NPC"
"balloon#adb102c202224c81ac2b32a2444dcce3","校庭の奥に一箇所、[font color=@3]フェンス[resetfont]があるんだけど……","balloon#adb102c202224c81ac2b32a2444dcce3","NPC"
"balloon#259469d54c9b87f6c0c15faf97503c80","その近くの物陰に、[font color=@3][emb exp='tf.names.NPC.utaha']は隠れた[resetfont]んだ。[l][chara_mod time=""@f1"" name=""NPC"" face=""worry""]たしか、[font color=@3]14:57[resetfont]だったと思う。","balloon#259469d54c9b87f6c0c15faf97503c80","NPC"
"balloon#010bfa38e730603efe146d61ada7407f","[emb exp='tf.names.itsuki_p.NPC']は、[font color=@3][emb exp='tf.names.itsuki_p.utaha']がフェンスの側に隠れるのを見た[resetfont]のか。","balloon#010bfa38e730603efe146d61ada7407f","主人公"
"balloon#16acebf4ddbdb84d82fc115f63466f31","それが[emb exp='tf.names.NPC.utaha']の姿を見た、最後の状況だ。","balloon#16acebf4ddbdb84d82fc115f63466f31","NPC"
"balloon#d344278fad8b0892f8f7053987ee97b8","[emb exp='tf.names.NPC.utaha']は文字通り、忽然と姿を消してしまったんだ。","balloon#d344278fad8b0892f8f7053987ee97b8","NPC"
"balloon#82bd2f842a2c9012de7c108c85136720","“神隠し”だなんて、思いたくない。","balloon#82bd2f842a2c9012de7c108c85136720","NPC"
"balloon#1e4b33100d1e100fbef3a391bed7ccf3","誰かが、なにかを見ているはずなんだ。","balloon#1e4b33100d1e100fbef3a391bed7ccf3","NPC"
"balloon#952fbd40c3127c54bd7bea0a9cf9dd78","[font color=@3][emb exp='tf.names.NPC.utaha']がいついなくなったか[resetfont]、目撃情報を知りたいんだ。","balloon#952fbd40c3127c54bd7bea0a9cf9dd78","NPC"
"balloon#9e96cd1143fd0c4bd208955ddaa7af51","[emb exp='tf.names.itsuki_p.NPC']は、[font color=@3][emb exp='tf.names.itsuki_p.utaha']がいなくなった時間[resetfont]を知りたいのか。","balloon#9e96cd1143fd0c4bd208955ddaa7af51","主人公"
"balloon#fb52116da3cd062cf7a489de9c3b7290","初対面の[emb exp='tf.names.NPC.itsuki']に、こんなお願いするのもどうかと思っている。","balloon#fb52116da3cd062cf7a489de9c3b7290","NPC"
"balloon#47135b1c41b4f021bbf7e6345e46cad6","でもいまは、とにかく[emb exp='tf.names.NPC.utaha']の行方につながる情報が欲しいんだ。","balloon#47135b1c41b4f021bbf7e6345e46cad6","NPC"
"balloon#0f16a689af5992e6c1404c609248c815","はい、かならず調べてみせます！","balloon#0f16a689af5992e6c1404c609248c815","主人公"
"balloon#9d0235b34a9257365ccff369d994c100","ありがとう、助かるよ……。","balloon#9d0235b34a9257365ccff369d994c100","NPC"
"balloon#3ed8efd211f90492701f565d4160c121","[emb exp='tf.names.itsuki_p.utaha']がいなくなった時間か。","balloon#3ed8efd211f90492701f565d4160c121","主人公"
"balloon#9bbc566698430bec4c39c6ae30f96c1c","まずは[font color=@3][emb exp='tf.names.itsuki_p.utaha']の目撃情報[resetfont]を集めてみることから始めるか……。","balloon#9bbc566698430bec4c39c6ae30f96c1c","主人公"
"speaker_主人公","主人公","speaker_主人公",""
