"source","target","id","developer_comments"
"balloon#52711df7bd12ce69912cda6b829ef23d","因为接连得知了许多事情，
先冷静下来整理一下吧。","balloon#52711df7bd12ce69912cda6b829ef23d","机翻辅助：

因为接连得知了许多事情，
先冷静下来整理一下吧。

接连知道了很多事情，所以冷静下来整理吧。


接连明白了很多事情，所以要冷静地整理。"
"balloon#d4cc36f13cd81c244303f6a94144743e","我一边回顾笔记本，一边重新确认至今为止得知的情报。","balloon#d4cc36f13cd81c244303f6a94144743e","机翻辅助：

我一边回顾笔记本，一边重新确认至今为止得知的情报。

一边翻看笔记本，一边再次确认至今为止明白的事情。

一边翻看笔记本，一边再次确认之前了解的内容。"
"balloon#925163668617c0a91af5b0802dbedd6c","说到目前得知的，和犯人有关联的情报……","balloon#925163668617c0a91af5b0802dbedd6c","机翻辅助：

说到目前得知的，和犯人有关联的情报……

现在知道了，要说和犯人有联系的情报的话……

现在知道的可能和凶手有关的情报是……"
"balloon#e6b3d79c76762b0d2a78d148d4e98d6a","首先，[emb exp='tf.names.itsuki_p.ebihara']怀疑起出入照相馆的可疑人影。","balloon#e6b3d79c76762b0d2a78d148d4e98d6a","机翻辅助：

首先，[emb exp='tf.names.itsuki_p.ebihara']怀疑起出入照相馆的可疑人影。

首先，[emb exp='tf.names.itsuki_p.ebihara']怀疑出入照相馆的可疑人影。

[emb exp='tf.names.itsuki_p.ebihara']首先怀疑出入照相馆的可疑人影。"
"balloon#4c2b7a44c9c9ec7b4435c54d23da6685","后来才知道，那其实是[emb exp='tf.names.itsuki_p.kamishiro']。","balloon#4c2b7a44c9c9ec7b4435c54d23da6685","机翻辅助：

后来才知道，那其实是[emb exp='tf.names.itsuki_p.kamishiro']。

那个原形，判明了是[emb exp='tf.names.itsuki_p.kamishiro']。

原来是[emb exp='tf.names.itsuki_p.kamishiro']。"
"balloon#c8fc0790960d221ccff9a74352d56afa","我跟[emb exp='tf.names.itsuki_p.ebihara']两个人一起逼问[emb exp='tf.names.itsuki_p.kamishiro']，他才承认去过照相馆。","balloon#c8fc0790960d221ccff9a74352d56afa","机翻辅助：

我跟[emb exp='tf.names.itsuki_p.ebihara']两个人一起逼问[emb exp='tf.names.itsuki_p.kamishiro']，他才承认去过照相馆。

和[emb exp='tf.names.itsuki_p.ebihara']两个人追问[emb exp='tf.names.itsuki_p.kamishiro']的时候，允许出入照相馆。

我和[emb exp='tf.names.itsuki_p.ebihara']两个人质问[emb exp='tf.names.itsuki_p.kamishiro']，允许我出入照相馆。"
"balloon#4013c43fa09b48d5bbec4628db196d2a","但是[emb exp='tf.names.itsuki_p.kamishiro']说那只是去送药而已。","balloon#4013c43fa09b48d5bbec4628db196d2a","机翻辅助：

但是[emb exp='tf.names.itsuki_p.kamishiro']说那只是去送药而已。

[emb exp='tf.names.itsuki_p.kamishiro']说那只是去送药。

不过他说，他只是去送药而已。[emb exp='tf.names.itsuki_p.kamishiro']"
"balloon#a79ef43d8b97edaf0daed011be98e5ab","接下来，关于那个[emb exp='tf.names.itsuki_p.kamishiro']……","balloon#a79ef43d8b97edaf0daed011be98e5ab","机翻辅助：

接下来，关于那个[emb exp='tf.names.itsuki_p.kamishiro']……

接下来是[emb exp='tf.names.itsuki_p.kamishiro']……

接下来是那个[emb exp='tf.names.itsuki_p.kamishiro']……"
"balloon#42b6fea560c8a5524f758b9977a0c409","他怀疑在照相馆前发现的被踩熄的火柴，和那场小骚动有关。","balloon#42b6fea560c8a5524f758b9977a0c409","机翻辅助：

他怀疑在照相馆前发现的被踩熄的火柴，和那场小骚动有关。

他怀疑在照相馆前发现的被踩灭的火柴与喧嚣的关联性。

他怀疑在照相馆前发现的被踩灭的火柴与这场骚动是否有关。"
"balloon#6c2526bb24d31268004934dadfa04e72","而调查的结果，发现火柴和某人有关……","balloon#6c2526bb24d31268004934dadfa04e72","机翻辅助：

而调查的结果，发现火柴和某人有关……

然后调查的结果显示，与火柴有关的是……

调查的结果，和火柴有关的是……"
