"source","target","id","developer_comments"
"[0]/fullname","天泽树","[0]/fullname","机翻辅助：

天泽树"
"[0]/ruby","天泽伊月","[0]/ruby","机翻辅助：

天泽伊月

雨泽月

雨具"
"[0]/sysname","树","[0]/sysname","机翻辅助：

树

树、树"
"[0]/me","我","[0]/me",""
"[0]/utaha","歌叶","[0]/utaha","机翻辅助：

歌叶"
"[0]/chiyo","千世奶奶","[0]/chiyo","机翻辅助：

千世奶奶"
"[0]/iroha","彩叶","[0]/iroha","机翻辅助：

彩叶"
"[0]/yohei","小阳","[0]/yohei","机翻辅助：

小阳"
"[0]/kumiko","妈妈","[0]/kumiko","机翻辅助：

妈妈

母亲

老妈"
"[0]/kamishiro","神代医生","[0]/kamishiro","机翻辅助：

神代医生"
"[0]/mashima","真岛先生","[0]/mashima","机翻辅助：

真岛先生"
"[0]/ebihara","海老原先生","[0]/ebihara","机翻辅助：

海老原先生"
"[0]/ryo","亮先生","[0]/ryo","机翻辅助：

亮先生"
"[0]/kageyama","影山校长","[0]/kageyama","机翻辅助：

影山校长"
"[0]/yuuki","结城老师","[0]/yuuki","机翻辅助：

结城老师

结城先生"
"[0]/daisuke","大助先生","[0]/daisuke","机翻辅助：

大助先生"
"[0]/makino","牧野先生","[0]/makino","机翻辅助：

牧野先生"
"[0]/kusakabe","日下部医生","[0]/kusakabe","机翻辅助：

日下部医生

日下部先生"
"[0]/jin","爸爸","[0]/jin","机翻辅助：

爸爸

父亲"
"[0]/riku","小陆","[0]/riku","机翻辅助：

小陆"
"[0]/tetsuo","铁男先生","[0]/tetsuo","机翻辅助：

铁男先生

铁汉先生"
"[0]/yoshio","神代义雄","[0]/yoshio","机翻辅助：

神代义雄"
"[0]/akane","广濑茜","[0]/akane","机翻辅助：

广濑茜"
"[0]/rika","日下部梨花","[0]/rika","机翻辅助：

日下部梨花"
"[1]/fullname","天泽树","[1]/fullname","机翻辅助：

天泽树"
"[1]/ruby","天泽伊月","[1]/ruby","机翻辅助：

天泽伊月

雨泽月

雨具"
"[1]/sysname","树","[1]/sysname","机翻辅助：

树

树、树"
"[1]/me","我","[1]/me",""
"[1]/utaha","歌叶","[1]/utaha","机翻辅助：

歌叶"
"[1]/chiyo","千世女士","[1]/chiyo","机翻辅助：

千世女士"
"[1]/iroha","彩叶","[1]/iroha","机翻辅助：

彩叶"
"[1]/yohei","阳平","[1]/yohei","机翻辅助：

阳平"
"[1]/kumiko","久美子小姐","[1]/kumiko","机翻辅助：

久美子小姐"
"[1]/kamishiro","神代医生","[1]/kamishiro","机翻辅助：

神代医生"
"[1]/mashima","真岛先生","[1]/mashima","机翻辅助：

真岛先生"
"[1]/ebihara","海老原先生","[1]/ebihara","机翻辅助：

海老原先生"
"[1]/ryo","亮先生","[1]/ryo","机翻辅助：

亮先生"
"[1]/kageyama","影山校长","[1]/kageyama","机翻辅助：

影山校长"
"[1]/yuuki","结城老师","[1]/yuuki","机翻辅助：

结城老师

结城先生"
"[1]/daisuke","大助先生","[1]/daisuke","机翻辅助：

大助先生"
"[1]/makino","牧野先生","[1]/makino","机翻辅助：

牧野先生"
"[1]/kusakabe","日下部医生","[1]/kusakabe","机翻辅助：

日下部医生

日下部先生"
"[1]/jin","爸爸","[1]/jin","机翻辅助：

爸爸

父亲"
"[1]/riku","小陆","[1]/riku","机翻辅助：

小陆"
"[1]/tetsuo","铁男先生","[1]/tetsuo","机翻辅助：

铁男先生

铁汉先生"
"[2]/fullname","一之濑歌叶","[2]/fullname","机翻辅助：

一之濑歌叶"
"[2]/ruby","一之濑歌叶","[2]/ruby","机翻辅助：

一之濑歌叶

一个正则波

一首歌曲"
"[2]/sysname","歌叶","[2]/sysname","机翻辅助：

歌叶"
"[2]/me","我","[2]/me","机翻辅助：

我

本人"
"[2]/itsuki","小树","[2]/itsuki","机翻辅助：

小树"
"[2]/chiyo","千世奶奶","[2]/chiyo","机翻辅助：

千世奶奶"
"[2]/iroha","姐姐","[2]/iroha",""
"[2]/yohei","小阳","[2]/yohei","机翻辅助：

小阳"
"[2]/kumiko","久美子小姐","[2]/kumiko","机翻辅助：

久美子小姐"
"[2]/kamishiro","神代医生","[2]/kamishiro","机翻辅助：

神代医生"
"[2]/mashima","真岛先生","[2]/mashima","机翻辅助：

真岛先生"
"[2]/ebihara","海老原先生","[2]/ebihara","机翻辅助：

海老原先生"
"[2]/ryo","亮先生","[2]/ryo","机翻辅助：

亮先生"
"[2]/kageyama","影山校长","[2]/kageyama","机翻辅助：

影山校长"
"[2]/yuuki","结城老师","[2]/yuuki","机翻辅助：

结城老师

结城先生"
"[2]/daisuke","大助叔叔","[2]/daisuke","机翻辅助：

大助叔叔"
"[2]/makino","牧野先生","[2]/makino","机翻辅助：

牧野先生"
"[2]/kusakabe","日下部医生","[2]/kusakabe","机翻辅助：

日下部医生

日下部先生"
"[2]/jin","仁先生","[2]/jin","机翻辅助：

仁先生"
"[2]/riku","小陆","[2]/riku","机翻辅助：

小陆"
"[2]/tetsuo","铁男爷爷","[2]/tetsuo","机翻辅助：

铁男爷爷

铁汉爷爷"
"[3]/fullname","一之濑歌叶","[3]/fullname","机翻辅助：

一之濑歌叶"
"[3]/ruby","一之濑歌叶","[3]/ruby","机翻辅助：

一之濑歌叶

一首歌曲

一个正则波"
"[3]/sysname","歌叶","[3]/sysname","机翻辅助：

歌叶"
"[3]/me","我","[3]/me","机翻辅助：

我

我、我"
"[3]/itsuki","哥哥","[3]/itsuki",""
"[3]/chiyo","奶奶","[3]/chiyo",""
"[3]/iroha","姐姐","[3]/iroha",""
"[3]/yohei","小阳","[3]/yohei","机翻辅助：

小阳

阿酱"
"[3]/kumiko","久美子阿姨","[3]/kumiko","机翻辅助：

久美子阿姨

女佣阿姨"
"[3]/kamishiro","神原老师","[3]/kamishiro","机翻辅助：

神原老师

纸芯线

神城老师"
"[3]/mashima","真岛先生","[3]/mashima","机翻辅助：

真岛先生

条纹酸"
"[3]/ebihara","海老原先生","[3]/ebihara","机翻辅助：

海老原先生

虾原酸"
"[3]/ryo","亮先生","[3]/ryo","机翻辅助：

亮先生

廖叔叔

辽叔叔"
"[3]/kageyama","凉介老师","[3]/kageyama","机翻辅助：

凉介老师

可调性

校长老师"
"[3]/yuuki","雄也老师","[3]/yuuki","机翻辅助：

雄也老师

有机纤维

勇气老师"
"[3]/daisuke","大助先生","[3]/daisuke","机翻辅助：

大助先生

大助叔叔

大介叔叔"
"[3]/riku","阿陆","[3]/riku","机翻辅助：

阿陆

李君

理君"
"[3]/tetsuo","爷爷","[3]/tetsuo","机翻辅助：

爷爷

爷爷，爷爷"
"[4]/fullname","佐仓千世","[4]/fullname","机翻辅助：

佐仓千世"
"[4]/ruby","佐仓千世","[4]/ruby","机翻辅助：

佐仓千世

樱千代

樱花树"
"[4]/sysname","千世","[4]/sysname",""
"[4]/me","我","[4]/me","机翻辅助：

我

本人"
"[4]/itsuki","小树","[4]/itsuki","机翻辅助：

小树"
"[4]/utaha","歌叶","[4]/utaha","机翻辅助：

歌叶"
"[4]/iroha","彩叶","[4]/iroha","机翻辅助：

彩叶"
"[4]/yohei","阳平","[4]/yohei","机翻辅助：

阳平"
"[4]/kumiko","久美子","[4]/kumiko",""
"[4]/kamishiro","神代医生","[4]/kamishiro","机翻辅助：

神代医生"
"[4]/mashima","真岛先生","[4]/mashima","机翻辅助：

真岛先生"
"[4]/ebihara","海老原先生","[4]/ebihara","机翻辅助：

海老原先生"
"[4]/ryo","亮先生","[4]/ryo","机翻辅助：

亮先生"
"[4]/kageyama","影山校长","[4]/kageyama","机翻辅助：

影山校长"
"[4]/yuuki","结城老师","[4]/yuuki","机翻辅助：

结城老师

结城先生"
"[4]/daisuke","大助","[4]/daisuke","机翻辅助：

大助

口大助曾经"
"[4]/makino","牧野先生","[4]/makino","机翻辅助：

牧野先生"
"[4]/kusakabe","日下部医生","[4]/kusakabe","机翻辅助：

日下部医生

日下部先生"
"[4]/jin","仁先生","[4]/jin","机翻辅助：

仁先生"
"[4]/riku","陆","[4]/riku","机翻辅助：

陆

陆地"
"[4]/tetsuo","爷爷","[4]/tetsuo","机翻辅助：

爷爷

爷爷，爷爷"
"[5]/fullname","佐仓千世","[5]/fullname","机翻辅助：

佐仓千世"
"[5]/ruby","佐仓千世","[5]/ruby","机翻辅助：

佐仓千世

樱千代

樱花树"
"[5]/sysname","千世","[5]/sysname",""
"[5]/me","我","[5]/me","机翻辅助：

我

本人"
"[5]/itsuki","小树","[5]/itsuki","机翻辅助：

小树"
"[5]/utaha","歌叶","[5]/utaha","机翻辅助：

歌叶"
"[5]/iroha","彩叶","[5]/iroha","机翻辅助：

彩叶"
"[5]/yohei","阳平","[5]/yohei","机翻辅助：

阳平"
"[5]/kumiko","久美子","[5]/kumiko",""
"[5]/kamishiro","神代医生","[5]/kamishiro","机翻辅助：

神代医生"
"[5]/mashima","真岛先生","[5]/mashima","机翻辅助：

真岛先生"
"[5]/ebihara","海老原先生","[5]/ebihara","机翻辅助：

海老原先生"
"[5]/ryo","亮先生","[5]/ryo","机翻辅助：

亮先生"
"[5]/kageyama","影山校长","[5]/kageyama","机翻辅助：

影山校长"
"[5]/yuuki","结城老师","[5]/yuuki","机翻辅助：

结城老师

结城先生"
"[5]/daisuke","大助","[5]/daisuke","机翻辅助：

大助

口大助曾经"
"[5]/riku","阿陆","[5]/riku","机翻辅助：

阿陆

理君

李君"
"[5]/tetsuo","爷爷","[5]/tetsuo","机翻辅助：

爷爷

爷爷，爷爷"
"[6]/fullname","一之濑彩叶","[6]/fullname","机翻辅助：

一之濑彩叶"
"[6]/ruby","一之濑伊罗","[6]/ruby","机翻辅助：

一之濑伊罗

一色叶

一个正滤波器"
"[6]/sysname","彩叶","[6]/sysname","机翻辅助：

彩叶"
"[6]/me","我","[6]/me","机翻辅助：

我

本人"
"[6]/itsuki","小树","[6]/itsuki","机翻辅助：

小树"
"[6]/utaha","歌叶","[6]/utaha","机翻辅助：

歌叶"
"[6]/chiyo","千世奶奶","[6]/chiyo","机翻辅助：

千世奶奶"
"[6]/yohei","阳平","[6]/yohei","机翻辅助：

阳平"
"[6]/kumiko","久美子小姐","[6]/kumiko","机翻辅助：

久美子小姐"
"[6]/kamishiro","神代医生","[6]/kamishiro","机翻辅助：

神代医生"
"[6]/mashima","真岛先生","[6]/mashima","机翻辅助：

真岛先生"
"[6]/ebihara","海老原先生","[6]/ebihara","机翻辅助：

海老原先生"
"[6]/ryo","亮先生","[6]/ryo","机翻辅助：

亮先生"
"[6]/kageyama","影山校长","[6]/kageyama","机翻辅助：

影山校长"
"[6]/yuuki","结城老师","[6]/yuuki","机翻辅助：

结城老师

结城先生"
"[6]/daisuke","大助叔叔","[6]/daisuke","机翻辅助：

大助叔叔"
"[6]/makino","牧野先生","[6]/makino","机翻辅助：

牧野先生"
"[6]/kusakabe","日下部医生","[6]/kusakabe","机翻辅助：

日下部医生

日下部先生"
"[6]/jin","仁先生","[6]/jin","机翻辅助：

仁先生"
"[6]/riku","陆","[6]/riku","机翻辅助：

陆

陆地"
"[6]/tetsuo","铁男爷爷","[6]/tetsuo","机翻辅助：

铁男爷爷

铁汉爷爷"
"[7]/fullname","一之濑彩叶","[7]/fullname","机翻辅助：

一之濑彩叶"
"[7]/ruby","一之濑伊罗","[7]/ruby","机翻辅助：

一之濑伊罗

一色叶

一个正滤波器"
"[7]/sysname","彩叶","[7]/sysname","机翻辅助：

彩叶"
"[7]/me","我","[7]/me","机翻辅助：

我

我、我"
"[7]/itsuki","哥哥","[7]/itsuki",""
"[7]/utaha","歌叶","[7]/utaha","机翻辅助：

歌叶

歌是

歌波"
"[7]/chiyo","奶奶","[7]/chiyo",""
"[7]/yohei","小阳","[7]/yohei","机翻辅助：

小阳

阿酱"
"[7]/kumiko","久美子阿姨","[7]/kumiko","机翻辅助：

久美子阿姨

女佣阿姨"
"[7]/kamishiro","神原老师","[7]/kamishiro","机翻辅助：

神原老师

纸芯线

神城老师"
"[7]/mashima","真岛先生","[7]/mashima","机翻辅助：

真岛先生

条纹酸"
"[7]/ebihara","海老原先生","[7]/ebihara","机翻辅助：

海老原先生

虾原酸"
"[7]/ryo","亮先生","[7]/ryo","机翻辅助：

亮先生

廖叔叔

辽叔叔"
"[7]/kageyama","凉介老师","[7]/kageyama","机翻辅助：

凉介老师

可调性

校长老师"
"[7]/yuuki","雄也老师","[7]/yuuki","机翻辅助：

雄也老师

有机纤维

勇气老师"
"[7]/daisuke","大助先生","[7]/daisuke","机翻辅助：

大助先生

大助叔叔

大介叔叔"
"[7]/riku","阿陆","[7]/riku","机翻辅助：

阿陆

理君

李君"
"[7]/tetsuo","爷爷","[7]/tetsuo","机翻辅助：

爷爷

爷爷，爷爷"
"[8]/fullname","佐仓阳平","[8]/fullname","机翻辅助：

佐仓阳平"
"[8]/ruby","佐仓阳平","[8]/ruby","机翻辅助：

佐仓阳平

樱花瓣

樱花洋兵"
"[8]/sysname","阳平","[8]/sysname","机翻辅助：

阳平"
"[8]/me","我","[8]/me",""
"[8]/itsuki","树","[8]/itsuki","机翻辅助：

树

树、树"
"[8]/utaha","歌叶","[8]/utaha","机翻辅助：

歌叶"
"[8]/chiyo","千世奶奶","[8]/chiyo","机翻辅助：

千世奶奶"
"[8]/iroha","彩叶","[8]/iroha","机翻辅助：

彩叶"
"[8]/kumiko","久美子小姐","[8]/kumiko","机翻辅助：

久美子小姐"
"[8]/kamishiro","神代医生","[8]/kamishiro","机翻辅助：

神代医生"
