"source","target","id","developer_comments"
"balloon#79aa33e6a19552a7980a2019062e569d","本当に[emb exp='tf.names.itsuki_p.NPC']が、[emb exp='tf.names.itsuki_p.utaha']を……？","balloon#79aa33e6a19552a7980a2019062e569d","主人公"
"balloon#1e3a92ba3c64259df443dc9eb16ac6b1","いや、今はとにかく[emb exp='tf.names.itsuki_p.NPC']を犯人と考えるしかない。","balloon#1e3a92ba3c64259df443dc9eb16ac6b1","主人公"
"balloon#28ebf7581862d1f564198b0e5c92a434","[emb exp='tf.names.itsuki_p.mashima']、[emb exp='tf.names.itsuki_p.NPC']を拘束してください！","balloon#28ebf7581862d1f564198b0e5c92a434","主人公"
"balloon#4deadf9137fa9d9fa221827e35702554","[emb exp='tf.names.itsuki_p.NPC']、お願いします。","balloon#4deadf9137fa9d9fa221827e35702554","主人公"
"balloon#28187f32940a368fd1f851b50f78448e","[emb exp='tf.names.itsuki_p.utaha']の居場所を、教えてください……！","balloon#28187f32940a368fd1f851b50f78448e","主人公"
"balloon#a1588556b128fe7d461651fe45fa6bfa","し、知らない！","balloon#a1588556b128fe7d461651fe45fa6bfa","NPC"
"balloon#abc6aa7dd3beae4b684dcb0f4721da24","[emb exp='tf.names.NPC.me']だって[emb exp='tf.names.NPC.utaha']を捜してるんだ！","balloon#abc6aa7dd3beae4b684dcb0f4721da24","NPC"
"balloon#8477179a5593d689cfdb5c410a1d7b63","まさか、身内の犯行だとはねぇ……。","balloon#8477179a5593d689cfdb5c410a1d7b63","影山"
"balloon#867a5b7df0f45d81166b3ec580a77daa","ぼ、[emb exp='tf.names.NPC.me']は犯人じゃありません！","balloon#867a5b7df0f45d81166b3ec580a77daa","NPC"
"balloon#60cd06e84b4f4f8572b34d6e491bd087","どうして[emb exp='tf.names.yuuki_p.utaha']を連れ去ったんですか……？","balloon#60cd06e84b4f4f8572b34d6e491bd087","結城"
"balloon#4aae5a0c614967e72ec96344db9c2f82","ゆ、[emb exp='tf.names.NPC.yuuki']まで……。","balloon#4aae5a0c614967e72ec96344db9c2f82","NPC"
"balloon#52d54a35208acc75f128ba2f1d37cd99","彼の身柄を押さえておけば、[emb exp='tf.names.mashima_p.utaha']に危害を加えることはできないでしょう。","balloon#52d54a35208acc75f128ba2f1d37cd99","真島"
"balloon#f42d373031794040f9e7f20686e6404a","さぁ、ついて来てもらいましょうか。","balloon#f42d373031794040f9e7f20686e6404a","真島"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#bc031d773626b5b7a7bbdde051858fdc","仕方ありませんね、いまは大人しく従いましょう。","balloon#bc031d773626b5b7a7bbdde051858fdc","NPC"
"balloon#a847c7a6bde2b182c3af5226cfe550e1","でも、罪を認めるわけじゃありません。","balloon#a847c7a6bde2b182c3af5226cfe550e1","NPC"
"balloon#6764c78b3dafcefc3f564a2eef122c2e","[emb exp='tf.names.NPC.me']の無実は、すぐ明らかになるはずです。","balloon#6764c78b3dafcefc3f564a2eef122c2e","NPC"
"message10#cbdbebc52b197c90626d072a2b287653","最も犯人として疑われた、[font color=@1]亮[resetfont]が拘束された。","message10#cbdbebc52b197c90626d072a2b287653",""
"message10#d025b5ea04fc2a3106b86a81cc106725","歌葉が見つかるまで、亮の拘束が解かれることはなかった。","message10#d025b5ea04fc2a3106b86a81cc106725",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_影山","影山","speaker_影山",""
"speaker_結城","結城","speaker_結城",""
"speaker_真島","真島","speaker_真島",""
