"source","target","id","developer_comments"
"balloon#9a9651793c57705c4f22407e7b0b73a4","これまで、黙って[emb exp='tf.names.NPC.itsuki']のことを見守ってきたが……","balloon#9a9651793c57705c4f22407e7b0b73a4","NPC"
"balloon#e4b486b772d8a35d3b6603304e77127f","もはや逃れようがない状況だと、[emb exp='tf.names.NPC.me']は感じている。","balloon#e4b486b772d8a35d3b6603304e77127f","NPC"
"balloon#2db630ab960b88566244820fbfd1ced2","できれば、最後まで信じてやりたかった……。","balloon#2db630ab960b88566244820fbfd1ced2","NPC"
"balloon#e4407775a49ed79ee5676408b19a18a4","だが、我が子が罪を犯したのであれば……[l][chara_mod time=""@f1"" name=""NPC"" face=""sad""]それを償わせるのも、親の責任だ。","balloon#e4407775a49ed79ee5676408b19a18a4","NPC"
"balloon#986e8a941c10be3af63c2952577c5006","[emb exp='tf.names.NPC.itsuki']、もう自首しなさい。","balloon#986e8a941c10be3af63c2952577c5006","NPC"
"balloon#698e5e010696f522cb280bfaba0f643c","そ、そんな……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]違うよ、[emb exp='tf.names.itsuki.NPC']！","balloon#698e5e010696f522cb280bfaba0f643c","主人公"
"balloon#71817b8d5a7ea24c4d782b1875203037","[emb exp='tf.names.itsuki.me']は、絶対にやってない！","balloon#71817b8d5a7ea24c4d782b1875203037","主人公"
"balloon#8eb2510d2a700f98db5a93df3bcf9a7d","お願いだから、信じてよ！","balloon#8eb2510d2a700f98db5a93df3bcf9a7d","主人公"
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","NPC"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#e16afc7d93ca6a924730e35aaae2f09a","[emb exp='tf.names.NPC.me']に手伝ってやれることが、あるとするなら……","balloon#e16afc7d93ca6a924730e35aaae2f09a","NPC"
"balloon#8ac7f0905c62ef65cc26e18e4ea71c5c","……う、うん！","balloon#8ac7f0905c62ef65cc26e18e4ea71c5c","主人公"
"balloon#92924227e607b3ee7cd4ac1c5af36c01","[emb exp='tf.names.NPC.itsuki']、これを見ろ。","balloon#92924227e607b3ee7cd4ac1c5af36c01","NPC"
"balloon#6db1b7b9e0a08b8d346237360df3dd26","これは……[l][chara_mod time=""@f1"" name=""主人公"" face=""what""]船の乗船券？","balloon#6db1b7b9e0a08b8d346237360df3dd26","主人公"
"balloon#edbfb9059696bad5c100420b4f8acc52","ああ、そうだ……。","balloon#edbfb9059696bad5c100420b4f8acc52","NPC"
"balloon#f53750ef12d64679e08eb08dc27bead0","[emb exp='tf.names.NPC.me']が昨夜乗った夜行フェリーの乗船券だ。","balloon#f53750ef12d64679e08eb08dc27bead0","NPC"
"balloon#ef41f081a78d6964e262837432a6df5b","これを見れば[font color=@3]21:30から6:20の間[resetfont]、[emb exp='tf.names.NPC.me']にアリバイがあったと誰にでもわかるだろう。","balloon#ef41f081a78d6964e262837432a6df5b","NPC"
"balloon#cda5a36d20e867e40f631516812aea71","そうだ、[font color=@3][emb exp='tf.names.itsuki.NPC']のアリバイ[resetfont]は、誰の目にも明らかだ。","balloon#cda5a36d20e867e40f631516812aea71","主人公"
"balloon#43acda31a2c823ad1ad325e28821ab1c","いいか、[emb exp='tf.names.NPC.itsuki']。","balloon#43acda31a2c823ad1ad325e28821ab1c","NPC"
"balloon#8731f345b8c76725fc5313b20eb76536","アリバイだ、なんとしてもアリバイを手に入れろ。","balloon#8731f345b8c76725fc5313b20eb76536","NPC"
"balloon#091dc6adce2fbb6d7bcd60ffccfc4f16","そうすれば、お前が[emb exp='tf.names.NPC.chiyo']を殺害した凶器を手にしていたとしても……","balloon#091dc6adce2fbb6d7bcd60ffccfc4f16","NPC"
"balloon#7db15bbf688a80d0ddbb4bba2168518b","お前がどれほど疑わしくとも、捕まることはないはずだ。","balloon#7db15bbf688a80d0ddbb4bba2168518b","NPC"
"balloon#2437f1a8edd5bce7baf29385f7af1b26","[emb exp='tf.names.NPC.itsuki']、どうか父さんに[font color=@3]お前を信じさせて[resetfont]くれ。","balloon#2437f1a8edd5bce7baf29385f7af1b26","NPC"
"balloon#03519a845f724669424ee2140b134a4f","[emb exp='tf.names.itsuki.NPC']……。","balloon#03519a845f724669424ee2140b134a4f","主人公"
"balloon#072b848b85f92bc821768f6c6e3a8b75","なんとしても、アリバイを証明してみせるんだぞ。","balloon#072b848b85f92bc821768f6c6e3a8b75","NPC"
"balloon#c9eed18b21ffaa0dddf462e14545d340","うん……[l][chara_mod time=""@f1"" name=""主人公"" face=""smile""][emb exp='tf.names.itsuki.NPC']に信用してもらえるよう、頑張るよ！","balloon#c9eed18b21ffaa0dddf462e14545d340","主人公"
"balloon#6f4e484b887c442cedc6cf94699eb84b","ああ……[l][chara_mod time=""@f1"" name=""NPC"" face=""laugh""]期待しているぞ。","balloon#6f4e484b887c442cedc6cf94699eb84b","NPC"
"speaker_主人公","主人公","speaker_主人公",""
