"source","target","id","developer_comments"
"balloon#8c402cf0e28fdf76654e96fa4d74a332","没想到，大家居然会怀疑[emb exp='tf.names.itsuki_p.me']是犯人！","balloon#8c402cf0e28fdf76654e96fa4d74a332","机翻辅助：

没想到，大家居然会怀疑[emb exp='tf.names.itsuki_p.me']是犯人！

不会吧，[emb exp='tf.names.itsuki_p.me']竟然被大家怀疑是犯人！

怎么可能，大家会怀疑[emb exp='tf.names.itsuki_p.me']是凶手！"
"balloon#5eba83db2f11d594c3aac4b9257e142b","[emb exp='tf.names.ryo_p.itsuki']，告诉我[emb exp='tf.names.ryo_p.utaha']在哪里！","balloon#5eba83db2f11d594c3aac4b9257e142b","机翻辅助：

[emb exp='tf.names.ryo_p.itsuki']，告诉我[emb exp='tf.names.ryo_p.utaha']在哪里！

请告诉我[emb exp='tf.names.ryo_p.itsuki']、[emb exp='tf.names.ryo_p.utaha']的所在地吧！

[emb exp='tf.names.ryo_p.itsuki']，告诉我[emb exp='tf.names.ryo_p.utaha']在哪里吧！"
"balloon#07ddaa8fadefe4880d072b9cae1c7102","不知道，[emb exp='tf.names.itsuki_p.me']也在找[emb exp='tf.names.itsuki_p.utaha']！","balloon#07ddaa8fadefe4880d072b9cae1c7102","机翻辅助：

不知道，[emb exp='tf.names.itsuki_p.me']也在找[emb exp='tf.names.itsuki_p.utaha']！

[emb exp='tf.names.itsuki_p.me']不知道，我也在找[emb exp='tf.names.itsuki_p.utaha']！"
"balloon#7d053195cd6ee732fc76d104e8a75986","我以为除了[emb exp='tf.names.kageyama_p.itsuki']以外，没有其他犯人了。","balloon#7d053195cd6ee732fc76d104e8a75986","机翻辅助：

我以为除了[emb exp='tf.names.kageyama_p.itsuki']以外，没有其他犯人了。

除了[emb exp='tf.names.kageyama_p.itsuki']以外，我还以为没有犯人呢。

我以为除了[emb exp='tf.names.kageyama_p.itsuki']以外，没有犯人。"
"balloon#6d128548377dfaf411dec645c6279f57","[emb exp='tf.names.itsuki.me']不是犯人！","balloon#6d128548377dfaf411dec645c6279f57","机翻辅助：

[emb exp='tf.names.itsuki.me']不是犯人！

[emb exp='tf.names.itsuki.me']、我不是犯人！

[emb exp='tf.names.itsuki.me']、我不是凶手！"
"balloon#fb2fdeadd1fc2ae31f46107b1204fb5c","……犯人果然是你吗？","balloon#fb2fdeadd1fc2ae31f46107b1204fb5c","机翻辅助：

……犯人果然是你吗？

……你果然是凶手吗？

……果然，你是犯人吗？"
"balloon#153b6f126c02fb24128c63db249d5cbc","居然连[emb exp='tf.names.itsuki.yuuki']都……","balloon#153b6f126c02fb24128c63db249d5cbc","机翻辅助：

居然连[emb exp='tf.names.itsuki.yuuki']都……

连[emb exp='tf.names.itsuki.yuuki']都……"
"balloon#ae4e2633d8e21dc3a506a40b081dcf65","只要抓住你，他就无法危害[emb exp='tf.names.mashima_p.utaha']了吧。","balloon#ae4e2633d8e21dc3a506a40b081dcf65","机翻辅助：

只要抓住你，他就无法危害[emb exp='tf.names.mashima_p.utaha']了吧。

如果扣留你的身世，就不会危害[emb exp='tf.names.mashima_p.utaha']了啊。

只要抓住你，就不能伤害[emb exp='tf.names.mashima_p.utaha']。"
"balloon#229e7fb74954fa53c6bc17e701a7567d","好了，跟我来吧。","balloon#229e7fb74954fa53c6bc17e701a7567d","机翻辅助：

好了，跟我来吧。

来，跟我来吧。

那么，请跟我来吧。"
"balloon#db47f98f4ac90bd3008ce6ae92906f30","真的不是我……","balloon#db47f98f4ac90bd3008ce6ae92906f30","机翻辅助：

真的不是我……

真的不是……

真的，不一样……"
"message10#7496a6595c86b91759001fccc575e494","最被怀疑为犯人的[font color=@1]树[resetfont]被逮捕了。","message10#7496a6595c86b91759001fccc575e494","机翻辅助：

最被怀疑为犯人的[font color=@1]树[resetfont]被逮捕了。

最被怀疑是犯人的树[font color=@1]被拘留了。[resetfont]

最被怀疑是犯人的树被拘留了。[font color=@1][resetfont]"
"message10#02d581cbb52da56dcecb245f2ab43860","在找到歌叶之前，树一直被关押着。","message10#02d581cbb52da56dcecb245f2ab43860","机翻辅助：

在找到歌叶之前，树一直被关押着。

在找到歌叶之前，树的约束没有被解除。

在找到歌叶之前，树的束缚是不会解除的。"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_亮","亮","speaker_亮",""
"speaker_影山","影山","speaker_影山",""
"speaker_結城","结城","speaker_結城","机翻辅助：

结城"
"speaker_真島","真岛","speaker_真島","机翻辅助：

真岛"
