"source","target","id","developer_comments"
"balloon#8961a87b36ecc45453bf5edc2a38f136","再这样下去，[emb exp='tf.names.itsuki_p.utaha']的下落就永远成谜了……！","balloon#8961a87b36ecc45453bf5edc2a38f136","机翻辅助：

再这样下去，[emb exp='tf.names.itsuki_p.utaha']的下落就永远成谜了……！

这样下去的话，[emb exp='tf.names.itsuki_p.utaha']的行踪就不知道了……！

再这样下去，[emb exp='tf.names.itsuki_p.utaha']的行踪就永远不会知道了……！"
"balloon#42ebfd89a6d5e2eeda3348a4dfe1b484","无论如何都要揪出犯人！","balloon#42ebfd89a6d5e2eeda3348a4dfe1b484","机翻辅助：

无论如何都要揪出犯人！

无论如何也要查出犯人！

无论如何也要找出凶手！"
"balloon#e225433f8c98520e12b43af92333f3d2","说到[emb exp='tf.names.itsuki_p.me']能做的事……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]就只有那个了。","balloon#e225433f8c98520e12b43af92333f3d2","机翻辅助：

说到[emb exp='tf.names.itsuki_p.me']能做的事……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]就只有那个了。

要说[emb exp='tf.names.itsuki_p.me']能做的只有那个。[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]

[emb exp='tf.names.itsuki_p.me']能做的就是……只有那个了。[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]"
"balloon#f6fca4fff580b07c2050f667fd1f495b","各位，请等一下！","balloon#f6fca4fff580b07c2050f667fd1f495b","机翻辅助：

各位，请等一下！

大家，请等一下！"
"balloon#142f3861545882e79a94f1a71a34db39","我有事想拜托你！","balloon#142f3861545882e79a94f1a71a34db39","机翻辅助：

我有事想拜托你！

有个请求！

有件事想拜托你！"
"balloon#9f24e244469d56dc1f1d4830537f635b","要不要让我们亲手揪出那个嫌犯呢？","balloon#9f24e244469d56dc1f1d4830537f635b","机翻辅助：

要不要让我们亲手揪出那个嫌犯呢？

用我们的手，能找出认为是犯人的人吗？

能不能用我们的手找出凶手？"
"balloon#8dde61063c9684616bcbbce68bcf6905","[emb exp='tf.names.ryo_p.me']也赞成投票。","balloon#8dde61063c9684616bcbbce68bcf6905","机翻辅助：

[emb exp='tf.names.ryo_p.me']也赞成投票。"
"balloon#f23234f48d5f186ab42e1971042720ea","那样一来，就不用顾虑太多……","balloon#f23234f48d5f186ab42e1971042720ea","机翻辅助：

那样一来，就不用顾虑太多……

那样的话，就不用客气了……

那样的话，就不用顾虑了……"
"balloon#f8841fb01e701a28a20d7a21a0de7541","我已经[font color=@3]决定好谁是犯人了[resetfont]，所以没有迷惘。","balloon#f8841fb01e701a28a20d7a21a0de7541","机翻辅助：

我已经[font color=@3]决定好谁是犯人了[resetfont]，所以没有迷惘。

已经决定谁是犯人了，所以没有犹豫。[font color=@3][resetfont]

因为已经在心里决定了谁是犯人，所以没有迷惑。[font color=@3][resetfont]"
"balloon#ad3fd5fe9e08d20b7d1f1b22c45221f8","[emb exp='tf.names.yuuki_p.me']也不想让事情在暧昧不明的情况下结束。","balloon#ad3fd5fe9e08d20b7d1f1b22c45221f8","机翻辅助：

[emb exp='tf.names.yuuki_p.me']也不想让事情在暧昧不明的情况下结束。

[emb exp='tf.names.yuuki_p.me']也不想模棱两可地结束。

[emb exp='tf.names.yuuki_p.me']也不想暧昧地结束。"
