"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#015a85f12d5d65a193fd42bb61b702aa","なるほどな、その推理なら[font color=@3]納得できる[resetfont]ぜ！","balloon#015a85f12d5d65a193fd42bb61b702aa","NPC"
"balloon#e7f6dcf2ce051cf833d99aa8a0d597e8","そうだ、[emb exp='tf.names.NPC.chiyo']だけじゃ実行不可能だよな……。","balloon#e7f6dcf2ce051cf833d99aa8a0d597e8","NPC"
"balloon#f62f099c7380b916915cb5d859133223","なんかおかしいなって、思ってたんだよ！","balloon#f62f099c7380b916915cb5d859133223","NPC"
"balloon#bec59c471f131e9221e253905e68b006","すげぇな、よく気づいたな！","balloon#bec59c471f131e9221e253905e68b006","NPC"
"balloon#fa2ac37bfff0f224af77ac2732117fed","いいや、[emb exp='tf.names.itsuki.me']だけじゃ気づけなかったよ。","balloon#fa2ac37bfff0f224af77ac2732117fed","主人公"
"balloon#986caa770e866938a1fc801218983f82","話してくれてありがとう、[emb exp='tf.names.itsuki.NPC']。","balloon#986caa770e866938a1fc801218983f82","主人公"
"balloon#68666fcaee0bc93c051c8e2f3ea82c3a","なんでだよ、感謝するのは[emb exp='tf.names.NPC.me']のほうだぜ！","balloon#68666fcaee0bc93c051c8e2f3ea82c3a","NPC"
"balloon#d3074cf36e1daa4f97ddf5aa96e505fa","ありがとな、[emb exp='tf.names.NPC.itsuki']。","balloon#d3074cf36e1daa4f97ddf5aa96e505fa","NPC"
"balloon#81e87587e27d541c0297678ccbdd7a8a","それ、本当か？","balloon#81e87587e27d541c0297678ccbdd7a8a","NPC"
"balloon#6d77d886a6d9fa4759e5e2dc64fc7a5e","[emb exp='tf.names.NPC.me']は[font color=@3]ちょっと違う[resetfont]と思うな……。","balloon#6d77d886a6d9fa4759e5e2dc64fc7a5e","NPC"
"balloon#a89e33dfa597cde8941b7196ed123a40","うーん、その推理は[emb exp='tf.names.NPC.me']は[font color=@3]まったく違う[resetfont]と思うけどな……。","balloon#a89e33dfa597cde8941b7196ed123a40","NPC"
"balloon#ae009158b6bdc782a0fbedd035ca2f00","[emb exp='f.npc_nickname']の疑問に答えられなくて、ごめん……。","balloon#ae009158b6bdc782a0fbedd035ca2f00","主人公"
"balloon#104bd88436c754586ba6ff86d9920f7f","いや、そんなに落ち込むなって。","balloon#104bd88436c754586ba6ff86d9920f7f","NPC"
"balloon#86767f5ead5413cae6711d65c3a626da","この件なんだけどよ……","balloon#86767f5ead5413cae6711d65c3a626da","NPC"
"balloon#e6add2df78f444447dac63762252212f","[font color=@3][emb exp='tf.names.NPC.chiyo']だけじゃ不可能なこと[resetfont]を明らかにする必要があると思うぜ。","balloon#e6add2df78f444447dac63762252212f","NPC"
"balloon#e013bd3d768ff29637bc26b8ce8a57a1","諦めるわけにはいかない。","balloon#e013bd3d768ff29637bc26b8ce8a57a1","主人公"
"balloon#5f2daad7945c27745ee00012da4581c9","[font color=@3][emb exp='tf.names.itsuki.chiyo']の行動に時間や状況の矛盾[resetfont]がないか、推理ノートを見直してみよう。","balloon#5f2daad7945c27745ee00012da4581c9","主人公"
"speaker_主人公","主人公","speaker_主人公",""
