"source","target","id","developer_comments"
"text#7c535c09382b9fa230fdd1a0d7912d9a","事件概要","text#7c535c09382b9fa230fdd1a0d7912d9a",""
"text#5a37317dd7159f7118033df7096a184d","疑問・推理","text#5a37317dd7159f7118033df7096a184d",""
"text#eb5da3d14f2af63f94a2527731b5c987","手がかり","text#eb5da3d14f2af63f94a2527731b5c987",""
"text#05987941bb6327e4922d146e7f76e9bb","時系列","text#05987941bb6327e4922d146e7f76e9bb",""
"text#76d992dcff631d69631627e1692b40fb","マップ","text#76d992dcff631d69631627e1692b40fb",""
"text#54a5d7e61379d2695787a4c3ee375cf2","人物情報","text#54a5d7e61379d2695787a4c3ee375cf2",""
"text#9099c57188f60e64bcb45c31576b70dc","#アリバイ","text#9099c57188f60e64bcb45c31576b70dc",""
"text#610bcc9ad3268bd371329a57b5ee143a","#証言","text#610bcc9ad3268bd371329a57b5ee143a",""
"text#505be52e1a160ea15694706d854aed24","#物証","text#505be52e1a160ea15694706d854aed24",""
"text#a8b53fac2b0ac2f8c2947e386824b74c","未設定","text#a8b53fac2b0ac2f8c2947e386824b74c",""
"text#b9473d92d2e916649d56e8c060a6cfe5","${hasCharactor.name}の疑問","text#b9473d92d2e916649d56e8c060a6cfe5",""
"text#eb922f4f3877da3db7cc406ad6843bab","推理に必要な手がかり","text#eb922f4f3877da3db7cc406ad6843bab",""
"text#1ad9dc0af2744eaad8a1d87d18bac422","樹の推理","text#1ad9dc0af2744eaad8a1d87d18bac422",""
"text#f6118280b10685c86bbe4ded92d2fc13","推理の説得力","text#f6118280b10685c86bbe4ded92d2fc13",""
"text#7819e7780d3368602568cb35ac98755f","手がかりを外す","text#7819e7780d3368602568cb35ac98755f",""
"text#ef03e852a58d7ebff8d8b13b262de858","推理する","text#ef03e852a58d7ebff8d8b13b262de858",""
"text#3093010d3d6b88b18d810d716aaae815","写真館のぼや騒ぎ","text#3093010d3d6b88b18d810d716aaae815",""
