"source","target","id","developer_comments"
"text#e2a0e0a4a30472b3f168a74844cc574e","正直なところ、明日からの事情聴取は、身元不明の君を中心に行う予定でいたが……","text#e2a0e0a4a30472b3f168a74844cc574e","mashima_1991"
"text#e5259186533b05f5eb022087af2b308c","いま僕は、もう少し君に力を借りたいと思っている。","text#e5259186533b05f5eb022087af2b308c","真島"
"text#6bafd2592af49de73608b7331955bd78","そんな風に言っていただけて、嬉しいです。","text#6bafd2592af49de73608b7331955bd78","amazawa_itsuki"
"text#9ac45bc7bd117bd050f306539c8146ea","今回、もし本当にカメラのレンズが犯行に使われたとすると……[l][chara_mod name=""真島"" face=""sad"" time=""100""]心が痛むよ。","text#9ac45bc7bd117bd050f306539c8146ea","真島"
"text#6454d198785e343e3dfbbddbefdcf3bc","そうなんですか？","text#6454d198785e343e3dfbbddbefdcf3bc","amazawa_itsuki"
"text#30702cdeb7256c68d2ff93d4a2b2bb30","僕はね、長年写真を趣味としているんだ。","text#30702cdeb7256c68d2ff93d4a2b2bb30","真島"
"text#370b77d8477791395a5f61ede9017dc8","腕前は下手の横好きだけど、道具には人一倍愛情を注ぎ込むタイプでね。","text#370b77d8477791395a5f61ede9017dc8","真島"
"text#7937b528c27a5a0d4c5959a1e5c1f0d8","そうだったんですね。","text#7937b528c27a5a0d4c5959a1e5c1f0d8","amazawa_itsuki"
"text#c4958f3290684e9b4955263e497d9432","だから、レンズが犯行に使われただなんて、個人的には信じたくない気持ちもある。","text#c4958f3290684e9b4955263e497d9432","真島"
"text#a5713ac72f3093e11cf23f04eda56c2f","けれど、ずいぶん前に、久美子さんが『カメラのレンズで火がつくことだってある』なんて話をしていたこともあったから、おそらく可能なんだろうね。","text#a5713ac72f3093e11cf23f04eda56c2f","真島"
"text#4f8433225860fce65ef2fe569e130ab7","写真館で働く久美子さんがそう言うからには、たしかに犯行は可能なんでしょうね。","text#4f8433225860fce65ef2fe569e130ab7","amazawa_itsuki"
"text#c56353e6dc19b3aa6db38e58a1eb8428","実は、僕がタバコを嗜む際に使っているマッチも、こだわりの逸品でね。","text#c56353e6dc19b3aa6db38e58a1eb8428","真島"
"text#ffa3ff99aa99a113314a6e14fe4e35a4","僕の心を埋めてくれるのは、そんな道具ばかりさ……[l][chara_mod name=""真島"" face=""happy"" time=""100""]はは。","text#ffa3ff99aa99a113314a6e14fe4e35a4","真島"
"text#51c896747c383ad9750282c1913c6d2d","真島さんは、そういう人だったのか。","text#51c896747c383ad9750282c1913c6d2d",""
"speaker_真島","真島","speaker_真島",""
