"source","target","id","developer_comments"
"balloon#9489fd1328fb4d3faf2ef83985469601","哈哈哈，你在说什么啊。","balloon#9489fd1328fb4d3faf2ef83985469601","机翻辅助：

哈哈哈，你在说什么啊。

哈哈，你说什么呢。

哈哈哈，你说什么呢？"
"balloon#1d2f2bf909d0331b82e348b4a6ca65a5","这并不令人意外。","balloon#1d2f2bf909d0331b82e348b4a6ca65a5","机翻辅助：

这并不令人意外。

没什么意外的。

这并不是什么意外的事情。"
"balloon#d7ac6acdff5a91a4afb966da25d587cb","既然是医生的话，那他应该也很清楚诊疗所的构造吧？","balloon#d7ac6acdff5a91a4afb966da25d587cb","机翻辅助：

既然是医生的话，那他应该也很清楚诊疗所的构造吧？

如果是医生的话，诊所的构造也会变得详细吧？

如果是医生的话，对诊所的构造也会很了解吧？"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#31330970034bfe97145e329899040003","虽然[emb exp='tf.names.itsuki.jin']的职业不是医生……","balloon#31330970034bfe97145e329899040003","机翻辅助：

虽然[emb exp='tf.names.itsuki.jin']的职业不是医生……

[emb exp='tf.names.itsuki.jin']的职业不是医生……"
"balloon#1d920953f05bbe8cca65c64f16ae0e91","因为，毕竟……","balloon#1d920953f05bbe8cca65c64f16ae0e91","机翻辅助：

因为，毕竟……

看，因为……

喏，因为……"
"balloon#680220d717a997f40c21b4719bd04c4a","考虑到他[font color=@3]以前的职业[resetfont]，这也是理所当然的。","balloon#680220d717a997f40c21b4719bd04c4a","机翻辅助：

考虑到他[font color=@3]以前的职业[resetfont]，这也是理所当然的。

考虑到他过去的职业，那是理所当然的。[font color=@3][resetfont]

考虑到他以前的职业，当然是[font color=@3]了。[resetfont]"
"balloon#450f2cc6c4af3d968edcb7d54d259b79","但是他也应该很清楚吧？","balloon#450f2cc6c4af3d968edcb7d54d259b79","机翻辅助：

但是他也应该很清楚吧？

那里也会变得详细吧？

对那里也会很了解吧？"
"balloon#07b2bd0cb192b70bc43aef514abe7fae","那是[emb exp='tf.names.itsuki.jin']以前的职业……？","balloon#07b2bd0cb192b70bc43aef514abe7fae","机翻辅助：

那是[emb exp='tf.names.itsuki.jin']以前的职业……？

[emb exp='tf.names.itsuki.jin']以前的职业……？"
"speaker_主人公","主人公","speaker_主人公",""
