"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#015a85f12d5d65a193fd42bb61b702aa","なるほどな、その推理なら[font color=@3]納得できる[resetfont]ぜ！","balloon#015a85f12d5d65a193fd42bb61b702aa","NPC"
"balloon#3dfc3e3ae84c946ba4a339820b88896b","[emb exp='tf.names.NPC.kusakabe']は[emb exp='tf.names.NPC.chiyo']に[emb exp='tf.names.NPC.tetsuo']のことを……。","balloon#3dfc3e3ae84c946ba4a339820b88896b","NPC"
"balloon#411dff013f3c4ead53701344f619751e","それにしても、[emb exp='tf.names.NPC.kusakabe']が“式音島の神隠し”について調べてたなんてな。","balloon#411dff013f3c4ead53701344f619751e","NPC"
"balloon#139178050a8d5a35bd93cf57d0f7a103","……執念、ってやつか。","balloon#139178050a8d5a35bd93cf57d0f7a103","NPC"
"balloon#249643cd7d65ca9edfceb46ed6edc710","……そうかもしれませんね。","balloon#249643cd7d65ca9edfceb46ed6edc710","主人公"
"balloon#90a1aac24b2bba0021210b3f2bdaaf4b","[emb exp='tf.names.NPC.me']だけじゃわからなかったぜ。","balloon#90a1aac24b2bba0021210b3f2bdaaf4b","NPC"
"balloon#7d82ad8d81270403f5240d5660133ab9","ありがとよ、[emb exp='tf.names.NPC.itsuki']。","balloon#7d82ad8d81270403f5240d5660133ab9","NPC"
"balloon#205e5fb413ccb885ddcc0a9054a3cecd","いえ、[emb exp='tf.names.itsuki.NPC']のお役に立ててよかったです！","balloon#205e5fb413ccb885ddcc0a9054a3cecd","主人公"
"balloon#81946bf1c431b3a6b095adb40cb7a4d4","また頼らせてもらうぜ、名探偵！","balloon#81946bf1c431b3a6b095adb40cb7a4d4","NPC"
"balloon#61cd6c8a424bbe2e9d178250c40f4ee2","それ、本当かぁ？","balloon#61cd6c8a424bbe2e9d178250c40f4ee2","NPC"
"balloon#b2710c1301be2727fcd3bc79918639c2","その推理は[font color=@3]ちょっと違う[resetfont]と思うけどな。","balloon#b2710c1301be2727fcd3bc79918639c2","NPC"
"balloon#56214def6fc7ba4f272c1fe5c234fe60","その推理は、[font color=@3]まったく違う[resetfont]と思うけどな……。","balloon#56214def6fc7ba4f272c1fe5c234fe60","NPC"
"balloon#1162df6be30ff696daa2cb8d869996ba","[emb exp='tf.names.itsuki.NPC']の疑問に答えられなくて、申し訳ないです……。","balloon#1162df6be30ff696daa2cb8d869996ba","主人公"
"balloon#0de797c707262ef072773cf019d1ea19","おう、気にするなって。","balloon#0de797c707262ef072773cf019d1ea19","NPC"
"balloon#2da30a7cba8a5313b6caab6e8a2843ec","この件だけどよ……","balloon#2da30a7cba8a5313b6caab6e8a2843ec","NPC"
"balloon#354a662bc4b69e995155abc0aa60a6fb","めったに怒らない[font color=@3][emb exp='tf.names.NPC.chiyo']が感情的になった訳[resetfont]を明らかにする必要がありそうだ。","balloon#354a662bc4b69e995155abc0aa60a6fb","NPC"
"balloon#e013bd3d768ff29637bc26b8ce8a57a1","諦めるわけにはいかない。","balloon#e013bd3d768ff29637bc26b8ce8a57a1","主人公"
"balloon#ba226965ee242bf32059ad02fefd0c6c","いったい[font color=@3]どんな話題で感情的になったのか[resetfont]、今一度手がかりを見直してみよう。","balloon#ba226965ee242bf32059ad02fefd0c6c","主人公"
"speaker_主人公","主人公","speaker_主人公",""
