"source","target","id","developer_comments"
"balloon#b5311447262494bce8ca983f261a1a86","[emb exp='tf.names.itsuki.NPC']が最多票か……。","balloon#b5311447262494bce8ca983f261a1a86","主人公"
"balloon#92af2f275412a00d97061d7f7b76d3cd","もう、[emb exp='tf.names.itsuki.NPC']を疑うしかない。","balloon#92af2f275412a00d97061d7f7b76d3cd","主人公"
"balloon#5f400700a896f4ac64ca0b314cc2eb51","[emb exp='tf.names.itsuki.NPC']、君がスイカを……。","balloon#5f400700a896f4ac64ca0b314cc2eb51","主人公"
"balloon#631601c4e30e0c9dbe1a1d6386753cd8","どうせあなたが、皮ごとスイカを食べちゃったんでしょう。","balloon#631601c4e30e0c9dbe1a1d6386753cd8","彩葉"
"balloon#6f009b00a963421955a0290bbd7a37c8","皮ごとなんて、食べれないよー！","balloon#6f009b00a963421955a0290bbd7a37c8","NPC"
"balloon#1377100f8d550486977746c0ef9245cb","もう、[emb exp='tf.names.chiyo.NPC']は本当に食いしん坊なんだから。","balloon#1377100f8d550486977746c0ef9245cb","千世"
"balloon#bff06990e1a768e1cba9667f4dcbecc3","そんなに、お腹空いてないもん……。","balloon#bff06990e1a768e1cba9667f4dcbecc3","NPC"
"balloon#b13fa552d93960a0e243605f04144dbd","[emb exp='tf.names.yohei.NPC']、気にすんなって！","balloon#b13fa552d93960a0e243605f04144dbd","陽平"
"balloon#825a1ddd22fccc932dc5ad5528b4df58","皮、食べたことないけど、うまいのか？","balloon#825a1ddd22fccc932dc5ad5528b4df58","陽平"
"balloon#94812f7cc12f4aaccbdbafc43df530cb","本当に違うの！","balloon#94812f7cc12f4aaccbdbafc43df530cb","NPC"
"balloon#7d9945db3b5db58c568588c16e12c84b","絶対……本当なんだからっ！","balloon#7d9945db3b5db58c568588c16e12c84b","NPC"
"balloon#3b756b2f94229a9168ac58c92f700e7a","やったのは[emb exp='tf.names.NPC.me']じゃないんだから……。","balloon#3b756b2f94229a9168ac58c92f700e7a","NPC"
"balloon#b3336c3fd9a0a346ce01fb1bf754f3bf","[emb exp='tf.names.itsuki.NPC']が、こんなに否定するなんて……。","balloon#b3336c3fd9a0a346ce01fb1bf754f3bf","主人公"
"balloon#c248c6591be8b15e3bda55a14984e325","この結末は、本当に正しかったのだろうか……？","balloon#c248c6591be8b15e3bda55a14984e325","主人公"
"message10#5cb0c0ab94cb115ad822c1a7834c27f3","樹たちは、[font color=@1]歌葉[resetfont]を犯人として選んだ。
しかし歌葉が犯人だという証拠は、最後まで見つかることがなかった。","message10#5cb0c0ab94cb115ad822c1a7834c27f3",""
"message10#2cf732428c689ebbd7288492b891617c","そして樹は、みんなと打ち解けることができないまま
島での残りの日々を過ごした。","message10#2cf732428c689ebbd7288492b891617c",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_彩葉","彩葉","speaker_彩葉",""
"speaker_千世","千世","speaker_千世",""
"speaker_陽平","陽平","speaker_陽平",""
