"source","target","id","developer_comments"
"text#d339d598026ba239c2f578fbe2276086","虽然什么问题都还没解决，但多亏小鬼头，让我稍微舒坦了一点。","text#d339d598026ba239c2f578fbe2276086","机翻辅助：

虽然什么问题都还没解决，但多亏小鬼头，让我稍微舒坦了一点。

虽然还什么都没解决，但是多亏了小鬼头，稍微有点清爽了。

虽然还什么都没解决，但多亏了小鬼头，多少痛快了一些。"
"text#cb06c60587c894ee5bc2577a88674479","我第一眼看到你的时候，就知道你不是普通人了！","text#cb06c60587c894ee5bc2577a88674479","机翻辅助：

我第一眼看到你的时候，就知道你不是普通人了！

看了一眼就知道你不是普通人！

第一眼看到你，我就知道你不是一般人！"
"text#5d50bc1c5c5d554e56c54ea877dc37dc","真、真的吗……","text#5d50bc1c5c5d554e56c54ea877dc37dc","机翻辅助：

真、真的吗……

真的吗……"
"text#f27d58a63bda15e9b87460344831e4a6","话说回来，你看起来不像是这座岛上的居民，居然能找到这里啊。","text#f27d58a63bda15e9b87460344831e4a6","机翻辅助：

话说回来，你看起来不像是这座岛上的居民，居然能找到这里啊。

不过，你明明不是这座岛上的人，居然能找到这里。

但是你看起来不是这个岛上的人，却经常找到这里。"
"text#030ab425e6e0974791790131c92b40a7","这座后山是我送货的时候偶尔会经过的捷径，所以我知道有山中小屋的存在。","text#030ab425e6e0974791790131c92b40a7","机翻辅助：

这座后山是我送货的时候偶尔会经过的捷径，所以我知道有山中小屋的存在。

这座后山在配送时的近道上偶尔会经过，只知道山中小屋的存在。

这条后山是送快递时的小路，偶尔会经过，所以只知道山上有个小木屋。"
"text#70fbb0cd34bc0ca4541a0df833596504","不过，外面明明长满了草木，里面倒是挺干净的。","text#70fbb0cd34bc0ca4541a0df833596504","机翻辅助：

不过，外面明明长满了草木，里面倒是挺干净的。

但是，外面覆盖着草木，里面却很漂亮。

不过，外面草木葱茏，里面却很干净。"
"text#bc9da86f9e758cca87938e07f38fcc44","说不定有人平常就会使用这里！","text#bc9da86f9e758cca87938e07f38fcc44","机翻辅助：

说不定有人平常就会使用这里！

意外地有人，平时就在用呢！

意外的是，有人平时也在用呢！"
"text#432d9cb76c3c02162b76b41682701442","的确，外观看起来很破旧，里面倒是挺干净的。","text#432d9cb76c3c02162b76b41682701442","机翻辅助：

的确，外观看起来很破旧，里面倒是挺干净的。

的确，比起外观，里面很干净。

确实，虽然外观很漂亮，但是里面很漂亮。"
"text#d56872a2c66e01df14e35437efc6f37d","像这种秘密基地之类的地方，小时候真的很憧憬啊。","text#d56872a2c66e01df14e35437efc6f37d","机翻辅助：

像这种秘密基地之类的地方，小时候真的很憧憬啊。

这种秘密基地，我小时候很向往。

像这样的秘密基地，小时候很憧憬。"
"text#95a8a7058c590272e904c25c43e3e58f","把自己喜欢的东西，或是捡到的东西收集起来。","text#95a8a7058c590272e904c25c43e3e58f","机翻辅助：

把自己喜欢的东西，或是捡到的东西收集起来。

收集自己喜欢的东西和捡到的东西。

把自己喜欢的东西或者捡到的东西都收集起来。"
"text#b9bf0497272d60559f5ded0f677614a4","真希望有一天，也能拥有只属于自己的秘密基地。","text#b9bf0497272d60559f5ded0f677614a4","机翻辅助：

真希望有一天，也能拥有只属于自己的秘密基地。

总有一天，我还想建立自己的秘密基地。

总有一天，我还想再建一个属于自己的秘密基地。"
"text#bed82b803bf3ac49e4480552427c0e7b","等等，现在不是想这种小孩子事情的时候！","text#bed82b803bf3ac49e4480552427c0e7b","机翻辅助：

等等，现在不是想这种小孩子事情的时候！

现在不是考虑这些事情的时候吗！

这样的话，不是像小孩子一样思考的时候吗！"
"text#4763ed4073662be1aa031e608abb67d4","不，感觉很有趣呢。","text#4763ed4073662be1aa031e608abb67d4","机翻辅助：

不，感觉很有趣呢。

不，好像很开心。

不，看起来很开心。"
"text#d249548cb95aec79502cbd116f60738c","哦，是吗？","text#d249548cb95aec79502cbd116f60738c","机翻辅助：

哦，是吗？"
"text#92c51ac4c01db274040c554994fca090","嗯，偶尔回归童心也不错！","text#92c51ac4c01db274040c554994fca090","机翻辅助：

嗯，偶尔回归童心也不错！

嘛，偶尔回到童心也不错啊！

不过，偶尔回归童心也不错啊！"
"text#ef76220d69278dbf4e7b24f25196a462","我不觉得海老原先生是坏人。","text#ef76220d69278dbf4e7b24f25196a462","机翻辅助：

我不觉得海老原先生是坏人。

海老原先生不认为是坏人。

我不觉得海老原先生是个坏人。"
"text#478bfe8b341383f8b28687a188763590","这个人为什么在未来会牵扯上那种事件……？","text#478bfe8b341383f8b28687a188763590","机翻辅助：

这个人为什么在未来会牵扯上那种事件……？

这个人，为什么会在未来发生那样的事件……？

这个人，为什么在未来会发生那样的事件……？"
"text#6bf2c868b4b8e3b2d850b1f52da39a98","难道在这个时代，也和事件有关吗？","text#6bf2c868b4b8e3b2d850b1f52da39a98","机翻辅助：

难道在这个时代，也和事件有关吗？

在这个时代，也与事件有关吗。

即使在这个时代，也和事件有关吗？"
"text#abb52e8307ee94c574729678c42b13e0","还是说，果然是被谁威胁……","text#abb52e8307ee94c574729678c42b13e0","机翻辅助：

还是说，果然是被谁威胁……

还是说，还是被谁威胁了……

还是被谁威胁了……"
"speaker_海老原","海老原","speaker_海老原",""
