"source","target","id","developer_comments"
"balloon#b5311447262494bce8ca983f261a1a86","[emb exp='tf.names.itsuki.NPC']得票最多……","balloon#b5311447262494bce8ca983f261a1a86","机翻辅助：

[emb exp='tf.names.itsuki.NPC']得票最多……

[emb exp='tf.names.itsuki.NPC']是最多票吗……"
"balloon#92af2f275412a00d97061d7f7b76d3cd","只能怀疑[emb exp='tf.names.itsuki.NPC']了。","balloon#92af2f275412a00d97061d7f7b76d3cd","机翻辅助：

只能怀疑[emb exp='tf.names.itsuki.NPC']了。

已经只能怀疑[emb exp='tf.names.itsuki.NPC']了。

我只能怀疑[emb exp='tf.names.itsuki.NPC']了。"
"balloon#5f400700a896f4ac64ca0b314cc2eb51","[emb exp='tf.names.itsuki.NPC']，是你把西瓜……","balloon#5f400700a896f4ac64ca0b314cc2eb51","机翻辅助：

[emb exp='tf.names.itsuki.NPC']，是你把西瓜……

[emb exp='tf.names.itsuki.NPC']，你要西瓜……"
"balloon#631601c4e30e0c9dbe1a1d6386753cd8","反正你一定是连皮一起吃掉西瓜了吧。","balloon#631601c4e30e0c9dbe1a1d6386753cd8","机翻辅助：

反正你一定是连皮一起吃掉西瓜了吧。

反正你连皮都吃西瓜了吧。

反正是你把西瓜连皮吃了。"
"balloon#6f009b00a963421955a0290bbd7a37c8","我没办法连皮一起吃啦！","balloon#6f009b00a963421955a0290bbd7a37c8","机翻辅助：

我没办法连皮一起吃啦！

连皮什么的，不能吃哦！

不能连皮一起吃！"
"balloon#1377100f8d550486977746c0ef9245cb","真是的，[emb exp='tf.names.chiyo.NPC']真是个贪吃鬼。","balloon#1377100f8d550486977746c0ef9245cb","机翻辅助：

真是的，[emb exp='tf.names.chiyo.NPC']真是个贪吃鬼。

[emb exp='tf.names.chiyo.NPC']真的是个吃货。

[emb exp='tf.names.chiyo.NPC']真是个贪吃鬼。"
"balloon#bff06990e1a768e1cba9667f4dcbecc3","我肚子又不饿……","balloon#bff06990e1a768e1cba9667f4dcbecc3","机翻辅助：

我肚子又不饿……

肚子没那么饿……

肚子没那么饿啊……"
"balloon#b13fa552d93960a0e243605f04144dbd","[emb exp='tf.names.yohei.NPC']，别在意！","balloon#b13fa552d93960a0e243605f04144dbd","机翻辅助：

[emb exp='tf.names.yohei.NPC']，别在意！

[emb exp='tf.names.yohei.NPC']，别放在心上！"
"balloon#825a1ddd22fccc932dc5ad5528b4df58","我虽然没吃过皮，但好吃吗？","balloon#825a1ddd22fccc932dc5ad5528b4df58","机翻辅助：

我虽然没吃过皮，但好吃吗？

皮，没吃过，好吃吗？

皮我没吃过，好吃吗？"
"balloon#94812f7cc12f4aaccbdbafc43df530cb","真的不是啦！","balloon#94812f7cc12f4aaccbdbafc43df530cb","机翻辅助：

真的不是啦！

真的不是！

真的不一样！"
"balloon#7d9945db3b5db58c568588c16e12c84b","绝对……是真的！","balloon#7d9945db3b5db58c568588c16e12c84b","机翻辅助：

绝对……是真的！

绝对……因为是真的！

绝对……因为这是真的！"
"balloon#3b756b2f94229a9168ac58c92f700e7a","不是[emb exp='tf.names.NPC.me']干的……","balloon#3b756b2f94229a9168ac58c92f700e7a","机翻辅助：

不是[emb exp='tf.names.NPC.me']干的……

做的又不是[emb exp='tf.names.NPC.me']……

因为做的不是[emb exp='tf.names.NPC.me']……"
"balloon#b3336c3fd9a0a346ce01fb1bf754f3bf","[emb exp='tf.names.itsuki.NPC']竟然会这样否定……","balloon#b3336c3fd9a0a346ce01fb1bf754f3bf","机翻辅助：

[emb exp='tf.names.itsuki.NPC']竟然会这样否定……

[emb exp='tf.names.itsuki.NPC']竟然如此否定……

[emb exp='tf.names.itsuki.NPC']竟然这么否定……"
"balloon#c248c6591be8b15e3bda55a14984e325","这样的结局，真的是正确的吗……？","balloon#c248c6591be8b15e3bda55a14984e325","机翻辅助：

这样的结局，真的是正确的吗……？

这个结局，真的正确吗……？"
"message10#5cb0c0ab94cb115ad822c1a7834c27f3","树他们选了[font color=@1]歌叶[resetfont]当犯人。
然而直到最后，都没有找到歌叶是犯人的证据。","message10#5cb0c0ab94cb115ad822c1a7834c27f3","机翻辅助：

树他们选了[font color=@1]歌叶[resetfont]当犯人。
然而直到最后，都没有找到歌叶是犯人的证据。

树等人将歌叶[font color=@1]选为犯人。[resetfont]但是到最后也没有找到歌叶就是凶手的证据。


树们选择了歌叶为犯人。[font color=@1]但直到最后都没有发现歌叶是犯人的证据。[resetfont]"
"message10#2cf732428c689ebbd7288492b891617c","树就这样在无法和大家打成一片的情况下，度过了
岛上的剩余日子。","message10#2cf732428c689ebbd7288492b891617c","机翻辅助：

树就这样在无法和大家打成一片的情况下，度过了
岛上的剩余日子。

然后树，就这样没能和大家融洽地度过了在岛上剩下的日子。


然后，树无法和大家融洽地度过了在岛上剩下的日子。"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_彩葉","彩叶","speaker_彩葉","机翻辅助：

彩叶"
"speaker_千世","千世","speaker_千世",""
"speaker_陽平","阳平","speaker_陽平","机翻辅助：

阳平"
