"source","target","id","developer_comments"
"balloon#4a0726dfe1574d3b99ba26e1fdce4ecc","“式音島の神隠し”という連続殺人事件を起こし……","balloon#4a0726dfe1574d3b99ba26e1fdce4ecc","主人公"
"balloon#8d992d6e948e742718fa2365d6513f97","[emb exp='tf.names.itsuki.chiyo']と[emb exp='tf.names.itsuki.iroha']を手にかけた犯人は……","balloon#8d992d6e948e742718fa2365d6513f97","主人公"
"balloon#8aa9c3101bf642fa5583c8bbbf60c83b","あなただ、[emb exp='tf.names.itsuki.NPC']！","balloon#8aa9c3101bf642fa5583c8bbbf60c83b","主人公"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#2c87a531f53461ae3f53d4dea04bc496","すみません、みなさん。","balloon#2c87a531f53461ae3f53d4dea04bc496","NPC"
"balloon#cf6253a09a635d7328e4c7cb4892fca7","息子が、悪あがきを続けて……。","balloon#cf6253a09a635d7328e4c7cb4892fca7","NPC"
"balloon#3248ded81923682e3e78640ab744e3c9","……いいえ、[emb exp='tf.names.makino.jin']。","balloon#3248ded81923682e3e78640ab744e3c9","牧野"
"balloon#be1384a81610bded22e9b2ef523dd2a5","[emb exp='tf.names.makino.me']たちはもう、[emb exp='tf.names.makino.itsuki']の味方です！","balloon#be1384a81610bded22e9b2ef523dd2a5","牧野"
"balloon#b1eccb2551d56cafff8cd8c678ef967d","[emb exp='tf.names.yuuki.itsuki']、いままでずっと疑ってごめんなさい……。","balloon#b1eccb2551d56cafff8cd8c678ef967d","結城"
"balloon#1c7668682f343fe550ff4225c9c36f96","でも、もう迷わない。","balloon#1c7668682f343fe550ff4225c9c36f96","結城"
"balloon#0a6c6a29d4c11a6b45d3670603e631cb","犯人は、きっと[emb exp='tf.names.yuuki.jin']よ！","balloon#0a6c6a29d4c11a6b45d3670603e631cb","結城"
"balloon#153f5960a2455cf3476a967ba931acfd","ああ、[emb exp='tf.names.kusakabe.me']も[emb exp='tf.names.kusakabe.itsuki']を信じている。","balloon#153f5960a2455cf3476a967ba931acfd","日下部"
"balloon#e298e6de1030e5a404e4d89d8232b46d","[emb exp='tf.names.kusakabe.jin']……[l][chara_mod time=""@f1"" name=""日下部"" face=""surprise""]いや、天沢 仁！","balloon#e298e6de1030e5a404e4d89d8232b46d","日下部"
"balloon#1f409912d70b6781439874d1a2beb094","もう言い逃れはできないよ。","balloon#1f409912d70b6781439874d1a2beb094","日下部"
"balloon#4ddce03bcb618e5c4e71cf43d0f5920f","な、なんてこった……！","balloon#4ddce03bcb618e5c4e71cf43d0f5920f","影山"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_牧野","牧野","speaker_牧野",""
"speaker_結城","結城","speaker_結城",""
"speaker_日下部","日下部","speaker_日下部",""
"speaker_影山","影山","speaker_影山",""
