"source","target","id","developer_comments"
"balloon#e1f0098eff738b80b530433c329cda4c","[emb exp='tf.names.itsuki_p.tetsuo']和袭击[emb exp='tf.names.itsuki_p.yuuki']的犯人，都是你吧……","balloon#e1f0098eff738b80b530433c329cda4c","机翻辅助：

[emb exp='tf.names.itsuki_p.tetsuo']和袭击[emb exp='tf.names.itsuki_p.yuuki']的犯人，都是你吧……

袭击[emb exp='tf.names.itsuki_p.tetsuo']和[emb exp='tf.names.itsuki_p.yuuki']的犯人是你吧……

袭击[emb exp='tf.names.itsuki_p.tetsuo']和[emb exp='tf.names.itsuki_p.yuuki']的凶手，是你吧……"
"balloon#cd1d11236e85573f785806ba05b8b33f","[emb exp='tf.names.itsuki.NPC']！","balloon#cd1d11236e85573f785806ba05b8b33f",""
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#0ec29137ddb8ae3d40d4907cb06026c2","你，一直都在怀疑[emb exp='tf.names.ebihara_3.me']……","balloon#0ec29137ddb8ae3d40d4907cb06026c2","机翻辅助：

你，一直都在怀疑[emb exp='tf.names.ebihara_3.me']……

你一直在怀疑[emb exp='tf.names.ebihara_3.me']……"
"balloon#fb3c6223a6ad4468517f26c26613124b","原来是这么回事啊！","balloon#fb3c6223a6ad4468517f26c26613124b","机翻辅助：

原来是这么回事啊！

原来是这样啊！"
"balloon#7539ffbf5b70501f7e56e65e1c6b9c2c","明明还帮我治疗了伤势……","balloon#7539ffbf5b70501f7e56e65e1c6b9c2c","机翻辅助：

明明还帮他治疗了伤势……

明明帮我治疗了伤……

还帮我治了伤……"
"balloon#7fb8a0eb1cb3c02b77a4eb5fc7c94416","这是真的吗，[emb exp='tf.names.yuuki_3.NPC']？","balloon#7fb8a0eb1cb3c02b77a4eb5fc7c94416","机翻辅助：

这是真的吗，[emb exp='tf.names.yuuki_3.NPC']？

真的吗，[emb exp='tf.names.yuuki_3.NPC']？"
"balloon#20a21c355491c7fdd164471877e4969d","既然已经确定没有不在场证明，现在只能怀疑[emb exp='tf.names.mashima_3.NPC']了。","balloon#20a21c355491c7fdd164471877e4969d","机翻辅助：

既然已经确定没有不在场证明，现在只能怀疑[emb exp='tf.names.mashima_3.NPC']了。

既然已经证实没有不在场证明，现在就只能怀疑[emb exp='tf.names.mashima_3.NPC']了。

既然没有不在场证明，现在就只能怀疑[emb exp='tf.names.mashima_3.NPC']了。"
"balloon#9c34f50affb446fc88ede65141efd694","………你有什么想说的吗？","balloon#9c34f50affb446fc88ede65141efd694","机翻辅助：

………你有什么想说的吗？

……有什么想说的吗？

…………有什么想说的吗？"
"balloon#7c8331b049c8ce69474d47ed47861287","………………","balloon#7c8331b049c8ce69474d47ed47861287",""
"balloon#c0629178c3eebd834d58ab183610d95c","…………","balloon#c0629178c3eebd834d58ab183610d95c",""
"balloon#b36482327301b23d2f45f6b8d2517a48","呵呵……","balloon#b36482327301b23d2f45f6b8d2517a48","机翻辅助：

呵呵……"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_海老原","海老原","speaker_海老原",""
"speaker_結城","结城","speaker_結城","机翻辅助：

结城"
"speaker_真島","真岛","speaker_真島","机翻辅助：

真岛"
