"source","target","id","developer_comments"
"text#7d6f7b1136cdfabed7d608f14064757d","其实我本来很担心你突然来到这座岛，能不能融入这里。","text#7d6f7b1136cdfabed7d608f14064757d","机翻辅助：

其实我本来很担心你突然来到这座岛，能不能融入这里。

其实，突然来到这座岛，我很担心小树能不能适应。

其实呢，我担心小树会不会突然来到这个岛上熟悉。"
"text#b377e3ba94922a65be87b6daa62a2a8d","不过，看来是白担心了。","text#b377e3ba94922a65be87b6daa62a2a8d","机翻辅助：

不过，看来是白担心了。

但是，不需要那样的担心。

不过，这种担心是不必要的。"
"text#34faa20f4fbe6c1c24b6902daedc63b6","我有顺利融入这里吗？","text#34faa20f4fbe6c1c24b6902daedc63b6","机翻辅助：

我有顺利融入这里吗？

我，很好地适应着吗？

我适应得好吗？"
"text#44d2e84b0460a118331f03e70d3ac1ee","当然有！","text#44d2e84b0460a118331f03e70d3ac1ee","机翻辅助：

当然有！

当然啦！"
"text#257fd9371653fd77b1929869daed84c1","我们从很久以前就是一家人了吧。","text#257fd9371653fd77b1929869daed84c1","机翻辅助：

我们从很久以前就是一家人了吧。

我甚至怀疑他们从很久以前开始就是一家人了。

很久以前就已经是家人了吧。"
"text#edcfbb097f6d2c1564a424578568054d","幸好西瓜消失，让我们有机会变熟……[l][chara_display name=""彩葉"" face=""happy"" time=""100""]开玩笑的。","text#edcfbb097f6d2c1564a424578568054d","机翻辅助：

幸好西瓜消失，让我们有机会变熟……[l][chara_display name=""彩葉"" face=""happy"" time=""100""]开玩笑的。

这成了我们关系变好的契机，西瓜消失了真是太好了……[l][chara_display name=""彩葉"" face=""happy"" time=""100""]怎么说呢。

因为成为了关系变好的契机，西瓜消失了真是太好了。[l][chara_display name=""彩葉"" face=""happy"" time=""100""]"
"text#152c4fdaa5b64d7d9a00514a4d7a4ed8","哈哈……不过，真想早点解开谜团，跟大家一起吃西瓜。","text#152c4fdaa5b64d7d9a00514a4d7a4ed8","机翻辅助：

哈哈……不过，真想早点解开谜团，跟大家一起吃西瓜。

哈哈……但是，想快点解开谜团，大家一起吃西瓜。

哈哈……但是，我想快点解开谜团，和大家一起吃西瓜。"
"text#2be67cfdc8c92ffc93a5fa39132fb60f","是啊……歌叶一定饿着肚子在等我们。","text#2be67cfdc8c92ffc93a5fa39132fb60f","机翻辅助：

是啊……歌叶一定饿着肚子在等我们。

是啊……歌叶一定会饿着肚子等着你的。

是啊……歌叶一定饿着肚子等着你。"
"text#621105584428ed1d588acb331f65d97e","她真的很贪吃。","text#621105584428ed1d588acb331f65d97e","机翻辅助：

她真的很贪吃。

那孩子真是个贪吃的人。

那孩子真的很贪吃。"
"text#c6a5e779c9339ca1616f791d58c429c8","歌叶真的很贪吃呢……","text#c6a5e779c9339ca1616f791d58c429c8","机翻辅助：

歌叶真的很贪吃呢……

果然，歌叶是个贪吃鬼啊……

果然，歌叶是个贪吃的人啊……"
"speaker_彩葉","彩叶","speaker_彩葉","机翻辅助：

彩叶"
