"source","target","id","developer_comments"
"balloon#b7ef06ac1919c4f37866741e658c129f","昨天为了司法解剖从悬崖上摔落的男人，本岛派了法医过来……","balloon#b7ef06ac1919c4f37866741e658c129f","机翻辅助：

昨天为了司法解剖从悬崖上摔落的男人，本岛派了法医过来……

为了解剖昨天从悬崖坠落的男子，从本土派来了监察医生……

为了对昨天从悬崖上跌落的男人进行司法解剖，本土派来了监察医生……"
"balloon#25101c30575d5d5587b1430bc24dd10b","因为那个人负责验尸千世女士，所以结果已经知道一部分了。","balloon#25101c30575d5d5587b1430bc24dd10b","机翻辅助：

因为那个人负责验尸千世女士，所以结果已经知道一部分了。

多亏了那个人负责千世女士的验尸，结果好像明白了一部分。

多亏那个人负责千世女士的验尸，我才知道了部分结果。"
"balloon#499bb56681177ed0ae7e1661b80fe289","验尸需要花一点时间才能知道正确结果，但那位法医是我的老朋友。","balloon#499bb56681177ed0ae7e1661b80fe289","机翻辅助：

验尸需要花一点时间才能知道正确结果，但那位法医是我的老朋友。

验尸需要很长时间才能得出正确的结果，那个法医是我的老朋友。

验尸要花很长时间才能知道正确的结果，那个监察医生是我的老朋友。"
"balloon#28b7a2a1fcdc862a1238233789ad209a","他把知道的部分告诉我了。","balloon#28b7a2a1fcdc862a1238233789ad209a","机翻辅助：

他把知道的部分告诉我了。

知道了的事，告诉了我一点。

你告诉了我一些我知道的事情。"
"balloon#a228e5faf130ce2c29942cf636331bf7","我也告诉你这个第一发现者吧。","balloon#a228e5faf130ce2c29942cf636331bf7","机翻辅助：

我也告诉你这个第一发现者吧。

我也告诉第一发现者你吧。

我也告诉作为第一发现者的你。"
"balloon#746cf1e134352c3445275e15215187f1","据说[emb exp='tf.names.NPC.chiyo']的死亡推测时间，是昨晚的[font color=@3]22:30到23:00之间[resetfont]。","balloon#746cf1e134352c3445275e15215187f1","机翻辅助：

据说[emb exp='tf.names.NPC.chiyo']的死亡推测时间，是昨晚的[font color=@3]22:30到23:00之间[resetfont]。

[emb exp='tf.names.NPC.chiyo']的死亡推定时间是昨晚的[font color=@3]22:30到23:00之间[resetfont]。

据悉，[emb exp='tf.names.NPC.chiyo']的死亡推定时间是昨晚的22:30到23:00之间。[font color=@3][resetfont]"
"balloon#d49c41e7f22a64944ec4b4d463e2ebd1","被菜刀[font color=@3]刺中要害[resetfont]，似乎就是她的死因。","balloon#d49c41e7f22a64944ec4b4d463e2ebd1","机翻辅助：

被菜刀[font color=@3]刺中要害[resetfont]，似乎就是她的死因。

用菜刀刺入要害，这无疑是死亡原因。[font color=@3][resetfont]

被菜刀刺了一刀，似乎是死亡的原因。[font color=@3][resetfont]"
"balloon#bc6ffd80073de722837290f99cd1bf81","而且据说[emb exp='tf.names.NPC.chiyo'][font color=@3]完全没有抵抗的迹象[resetfont]。","balloon#bc6ffd80073de722837290f99cd1bf81","机翻辅助：

而且据说[emb exp='tf.names.NPC.chiyo'][font color=@3]完全没有抵抗的迹象[resetfont]。

而且[emb exp='tf.names.NPC.chiyo']身上完全看不出抵抗的痕迹。[font color=@3][resetfont]

而且在[emb exp='tf.names.NPC.chiyo']里完全看不到抵抗的痕迹。[font color=@3][resetfont]"
"balloon#43b822b9f0e1d51a3b6f0b910c75d59f","原来[emb exp='tf.names.itsuki.chiyo']不是今天早上，而是[font color=@3]昨晚[resetfont]被杀的吗？","balloon#43b822b9f0e1d51a3b6f0b910c75d59f","机翻辅助：

原来[emb exp='tf.names.itsuki.chiyo']不是今天早上，而是[font color=@3]昨晚[resetfont]被杀的吗？

[emb exp='tf.names.itsuki.chiyo']被杀害的不是今天早上，而是昨晚。[font color=@3][resetfont]

[emb exp='tf.names.itsuki.chiyo']被杀害的时间不是今天早上而是昨晚吗？[font color=@3][resetfont]"
"balloon#2a7ac514950e1cf19158fe31fe50b4eb","要不要逮捕[emb exp='tf.names.NPC.itsuki']，是警察的工作。","balloon#2a7ac514950e1cf19158fe31fe50b4eb","机翻辅助：

要不要逮捕[emb exp='tf.names.NPC.itsuki']，是警察的工作。

决定是否逮捕[emb exp='tf.names.NPC.itsuki']是警察的工作。"
