"source","target","id","developer_comments"
"balloon#97070dd4921f2b21633da91a14518edc","気になることならあるわ。","balloon#97070dd4921f2b21633da91a14518edc","NPC"
"balloon#0edd47e47c8efd953fba2ef28e9df448","[emb exp='tf.names.NPC.chiyo']のことなんだけどね……","balloon#0edd47e47c8efd953fba2ef28e9df448","NPC"
"balloon#32a3c4858d53b126f161a45d80ad9289","さっき[font color=@3][emb exp='tf.names.NPC.chiyo']が、消えたのは自分のスイカだ[resetfont]って言ったのよ。","balloon#32a3c4858d53b126f161a45d80ad9289","NPC"
"balloon#dc82113501d1caef8c8158d4fcac951a","なんでそんなこと言い切れるのかしら？","balloon#dc82113501d1caef8c8158d4fcac951a","NPC"
"balloon#2f62790a8f16000c5c4d2c0d0481d36d","ちょっと不自然よね。","balloon#2f62790a8f16000c5c4d2c0d0481d36d","NPC"
"balloon#043ff83a0d3b44d2de1ba51c60135048","たしかに[emb exp='tf.names.itsuki.chiyo']の発言は気になるな……。","balloon#043ff83a0d3b44d2de1ba51c60135048","主人公"
"balloon#0d8d9817ede0645bdd43f08d80ac6441","どういうことなのか知りたいんだけど、協力してくれるかしら？","balloon#0d8d9817ede0645bdd43f08d80ac6441","NPC"
"balloon#95c438d4ccce0e5ec11f5f5e19a77a2b","わかったよ、調べてみるね！","balloon#95c438d4ccce0e5ec11f5f5e19a77a2b","主人公"
"balloon#f80a91d7ae91e1f34d90bbafcc58504f","いい返事ね！","balloon#f80a91d7ae91e1f34d90bbafcc58504f","NPC"
"balloon#362e9faf710a6346e15189d5aa703266","ちょっとだけ期待して待ってるわね。","balloon#362e9faf710a6346e15189d5aa703266","NPC"
"balloon#f23b75d9ce0440bc0f4da5cbad6632fa","[emb exp='tf.names.itsuki.chiyo']が何か隠しているなら、直接聞いても教えてくれないだろう……。","balloon#f23b75d9ce0440bc0f4da5cbad6632fa","主人公"
"balloon#adca96127a71a9f57d825299d773469f","でも、[emb exp='tf.names.itsuki.chiyo']に[font color=@3]もっと信用[resetfont]してもらえたら、何か打ち明けてくれるかも。","balloon#adca96127a71a9f57d825299d773469f","主人公"
"speaker_主人公","主人公","speaker_主人公",""
