"source","target","id","developer_comments"
"balloon#aad36434a853c4ed03213ef3a554c295","では、[emb exp='tf.names.NPC.me']の話を聞いてもらってもいいかな？","balloon#aad36434a853c4ed03213ef3a554c295","NPC"
"balloon#2b0c561b95bc25bfe967245808c3120e","みなさんに、見てほしいものがあります。","balloon#2b0c561b95bc25bfe967245808c3120e","NPC"
"balloon#faa76483eeb1f41d1fbe7462551a89ab","……これです。","balloon#faa76483eeb1f41d1fbe7462551a89ab","NPC"
"balloon#a4b7dfde8a4672333c4002eb991502d2","写真館の外に落ちていた、カメラのレンズです。","balloon#a4b7dfde8a4672333c4002eb991502d2","NPC"
"balloon#3566f17b7a1cedd4232c5411a406a798","事件との関係は定かではありませんが、どうも気になってね。","balloon#3566f17b7a1cedd4232c5411a406a798","NPC"
"balloon#ed02fc124f9eb4695d2f0949551e2dc5","この[font color=@3]レンズに心当たりのある方[resetfont]は、いませんか？","balloon#ed02fc124f9eb4695d2f0949551e2dc5","NPC"
"TALK_WINDOW_SELECT_CHOICES/talk_window_text#d15b5409254b281580714ad786b4e0ea","<font color='@3'>${itsuki.NPC}の問い</font>に対し、${itsuki.me}の答えは……","TALK_WINDOW_SELECT_CHOICES/talk_window_text#d15b5409254b281580714ad786b4e0ea",""
"TALK_WINDOW_SELECT_CHOICES/talk_window_choice1_text#f67955a4acc643d7b12c05c39efd8ecd","レンズに心当たりはありません。","TALK_WINDOW_SELECT_CHOICES/talk_window_choice1_text#f67955a4acc643d7b12c05c39efd8ecd",""
"TALK_WINDOW_SELECT_CHOICES/talk_window_choice2_text#9aeb0aa51bc25eaac134dbfbfbd16584","レンズは${itsuki_p.kumiko}のものでは？","TALK_WINDOW_SELECT_CHOICES/talk_window_choice2_text#9aeb0aa51bc25eaac134dbfbfbd16584",""
"TALK_WINDOW_SELECT_CHOICES/talk_window_choice3_text#395304d192ef2d1b4ae8d99eafa726da","事件と関係ない話題はやめてください！","TALK_WINDOW_SELECT_CHOICES/talk_window_choice3_text#395304d192ef2d1b4ae8d99eafa726da",""
