"source","target","id","developer_comments"
"jname#5ef67d75703d86474a0cb332a15c5f56","佐仓千世","jname#5ef67d75703d86474a0cb332a15c5f56","机翻辅助：

佐仓千世"
"jname#2741331a30fa8692c7b6e5021f2e500a","佐仓久美子","jname#2741331a30fa8692c7b6e5021f2e500a","机翻辅助：

佐仓久美子"
"jname#306dabdefad24ea1133de463a5defb6c","佐仓大助","jname#306dabdefad24ea1133de463a5defb6c","机翻辅助：

佐仓大助"
"jname#1f78329f4a0a98018548aa09b2b7f423","影山稔","jname#1f78329f4a0a98018548aa09b2b7f423","机翻辅助：

影山稔"
"jname#02cba00c6b5e37cfe1ce468caab7d5ac","佐仓阳平","jname#02cba00c6b5e37cfe1ce468caab7d5ac","机翻辅助：

佐仓阳平"
"balloon#52708254bf2a6fe9ea7cab23ccde39b6","太阳也差不多要下山了。","balloon#52708254bf2a6fe9ea7cab23ccde39b6","机翻辅助：

太阳也差不多要下山了。

天也快黑了呢。

天也快黑了。"
"balloon#ee3ee64c8eda7a3197b164240616962b","如果[emb exp='tf.names.yuuki_3.me']们一直不回去，可能会让大家担心。","balloon#ee3ee64c8eda7a3197b164240616962b","机翻辅助：

如果[emb exp='tf.names.yuuki_3.me']们一直不回去，可能会让大家担心。

如果[emb exp='tf.names.yuuki_3.me']们不回去的话，可能会让大家担心。

如果[emb exp='tf.names.yuuki_3.me']们一直不回去的话，可能会让大家担心。"
"balloon#59f2f2e7c306c320f76326c88d159cbd","在冬天的山中走夜路，有点危险。","balloon#59f2f2e7c306c320f76326c88d159cbd","机翻辅助：

在冬天的山中走夜路，有点危险。

走冬天山上的夜路，有点危险。

冬天走夜路有点危险。"
"balloon#b244ba93c95ea787bb8baab34b1c6af3","我们先回镇上去吧。","balloon#b244ba93c95ea787bb8baab34b1c6af3","机翻辅助：

我们先回镇上去吧。

我们回镇上一次吧。

我们回一次镇上吧。"
"balloon#48b7972a1d54cbf65a67552bf655f695","啊啊，我赞成……[l][chara_mod time=""@f1"" name=""海老原"" face=""normal"" position=""right""][emb exp='tf.names.ebihara_3.itsuki']，跟我来！","balloon#48b7972a1d54cbf65a67552bf655f695","机翻辅助：

啊啊，我赞成……[l][chara_mod time=""@f1"" name=""海老原"" face=""normal"" position=""right""][emb exp='tf.names.ebihara_3.itsuki']，跟我来！

啊，我赞成……[l][chara_mod time=""@f1"" name=""海老原"" face=""normal"" position=""right""][emb exp='tf.names.ebihara_3.itsuki']，跟我来！"
"balloon#bc0a68faa174e88b64196418c1bdc3e1","……好……好的！","balloon#bc0a68faa174e88b64196418c1bdc3e1","机翻辅助：

……好……好的！

……是、是！

……好、好！"
"balloon#1bee67d5eacfeac87406307678060170","啊，回来了！","balloon#1bee67d5eacfeac87406307678060170","机翻辅助：

啊，回来了！

啊，我回来了！"
"balloon#58f6a193403a630670f78bc337c304ef","妈……妈妈！","balloon#58f6a193403a630670f78bc337c304ef","机翻辅助：

妈……妈妈！

妈妈！？

妈、妈！？"
"balloon#d2b0033e5b1f0f1552b7220b16f6c876","因为你们很晚还没回来，连我都担心是不是出了什么事！","balloon#d2b0033e5b1f0f1552b7220b16f6c876","机翻辅助：

因为你们很晚还没回来，连我都担心是不是出了什么事！

回来晚了，我还担心你们会不会出事呢！

因为回来得晚，连你们都担心出什么事了！"
"balloon#a4c20a4188fa3b0509df4c5ad566d656","抱歉抱歉，我们聊得有点久了。","balloon#a4c20a4188fa3b0509df4c5ad566d656","机翻辅助：

抱歉抱歉，我们聊得有点久了。

又坏又坏，聊得很无聊。

不好意思，不好意思，你说了那么多蠢话。"
"balloon#4d1f12ccb4888e6f41ec72c57e10cda1","[emb exp='tf.names.yohei_p.me']也和大家一起创作了哦！","balloon#4d1f12ccb4888e6f41ec72c57e10cda1","机翻辅助：

[emb exp='tf.names.yohei_p.me']也和大家一起创作了哦！

[emb exp='tf.names.yohei_p.me']也是和大家一起做的！

[emb exp='tf.names.yohei_p.me']也和大家一起搜索了！"
"balloon#b3d86f8c7d112618d1e59e36627dbb89","哦，小鬼头也很可靠嘛！","balloon#b3d86f8c7d112618d1e59e36627dbb89","机翻辅助：

哦，小鬼头也很可靠嘛！

哦，小矮子也靠不住！

喂，小小鬼头也靠得住啊！"
"balloon#baf5ef981630a7998e1132ee0b6d1261","[emb exp='tf.names.mashima_3.chiyo']，[emb exp='tf.names.mashima_3.tetsuo']呢……","balloon#baf5ef981630a7998e1132ee0b6d1261","机翻辅助：

[emb exp='tf.names.mashima_3.chiyo']，[emb exp='tf.names.mashima_3.tetsuo']呢……

[emb exp='tf.names.mashima_3.chiyo']、[emb exp='tf.names.mashima_3.tetsuo']……

[emb exp='tf.names.mashima_3.chiyo']，[emb exp='tf.names.mashima_3.tetsuo']是……"
"balloon#51ed646efd1088526428650fe219d61d","不，我们还没找到他……","balloon#51ed646efd1088526428650fe219d61d","机翻辅助：

不，我们还没找到他……

不，还没找到……"
"balloon#1ebc6a76f6ea46e8309f0c850377d1c4","我们第一次这么晚还没回家。","balloon#1ebc6a76f6ea46e8309f0c850377d1c4","机翻辅助：

我们第一次这么晚还没回家。

这是我第一次到这个时间还不回去。

这么晚还不回家，还是第一次。"
"balloon#06344ea3e711ed2bc9e2e9c6a0776f24","说真的，她到底是怎么了……？","balloon#06344ea3e711ed2bc9e2e9c6a0776f24","机翻辅助：

说真的，她到底是怎么了……？

真的，怎么了……？

真的，不知道怎么了……？"
"balloon#66d54e73a76a355a877570e9ebd2aae4","……这样啊。","balloon#66d54e73a76a355a877570e9ebd2aae4","机翻辅助：

……这样啊。

……是吗。

……是吗？"
"balloon#938e126fed0247b99a5134cb8e41f267","岛上的大家，正在搜索[emb exp='tf.names.itsuki_p.tetsuo']吗？","balloon#938e126fed0247b99a5134cb8e41f267","机翻辅助：

岛上的大家，正在搜索[emb exp='tf.names.itsuki_p.tetsuo']吗？

岛上的大家都在搜索[emb exp='tf.names.itsuki_p.tetsuo']吗。

原来岛上的人都在搜索[emb exp='tf.names.itsuki_p.tetsuo']啊。"
"balloon#92c4e95346467fe4aa7b1b80511c67e3","话说回来，[emb exp='tf.names.kamishiro_3.kageyama']呢？","balloon#92c4e95346467fe4aa7b1b80511c67e3","机翻辅助：

话说回来，[emb exp='tf.names.kamishiro_3.kageyama']呢？

对了，[emb exp='tf.names.kamishiro_3.kageyama']呢？

那么，[emb exp='tf.names.kamishiro_3.kageyama']呢？"
"balloon#a968e56d5729aaf5c89c1acfb1667c04","好啦，她到底在哪里呢？[l]
可能还不知道这场骚动吧。","balloon#a968e56d5729aaf5c89c1acfb1667c04","机翻辅助：

好啦，她到底在哪里呢？[l]
可能还不知道这场骚动吧。

那么，在哪里呢？[l]
也许还不知道这件事。

那么，到底在哪里呢？可能还不知道这场风波吧。[l]"
"balloon#c1dce489ecad5a314765711876bed488","我有话想跟[emb exp='tf.names.kamishiro_3.kageyama']说……[l][chara_mod time=""@f1"" name=""神代"" face=""stunned"" position=""left""]真没办法。","balloon#c1dce489ecad5a314765711876bed488","机翻辅助：

我有话想跟[emb exp='tf.names.kamishiro_3.kageyama']说……[l][chara_mod time=""@f1"" name=""神代"" face=""stunned"" position=""left""]真没办法。

有件事想跟[emb exp='tf.names.kamishiro_3.kageyama']说……[l][chara_mod time=""@f1"" name=""神代"" face=""stunned"" position=""left""]没办法啊。

有件事想和[emb exp='tf.names.kamishiro_3.kageyama']说……[l][chara_mod time=""@f1"" name=""神代"" face=""stunned"" position=""left""]没办法啊。"
"balloon#08be29add6425f4f31facabec8c2735a","[emb exp='tf.names.itsuki.kamishiro']找[emb exp='tf.names.itsuki.kageyama']，有什么事呢……？","balloon#08be29add6425f4f31facabec8c2735a","机翻辅助：

[emb exp='tf.names.itsuki.kamishiro']找[emb exp='tf.names.itsuki.kageyama']，有什么事呢……？

[emb exp='tf.names.itsuki.kamishiro']对[emb exp='tf.names.itsuki.kageyama']有什么用呢……？

[emb exp='tf.names.itsuki.kamishiro']对[emb exp='tf.names.itsuki.kageyama']有什么事呢……？"
"balloon#524e68767a5765800924091298f34242","不过现在不是在意那种事的时候。","balloon#524e68767a5765800924091298f34242","机翻辅助：

不过现在不是在意那种事的时候。

但是现在不是在意那样的事情的时候。"
"balloon#9d2efdbcafeacdcb2e32b473565f07e5","那个，[emb exp='tf.names.itsuki_p.mashima']。","balloon#9d2efdbcafeacdcb2e32b473565f07e5","机翻辅助：

那个，[emb exp='tf.names.itsuki_p.mashima']。"
"balloon#dc859588f85b659ce99f2544d27699d1","我们的讨论……","balloon#dc859588f85b659ce99f2544d27699d1","机翻辅助：

我们的讨论……

我们的谈话……

我们的对话是……"
"balloon#33ab0e3bd429024baeaba65b548c49f8","是的，很遗憾，我们没能找出真相。","balloon#33ab0e3bd429024baeaba65b548c49f8","机翻辅助：

是的，很遗憾，我们没能找出真相。

嗯，很遗憾，我们没能找到真相。"
"balloon#084847bfb448d6d0bd84b1014cd57a4c","明天，本土也会派支援人员过来。","balloon#084847bfb448d6d0bd84b1014cd57a4c","机翻辅助：

明天，本土也会派支援人员过来。

明天，从本土应援也会到达。

明天，从本土来的助威也会到达。"
"balloon#e8471598b8ad52c40a62bd987b2ff2e5","明天应该会再请各位协助侦讯吧。","balloon#e8471598b8ad52c40a62bd987b2ff2e5","机翻辅助：

明天应该会再请各位协助侦讯吧。

明天会再请您协助调查的吧。

明天还会协助听取情况吧。"
"balloon#2e0e89d80375e827e34ce5fda8340984","今天已经很晚了，请各位回家路上小心。","balloon#2e0e89d80375e827e34ce5fda8340984","机翻辅助：

今天已经很晚了，请各位回家路上小心。

今天已经很晚了，请小心回家。"
"balloon#8d70698725af7ea3b4255eeae0f69b2a","哦，今天好累啊。","balloon#8d70698725af7ea3b4255eeae0f69b2a","机翻辅助：

哦，今天好累啊。

啊，今天好累啊。"
"balloon#94da85f9382be5c447f35cf80520b8b4","感觉只差一步了耶！","balloon#94da85f9382be5c447f35cf80520b8b4","机翻辅助：

感觉只差一步了耶！

虽然感觉还有一步哦！

感觉就差一步了！"
"balloon#ec5d553498c6488079abec6a79f8e9d5","[emb exp='tf.names.kamishiro_3.yuuki']，请保重。","balloon#ec5d553498c6488079abec6a79f8e9d5","机翻辅助：

[emb exp='tf.names.kamishiro_3.yuuki']，请保重。

[emb exp='tf.names.kamishiro_3.yuuki']，请保重身体。

[emb exp='tf.names.kamishiro_3.yuuki']，请多保重。"
"balloon#713f5b5d9d6c2cbfc7154de9115614fb","谢谢你的关心。","balloon#713f5b5d9d6c2cbfc7154de9115614fb","机翻辅助：

谢谢你的关心。

谢谢您的关心。"
"balloon#497f5ea45359294a90fcdd3babc4ce4f","可是，这样好吗……？","balloon#497f5ea45359294a90fcdd3babc4ce4f","机翻辅助：

可是，这样好吗……？

但是，可以吗……？

但是，这样可以吗……？"
"balloon#34f0c5b8aa91f85f013bbe66b9b06696","不行不行，什么都还没解决啊！","balloon#34f0c5b8aa91f85f013bbe66b9b06696","机翻辅助：

不行不行，什么都还没解决啊！

不行不行，还什么都没解决呢！"
"balloon#fe0b9c7ed8d83f3e43a6bd8f3c1d71cd","如果就这样放任犯人不管，就救不了[emb exp='tf.names.itsuki_p.tetsuo']了！","balloon#fe0b9c7ed8d83f3e43a6bd8f3c1d71cd","机翻辅助：

如果就这样放任犯人不管，就救不了[emb exp='tf.names.itsuki_p.tetsuo']了！

如果就这样放任犯人不管的话，就救不了[emb exp='tf.names.itsuki_p.tetsuo']了！

就这样放任犯人不管的话，就救不了[emb exp='tf.names.itsuki_p.tetsuo']了！"
"balloon#29ecd41e653b5872505c0eb005ab808e","得想办法留住大家……！","balloon#29ecd41e653b5872505c0eb005ab808e","机翻辅助：

得想办法留住大家……！

无论如何，不挽留大家的话……！

必须想办法留住大家……！"
"balloon#10d793b83059c4d3fd55e16fe92a2d96","那个，各位可以听我说一下吗……！","balloon#10d793b83059c4d3fd55e16fe92a2d96","机翻辅助：

那个，各位可以听我说一下吗……！

那个，大家可以打扰一下吗……！

那个，大家好吗……！"
"balloon#57cd60e80451c7f0fe8866337bcd381d","还有什么事吗，[emb exp='tf.names.kamishiro_3.itsuki']……？","balloon#57cd60e80451c7f0fe8866337bcd381d","机翻辅助：

还有什么事吗，[emb exp='tf.names.kamishiro_3.itsuki']……？

还有什么呢，[emb exp='tf.names.kamishiro_3.itsuki']……？"
"balloon#8985270a8902aa56f263dcfdffc572af","那个，其实[emb exp='tf.names.itsuki_p.me']……","balloon#8985270a8902aa56f263dcfdffc572af","机翻辅助：

那个，其实[emb exp='tf.names.itsuki_p.me']……"
"balloon#db7267303e053e6fb89d40a14c4d8714","我知道犯人是谁了！","balloon#db7267303e053e6fb89d40a14c4d8714","机翻辅助：

我知道犯人是谁了！

我知道凶手是谁了！"
"balloon#f0c814a82f5863a6827b5e1c3a7590ad","树向嫌疑人们提议，进行集体讨论。","balloon#f0c814a82f5863a6827b5e1c3a7590ad","机翻辅助：

树向嫌疑人们提议，进行集体讨论。

树向嫌疑人们提议了全体的讨论。

树向嫌疑人们提议集体讨论。"
"balloon#a21d312312649037e2d2ba1e4637d1f9","……原来如此。","balloon#a21d312312649037e2d2ba1e4637d1f9","机翻辅助：

……原来如此。"
"balloon#0d9f344bcb0d0b4e910c5f3066693941","那么，每个人轮流把自己的想法在大家面前说一遍……","balloon#0d9f344bcb0d0b4e910c5f3066693941","机翻辅助：

那么，每个人轮流把自己的想法在大家面前说一遍……

那么，各自在所有人面前讲述自己的想法……

那么，每个人依次在所有人面前陈述自己的想法……"
"balloon#cdbfb5523b21d515cb82e32c1469ab49","事情就是这样，各位没问题吧？","balloon#cdbfb5523b21d515cb82e32c1469ab49","机翻辅助：

事情就是这样，各位没问题吧？

所以，大家可以吗？

所以，大家都很好吧？"
"balloon#db2c276c49b06b9e4cb9aff98bc9eb24","是啊！","balloon#db2c276c49b06b9e4cb9aff98bc9eb24","机翻辅助：

是啊！

哦！

喔！"
"balloon#a3f4a2c327d0e1ef3e5daefaa95f876d","机会难得，我要狠狠地说出来！","balloon#a3f4a2c327d0e1ef3e5daefaa95f876d","机翻辅助：

机会难得，我要狠狠地说出来！

难得来一次，我就说一声！

机会难得，我就狠狠地说一声吧！"
"balloon#457b26f3449e45c98d516271b11b0887","……是啊，都走到这一步了。","balloon#457b26f3449e45c98d516271b11b0887","机翻辅助：

……是啊，都走到这一步了。

……嗯，已经到这里了。

……是的，我到这里了。"
"balloon#1e105d4c572f7dcf4a5f454de8bc32d9","就弄个清楚吧。","balloon#1e105d4c572f7dcf4a5f454de8bc32d9","机翻辅助：

就弄个清楚吧。

让我们搞清楚。

弄清楚吧。"
"balloon#9b7082f5e42ace1e521d0b32895ca56a","无论何时开始，我都无所谓哦。","balloon#9b7082f5e42ace1e521d0b32895ca56a","机翻辅助：

无论何时开始，我都无所谓哦。

什么时候开始都没关系。"
"balloon#08557ba0f5d6496d7228d7b440fe22e3","各位，麻烦你们了！","balloon#08557ba0f5d6496d7228d7b440fe22e3","机翻辅助：

各位，麻烦你们了！

大家，请多关照！

请大家多多关照！"
"balloon#dddbe5354cc49e67e239fc66bdf86253","这次的讨论，应该会成为我们找出真相的[font color=@3]最后机会[resetfont]吧……","balloon#dddbe5354cc49e67e239fc66bdf86253","机翻辅助：

这次的讨论，应该会成为我们找出真相的[font color=@3]最后机会[resetfont]吧……

这次谈话，应该是找到真相的最后机会了吧……[font color=@3][resetfont]

这一协商将成为最终的机会……[font color=@3][resetfont]"
"balloon#a7b6dae511c3157c0126c7e832b76e2f","慎重一点……！","balloon#a7b6dae511c3157c0126c7e832b76e2f","机翻辅助：

慎重一点……！

慎重地去吧……！"
"speaker_神代","神代","speaker_神代","机翻辅助：

神代

杉田智"
"speaker_結城","结城","speaker_結城","机翻辅助：

结城"
"speaker_真島","真岛","speaker_真島","机翻辅助：

真岛"
"speaker_海老原","海老原","speaker_海老原",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_佐倉 久美子","佐仓久美子","speaker_佐倉 久美子","机翻辅助：

佐仓久美子"
"speaker_佐倉 大助","佐仓大助","speaker_佐倉 大助","机翻辅助：

佐仓大助"
"speaker_佐倉 陽平","佐仓阳平","speaker_佐倉 陽平","机翻辅助：

佐仓阳平"
"speaker_佐倉 千世","佐仓千世","speaker_佐倉 千世","机翻辅助：

佐仓千世"
