"source","target","id","developer_comments"
"text#39e669bcab321dda156109d562b7fd5d","现在是2023年的初夏。","text#39e669bcab321dda156109d562b7fd5d","机翻辅助：

现在是2023年的初夏。

现在是2023年初夏。"
"text#f967f0560c0b6ff570eea7d0cc8c16be","听说铁男爷爷的病情突然恶化，我连忙赶往他的病房。","text#f967f0560c0b6ff570eea7d0cc8c16be","机翻辅助：

听说铁男爷爷的病情突然恶化，我连忙赶往他的病房。

听说铁男爷爷的病情骤变，我急忙走向他的病房。

听说铁男爷爷病情骤变，我慌忙赶往他的病房。"
"text#e834c76668cc0207d4b1a86871811bb7","当我冲进病房，铁男爷爷就躺在床上。[l]
他露出痛苦的表情……[l]或许已经时日不多了。","text#e834c76668cc0207d4b1a86871811bb7","机翻辅助：

当我冲进病房，铁男爷爷就躺在床上。[l]
他露出痛苦的表情……[l]或许已经时日不多了。

然后跑进病房，床上有铁男爷爷的身影。[l]
脸上露出痛苦的表情……也许已经不长了。[l]

然后跑进病房，铁男爷爷躺在床上。浮现出痛苦的表情……也许已经不长了。[l]
[l]"
"text#675a692ad15954cf60c761646cd4d80a","……是陆啊。","text#675a692ad15954cf60c761646cd4d80a","机翻辅助：

……是陆啊。

……陆地吗。

……陆地吗？"
"text#f4c100636fe456d13436275469621153","幸好我赶上了。","text#f4c100636fe456d13436275469621153","机翻辅助：

幸好我赶上了。

能赶上真是太好了。

赶上了真是太好了。"
"text#2d3652b2f5e6db3334b3806f6ff32256","我遵守铁男爷爷的吩咐，以歌叶为优先。","text#2d3652b2f5e6db3334b3806f6ff32256","机翻辅助：

我遵守铁男爷爷的吩咐，以歌叶为优先。

我遵守了铁男爷爷的吩咐，优先考虑了歌叶。

我遵照铁男爷爷的吩咐，以歌曲为优先。"
"text#4dcf874db097ca270a9acc5c86cf7d74","但要是没能见到他最后一面，我可能还是会后悔。","text#4dcf874db097ca270a9acc5c86cf7d74","机翻辅助：

但要是没能见到他最后一面，我可能还是会后悔。

即便如此，如果没能见到他的死，或许我也会后悔。

即便如此，如果见不到他的死期，也许还是后悔了。"
"text#cc382f67b0b7ab39e3d3144ff50450b1","铁男爷爷，歌叶顺利出生了。[l]
是个健康的男孩子。","text#cc382f67b0b7ab39e3d3144ff50450b1","机翻辅助：

铁男爷爷，歌叶顺利出生了。[l]
是个健康的男孩子。

铁男爷爷，平安出生了。[l]
他是个活泼的男孩。

铁男爷爷平安出生了。是个健康的男孩。[l]"
"text#9b5c51438dbfcebdfa5fa1693252aee0","铁男爷爷虽然很难受，但还是努力挤出笑容。","text#9b5c51438dbfcebdfa5fa1693252aee0","机翻辅助：

铁男爷爷虽然很难受，但还是努力挤出笑容。

铁男爷爷虽然很痛苦，但还是尽力露出了笑容。

铁男爷爷虽然看起来很辛苦，但还是露出了竭尽全力的笑容。"
"text#34ac305c06165b42eb06d4f59a4fe8b8","孩子的名字，我决定叫树。","text#34ac305c06165b42eb06d4f59a4fe8b8","机翻辅助：

孩子的名字，我决定叫树。

孩子的名字就叫树。

孩子的名字是树。"
"text#ee85befe5ba592e862f68fcd290d8f56","佐仓树。[l]
那就是我小孩的名字。","text#ee85befe5ba592e862f68fcd290d8f56","机翻辅助：

佐仓树。[l]
那就是我小孩的名字。

佐仓树。[l]
这就是我孩子的名字。

佐仓树。那是我孩子的名字。[l]"
"text#5a1749118a825857f329f6fd867e253f","……我跟歌叶讨论过后，决定用记忆中的我的名字。","text#5a1749118a825857f329f6fd867e253f","机翻辅助：

……我跟歌叶讨论过后，决定用记忆中的我的名字。

……和歌叶商量之后，决定给那个记忆中的我起个名字。

……我和歌叶商量了一下，决定用记忆中的我的名字来命名。"
