"source","target","id","developer_comments"
"balloon#53b565914c4d0a1a8a7ce5143d653368","気になることだぁ？","balloon#53b565914c4d0a1a8a7ce5143d653368","NPC"
"balloon#1596466279e578c19c37cdb9072c1473","そりゃあれだろ。","balloon#1596466279e578c19c37cdb9072c1473","NPC"
"balloon#3e30d5c83343c7f6ffd8f3bec6258b49","[emb exp='tf.names.NPC.me']は[font color=@3]12:25[resetfont]ごろ、[font color=@3]写真館の前で不審な人影を見た[resetfont]んだ。","balloon#3e30d5c83343c7f6ffd8f3bec6258b49","NPC"
"balloon#fbcbf5ff2a523d97e8d4013df0db1cec","姿まではっきり見えなかったが、ありゃ、どう考えても怪しかったぜ。","balloon#fbcbf5ff2a523d97e8d4013df0db1cec","NPC"
"balloon#c3cf3df678993a1638bb3647749ad700","なるほど、[emb exp='tf.names.itsuki.NPC']は[font color=@3]写真館の前で不審な人影[resetfont]を目撃したのか！","balloon#c3cf3df678993a1638bb3647749ad700","主人公"
"balloon#e5d17aedf809072e3adf282784cd10ff","あの[font color=@3]人影が誰だったのか[resetfont]、[emb exp='tf.names.NPC.me']はその正体がものすごく気になっている。","balloon#e5d17aedf809072e3adf282784cd10ff","NPC"
"balloon#d6466bc005b69cee095d6a4eec8b8aa1","ぼや騒ぎのあった[font color=@3]写真館前の不審な人影[resetfont]……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]たしかに気になるぞ。","balloon#d6466bc005b69cee095d6a4eec8b8aa1","主人公"
"balloon#33d7c707040b04c1690efd4b7e61f504","よっしゃ、じゃあ人影について何かわかったらすぐ教えてくれよ！","balloon#33d7c707040b04c1690efd4b7e61f504","NPC"
"balloon#8aeba8c5f3c5a40e780fbccc548adbaf","はい、すぐ[emb exp='tf.names.itsuki.NPC']に報告しますね！","balloon#8aeba8c5f3c5a40e780fbccc548adbaf","主人公"
"balloon#dfca101f359357f684e300e2d531b5b0","おっ、返事だけは、一丁前だな！","balloon#dfca101f359357f684e300e2d531b5b0","NPC"
"balloon#244ffb0c073f6ecc17ddbcbe0a62da45","不審な人影か。","balloon#244ffb0c073f6ecc17ddbcbe0a62da45","主人公"
"balloon#786f549f9dd21de1f2108c22a833c716","目撃された時間もわかっているから……","balloon#786f549f9dd21de1f2108c22a833c716","主人公"
"balloon#dbc306e40ce96f702d4937d36acfc5f6","[font color=@3]12:25ごろの写真館への出入り[resetfont]を調べれば、何か見えてくるかもしれないな。","balloon#dbc306e40ce96f702d4937d36acfc5f6","主人公"
"speaker_主人公","主人公","speaker_主人公",""
