"source","target","id","developer_comments"
"balloon#da46e56c1803f8ce725c996f44c028bd","讨论已经够了吧？[l]
[chara_mod time=""@f1"" name=""陽平"" face=""smile"" position=""right""]差不多该来吃西瓜了！","balloon#da46e56c1803f8ce725c996f44c028bd","机翻辅助：

讨论已经够了吧？[l]
[chara_mod time=""@f1"" name=""陽平"" face=""smile"" position=""right""]差不多该来吃西瓜了！

已经谈够了吧？[l]
[chara_mod time=""@f1"" name=""陽平"" face=""smile"" position=""right""]差不多该吃西瓜了！

已经谈够了吧？差不多该吃西瓜了吧！[l]
[chara_mod time=""@f1"" name=""陽平"" face=""smile"" position=""right""]"
"balloon#ec83e53f04d01fc6efa03f289b603d5f","结果，犯人到底是谁……到现在还是没有弄清楚。","balloon#ec83e53f04d01fc6efa03f289b603d5f","机翻辅助：

结果，犯人到底是谁……到现在还是没有弄清楚。

结果，犯人是谁……还没弄清楚呢。

到底凶手是谁……一直没弄清楚。"
"balloon#019256b6113db92bf7e131f36ab341c9","那这样好了……","balloon#019256b6113db92bf7e131f36ab341c9","机翻辅助：

那这样好了……

那么……"
"balloon#fb4fef457aff5e2601ccacd90cc7b14e","我们所有人一起决定犯人怎么样？","balloon#fb4fef457aff5e2601ccacd90cc7b14e","机翻辅助：

我们所有人一起决定犯人怎么样？

所有人一起决定犯人怎么样？

大家一起决定犯人怎么样？"
"balloon#d791639df29efe8772e2a5a262fab27b","啥……？","balloon#d791639df29efe8772e2a5a262fab27b","机翻辅助：

啥……？

啊……？"
"balloon#2e0112d52c4a4c10a384831ba0504c4e","那是什么意思？","balloon#2e0112d52c4a4c10a384831ba0504c4e","机翻辅助：

那是什么意思？

那是什么。

这是什么啊？"
"balloon#642d0d406a34cd63b1cdf6e576142e4b","就是各自[font color=@3]投票猜谁是凶手[resetfont]，
再用多数决来决定！","balloon#642d0d406a34cd63b1cdf6e576142e4b","机翻辅助：

就是各自[font color=@3]投票猜谁是凶手[resetfont]，
再用多数决来决定！

各自[font color=@3]投票谁认为是犯人，[resetfont]试着多数表决！


分别投票[font color=@3]你认为谁是凶手，然后采用多数决！[resetfont]"
"balloon#1d4885cc4cc694f2595946c1bb53728b","咦，用投票……多数决？","balloon#1d4885cc4cc694f2595946c1bb53728b","机翻辅助：

咦，用投票……多数决？

啊，投票……多数表决？

啊，投票……多数决？"
"balloon#18b98730d4665e77b8f31b9e5d03cfff","那是什么意思？听起来好像很有趣。","balloon#18b98730d4665e77b8f31b9e5d03cfff","机翻辅助：

那是什么意思？听起来好像很有趣。

那不是很有趣吗。

什么嘛，这不是很有趣吗？"
"balloon#76a3a54e130d064da5c1b8a20c1cc466","的确，这样下去也很难释怀……","balloon#76a3a54e130d064da5c1b8a20c1cc466","机翻辅助：

的确，这样下去也很难释怀……

确实，这样下去会不痛快的……

确实，这样下去的话就不舒服了……"
"balloon#b863c79c5d47dd08436849be55796c44","好啊……[l][chara_mod time=""@f1"" name=""陽平"" face=""normal"" position=""right""]我投！","balloon#b863c79c5d47dd08436849be55796c44","机翻辅助：

好啊……[l][chara_mod time=""@f1"" name=""陽平"" face=""normal"" position=""right""]我投！

好啊……[l][chara_mod time=""@f1"" name=""陽平"" face=""normal"" position=""right""]我会做的！"
"balloon#3ff72c5014005dbd93623c50948df22e","嗯，就这么办！","balloon#3ff72c5014005dbd93623c50948df22e","机翻辅助：

嗯，就这么办！

嗯，就这样吧！

嗯，就这么办吧！"
"balloon#9444e0f2dae407b7772f73f4563bb51d","因为是[emb exp='tf.names.utaha.me']啊……","balloon#9444e0f2dae407b7772f73f4563bb51d","机翻辅助：

因为是[emb exp='tf.names.utaha.me']啊……

因为[emb exp='tf.names.utaha.me']啊……

因为……[emb exp='tf.names.utaha.me']"
"balloon#7084927d0ca22cd58381931ab51626dd","[font color=@3]已经知道犯人[resetfont]是谁了。","balloon#7084927d0ca22cd58381931ab51626dd","机翻辅助：

[font color=@3]已经知道犯人[resetfont]是谁了。

[font color=@3]因为我已经知道那个人是凶手了。[resetfont]

[font color=@3]因为我知道那个人是犯人。[resetfont]"
"balloon#bd9ad313dfab3c3b2f006c7c5c769b71","哎呀，是这样吗？","balloon#bd9ad313dfab3c3b2f006c7c5c769b71","机翻辅助：

哎呀，是这样吗？

啊，是吗？"
"balloon#8a4b7e5c1161e48722d9e6b4de17a126","其实[emb exp='tf.names.chiyo.me']也……","balloon#8a4b7e5c1161e48722d9e6b4de17a126","机翻辅助：

其实[emb exp='tf.names.chiyo.me']也……

其实，[emb exp='tf.names.chiyo.me']也是……"
