"source","target","id","developer_comments"
"[0]/title","因为铁男的话题而发生口角","[0]/title","机翻辅助：

因为铁男的话题而发生口角

因为铁男的话题吵了起来

因为铁汉的话题吵起来了"
"[0]/desc","调查“式音岛神隐”的日下部，很可能在电话中<font color='@1'>因为铁男的话题而和千世发生口角</font>。","[0]/desc","机翻辅助：

调查“式音岛神隐”的日下部，很可能在电话中<font color='@1'>因为铁男的话题而和千世发生口角</font>。

调查“式音岛神隐”的日下部，用电话口询问千世<font color='@1'>铁男的话题成为了争吵的</font>可能性高（贵）。

调查<font color='@1'>式音岛神隐</font>的日下部，通过电话向千世询问铁男的话题，引发口角的可能性很高。"
"[1]/title","日下部和犯行无关","[1]/title","机翻辅助：

日下部和犯行无关

日下部没有参与犯罪

日下部与犯罪无关"
"[1]/desc","画出“神隐之印”并利用小窗逃出去的人是千世。也就是说<font color='@1'>日下部和犯案无关</font>的可能性很高。","[1]/desc","机翻辅助：

画出“神隐之印”并利用小窗逃出去的人是千世。也就是说<font color='@1'>日下部和犯案无关</font>的可能性很高。

描绘<font color='@1'>神隐之印</font>，使用小窗户溜出外面的是千世自己。也就是说，日下部没有任何犯罪行为。

画着“神隐的记号”，利用小窗溜出去的是千世自己。也就是说，日下部没有参与任何犯罪<font color='@1'>的可能性很高。</font>"
"[2]/title","千世不可能放置“神隐之印”","[2]/title","机翻辅助：

千世不可能放置“神隐之印”

千世不能有“神隐之印”

千世不可置“神隐之印”"
"[2]/desc","从画出“神隐之印”到被发现的这段时间，千世没有去过玄关。千世自己<font color='@1'>不可能在玄关前放置“神隐之印”</font>。","[2]/desc","机翻辅助：

从画出“神隐之印”到被发现的这段时间，千世没有去过玄关。千世自己<font color='@1'>不可能在玄关前放置“神隐之印”</font>。

从画上“神隐之印”到被发现之间，千世一次也没有去过玄关。千世自己把“神隐之印”放在玄关前是不可能的。<font color='@1'></font>

从“神隐之印”被发现的这段时间里，千世一次也没去过玄关。千世自己也不可能把“神隐之印”放在大门前。<font color='@1'></font>"
"[3]/title","牧野放置了“神隐之印”","[3]/title","机翻辅助：

牧野放置了“神隐之印”

牧野留下了“神隐之印”

牧野留下了“隐神之印”"
"[3]/desc","从画出“神隐之印”到被发现的这段时间，只有<font color='@1'>牧野</font>在厨房和玄关之间来回。","[3]/desc","机翻辅助：

从画出“神隐之印”到被发现的这段时间，只有<font color='@1'>牧野</font>在厨房和玄关之间来回。

从画上<font color='@1'>神隐之印</font>到被发现之间，来往于厨房和玄关前的人物只有牧野。

从<font color='@1'>神隐之印</font>被发现的这段时间里，来往于厨房和大门前的只有牧野一人。"
"[4]/title","千世没有外出的迹象","[4]/title","机翻辅助：

千世没有外出的迹象

千世没有外出的痕迹

没有千世外出的迹象"
"[4]/desc","玄关附近有大助，缘廊附近有阳平，但两人都没有看到千世外出。千世<font color='@1'>不可能从出入口离开到照相馆外面</font>。","[4]/desc","机翻辅助：

玄关附近有大助，缘廊附近有阳平，但两人都没有看到千世外出。千世<font color='@1'>不可能从出入口离开到照相馆外面</font>。

玄关附近有大助，走廊附近有阳平，但两人都没有看到千世外出的身影。千世没有从出入口走出照相馆的可能性。<font color='@1'></font>

大助在玄关附近，阳平在檐廊附近，两人都没有看到千世出门。千世不可能从出入口走出照相馆。<font color='@1'></font>"
"[5]/title","千世自己从小窗外出","[5]/title","机翻辅助：

千世自己从小窗外出

千世自己从小窗出去了"
"[5]/desc","没有上锁的小窗外面，留有表示有人进出的足迹。而且也没有可疑的声响，所以千世<font color='@1'>很有可能是自己从小窗外出</font>。","[5]/desc","机翻辅助：

没有上锁的小窗外面，留有表示有人进出的足迹。而且也没有可疑的声响，所以千世<font color='@1'>很有可能是自己从小窗外出</font>。

开锁后的小窗外，留下了显示人来人往的足迹。因为没有可疑的声音，所以千世很有可能是按照自己的意愿从小窗户溜出来的。<font color='@1'></font>

开着锁的小窗外，留下了显示人来人往的脚印。从没有任何可疑的声音来看，千世很有可能是根据自己的意愿从小窗户爬出来的。<font color='@1'></font>"
"[6]/title","“神隐之印”不一致","[6]/title","机翻辅助：

“神隐之印”不一致"
"[6]/desc","尸体旁边用血画出的“神隐之印”，和用画具画在便条纸上放在玄关前的“神隐之印”<font color='@1'>特征不一致</font>。","[6]/desc","机翻辅助：

尸体旁边用血画出的“神隐之印”，和用画具画在便条纸上放在玄关前的“神隐之印”<font color='@1'>特征不一致</font>。

尸体旁边用鲜血留下的“神隐之印”，用颜料画在便条纸上，放在玄关前。与“式音岛神隐”<font color='@1'>特征不一致</font>。

尸体旁边留下了血迹的“神隐之印”，用颜料画在便条纸上，放在玄关前。与“式音岛神隐”的特征不一致。<font color='@1'></font>"
"[7]/title","千世画了“神隐之印”","[7]/title","机翻辅助：

千世画了“神隐之印”

千世描绘了“神隐之印”"
