"source","target","id","developer_comments"
"text#4dde8f937618f185c01f6d0e6518a6f5","${character.name}询问线索……","text#4dde8f937618f185c01f6d0e6518a6f5","机翻辅助：

${character.name}询问线索……

${character.name}提问的线索是……

${character.name}的线索是……"
"text#49314b1a9a40152f469fa75ed852ffe3","剩余${getCost()}分→ ","text#49314b1a9a40152f469fa75ed852ffe3","机翻辅助：

剩余${getCost()}分→ 

剩余部分${getCost()}"
"text#4395ef2c8c1612e0fd14cbd814836035","${getCost() - cost}分","text#4395ef2c8c1612e0fd14cbd814836035","机翻辅助：

${getCost() - cost}分

${getCost() - cost}分钟"
"text#b2c4649c07383d6bd984d17d2f165ad5","${charactor.sysname}我对的疑问，答案是……","text#b2c4649c07383d6bd984d17d2f165ad5","机翻辅助：

${charactor.sysname}我对的疑问，答案是……

${charactor.sysname}对于这个疑问，我的回答是……"
"text#c6989f3f7bfd6481b86aea83c4185338","${charactor.name}的疑问","text#c6989f3f7bfd6481b86aea83c4185338","机翻辅助：

${charactor.name}的疑问

${charactor.name}疑问"
"text#1ad9dc0af2744eaad8a1d87d18bac422","树的推理","text#1ad9dc0af2744eaad8a1d87d18bac422","机翻辅助：

树的推理"
"text#3d2487ff202a626f0c1128d77ef87bdb","剩余${cost}分→ ","text#3d2487ff202a626f0c1128d77ef87bdb","机翻辅助：

剩余${cost}分→ 

剩余部分${cost}"
"text#bdbad1005287d0e4fb758e57dc8f9977","${new_cost}分","text#bdbad1005287d0e4fb758e57dc8f9977","机翻辅助：

${new_cost}分

${new_cost}分钟"
"text#0a80e88c6f654b8b2dc02a752fdf8e9a","剩余","text#0a80e88c6f654b8b2dc02a752fdf8e9a","机翻辅助：

剩余

其余"
"text#daf783c8cdf97643b4d2b4ec6e5b8f21","分","text#daf783c8cdf97643b4d2b4ec6e5b8f21","机翻辅助：

分

分钟"
"text#a22af7de6aa5f273b4694b9b10a4814f","${mist_save.npc}要将推理告诉吗？","text#a22af7de6aa5f273b4694b9b10a4814f","机翻辅助：

${mist_save.npc}要将推理告诉吗？

${mist_save.npc}告知推理吗？"
"text#4e55c82da35899dad22d2b6cf3cb2b7d","${character.name}要现在立刻将推理告诉吗？","text#4e55c82da35899dad22d2b6cf3cb2b7d","机翻辅助：

${character.name}要现在立刻将推理告诉吗？

${character.name}现在马上去传达这个推理吗？"
"text#17ea220303087daf374455affb01cf5b","※转移到与${character.name}的密谈。","text#17ea220303087daf374455affb01cf5b","机翻辅助：

※转移到与${character.name}的密谈。

转移到与※${character.name}的密谈。

※将进入与的密谈。${character.name}"
"text#f6118280b10685c86bbe4ded92d2fc13","推理的说服力","text#f6118280b10685c86bbe4ded92d2fc13","机翻辅助：

推理的说服力"
"text#93473b34f80d4e84196d12a5b702bac2","要对的疑问进行推理吗？","text#93473b34f80d4e84196d12a5b702bac2","机翻辅助：

要对的疑问进行推理吗？

推理问题的答案吗？

推理对疑问的答案？"
"text#0078da09e9174398d3087423e5a131a9","将新的【线索】写入笔记本。","text#0078da09e9174398d3087423e5a131a9","机翻辅助：

将新的【线索】写入笔记本。

把新的线索记在笔记本上。

在笔记本上记下了新的线索。"
"text#2e6dca70feb603c2130ecba960fa33b2","${npc_name}将的【线索】写入笔记本。","text#2e6dca70feb603c2130ecba960fa33b2","机翻辅助：

${npc_name}将的【线索】写入笔记本。

${npc_name}的【线索】记在笔记本上。"
