"source","target","id","developer_comments"
"balloon#787a23d74796df5a455954ce50df4195","バ、バット……。","balloon#787a23d74796df5a455954ce50df4195","NPC"
"balloon#b005a088b5aa516e073c21f394d5b78e","えーっと、それは……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble""]その……","balloon#b005a088b5aa516e073c21f394d5b78e","NPC"
"balloon#6744ef95f091dec83739ad491de29111","なにか知っているんですか？","balloon#6744ef95f091dec83739ad491de29111","主人公"
"balloon#b71762aa1602e8b2c3a6c8300bb205a0","ちょっと言いにくいことが、ありましてだな……。","balloon#b71762aa1602e8b2c3a6c8300bb205a0","NPC"
"balloon#15bd32d63fc586389591f9e525e88150","だ、大丈夫ですから、話してください。","balloon#15bd32d63fc586389591f9e525e88150","主人公"
"balloon#e967a541e5224f894c14eb1ebb8a2a7b","実は、あの、バットの件よぉ……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]あれ、[emb exp='tf.names.NPC.me']のなんだわ。","balloon#e967a541e5224f894c14eb1ebb8a2a7b","NPC"
"balloon#4d2bd79bdb207b2074e48f1dd1111f08","黙ってて、すまん！","balloon#4d2bd79bdb207b2074e48f1dd1111f08","NPC"
"balloon#b73cd5c6aeff4c5943d4ef39cefcc198","えっ、そうだったんですか！","balloon#b73cd5c6aeff4c5943d4ef39cefcc198","主人公"
"balloon#d3f74831492d4dbee59d40ef8c10c3ee","だがよ、実はこれ……","balloon#d3f74831492d4dbee59d40ef8c10c3ee","NPC"
"balloon#1b8dc2718ed0914c1540e5d9af23b443","ずいぶん前に[font color=@3]盗まれた[resetfont]ものなんだわ。","balloon#1b8dc2718ed0914c1540e5d9af23b443","NPC"
"balloon#2103b9f6201c8d2b324cd3194e974690","大事なバットなのに、どこいったんだと思ってたら……[l][chara_mod time=""@f1"" name=""NPC"" face=""sad""]こんなとこで出てきやがった。","balloon#2103b9f6201c8d2b324cd3194e974690","NPC"
"balloon#eeacab9014cc925d1e65a7f4327a4330","しかも、べっとり血までついてよぉ……。","balloon#eeacab9014cc925d1e65a7f4327a4330","NPC"
"balloon#8a1507d99d1a38fd535649618f9aae28","これじゃ、言い出せねぇだろう？","balloon#8a1507d99d1a38fd535649618f9aae28","NPC"
"balloon#66efe465f1d8f294ae1a232a5ee8d141","バットは[font color=@3][emb exp='tf.names.itsuki.NPC']のものだったけど、盗まれた[resetfont]のか。","balloon#66efe465f1d8f294ae1a232a5ee8d141","主人公"
"balloon#f59cde9c68cc93fb41a8e25fafadd3c6","その……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble""]やっぱ[emb exp='tf.names.NPC.me']、疑われるよなぁ？","balloon#f59cde9c68cc93fb41a8e25fafadd3c6","NPC"
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","主人公"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","主人公"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#5d426906d91522ef20ac89430be73b83","くっ……！","balloon#5d426906d91522ef20ac89430be73b83","NPC"
"balloon#c9c588bc85429a279623d0baa77cf524","まぁ、まだなんとも言えませんね。","balloon#c9c588bc85429a279623d0baa77cf524","主人公"
"balloon#5c8d2e4ec7cc992d34e63ad69396ddeb","ふぅ、焦ったぜ……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]やられる側はたまったもんじゃねぇな！","balloon#5c8d2e4ec7cc992d34e63ad69396ddeb","NPC"
"balloon#f377f5e7bb8f27cd8273c8798506d0af","[emb exp='tf.names.NPC.itsuki']にゃあ、一本取られたぜ！","balloon#f377f5e7bb8f27cd8273c8798506d0af","NPC"
"balloon#1ade3ec56d8f76de4d0cc6963e3d6f2a","バ、バット……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]なんだそりゃ、事件と関係あるんかねぇ？","balloon#1ade3ec56d8f76de4d0cc6963e3d6f2a","NPC"
"balloon#a729fecee0066466f0ae6dffc2e8b8f8","新しい血がついてたって……[l][chara_mod time=""@f1"" name=""NPC"" face=""panic""]ほら、そりゃあ、アレだよ、アレ！","balloon#a729fecee0066466f0ae6dffc2e8b8f8","NPC"
"balloon#6434640dd53d82d0e192a9acfe6225d8","怪しいなぁ……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""][emb exp='tf.names.itsuki.NPC']は、なにか思い当たることがあるのだろうか？","balloon#6434640dd53d82d0e192a9acfe6225d8","主人公"
"speaker_主人公","主人公","speaker_主人公",""
