"source","target","id","developer_comments"
"balloon#038dbbf432c14d35d6f7e5095cfe4ce4","……あれっ？","balloon#038dbbf432c14d35d6f7e5095cfe4ce4","主人公"
"balloon#03d61196ae6a2516269c4a081657d403","居間には四切れのスイカがあるけど……","balloon#03d61196ae6a2516269c4a081657d403","主人公"
"balloon#037788b7d0cd6bc589b1d0d8674e6120","ここには、シールがついたスイカがないぞ。","balloon#037788b7d0cd6bc589b1d0d8674e6120","主人公"
"balloon#6fbabc5b9ef49344f3ea8a3f68864620","ってことはつまり……","balloon#6fbabc5b9ef49344f3ea8a3f68864620","主人公"
"balloon#6883d3df2c7143a8a17c9b4e6b75caff","[font color=@3]シールのついていたスイカが、消えた一切れ[resetfont]ということか。","balloon#6883d3df2c7143a8a17c9b4e6b75caff","主人公"
"balloon#b8162f28e9816bd037081e2d8d061f62","でも、シールがついたスイカは一部だけ見つかっている。","balloon#b8162f28e9816bd037081e2d8d061f62","主人公"
"balloon#48e227fc6c21fa197f3bb6899160ef6b","[emb exp='tf.names.itsuki.iroha']がゴミ箱で見つけたスイカには、半分に切れたシールがついていた。","balloon#48e227fc6c21fa197f3bb6899160ef6b","主人公"
"balloon#9bfb8cac160c37ba239cce2d186db3d9","シールの残り半分がついたスイカは、いったいどこに……？","balloon#9bfb8cac160c37ba239cce2d186db3d9","主人公"
"balloon#08edf854191c31ff12303789a87fa619","あらっ、[emb exp='tf.names.chiyo.itsuki']……[l][chara_mod time=""@f1"" name=""千世"" face=""normal"" position=""right""]何しているの？","balloon#08edf854191c31ff12303789a87fa619","千世"
"balloon#39e8984c36b31759b99a77354dbf6b86","[emb exp='tf.names.itsuki.chiyo']！","balloon#39e8984c36b31759b99a77354dbf6b86","主人公"
"balloon#ccc256a0026fbedadcd4bce6fa40ff30","ちょうどいいところに、実は……","balloon#ccc256a0026fbedadcd4bce6fa40ff30","主人公"
"balloon#8e92a990f036316556d4bd439d907d74","シールのついたスイカねえ……。","balloon#8e92a990f036316556d4bd439d907d74","NPC"
"balloon#f9c74ad79e3a9393d4c9b981cb40eda9","言われてみれば、たしかに一切れあった気がするけど、居間にはないわね。","balloon#f9c74ad79e3a9393d4c9b981cb40eda9","NPC"
"balloon#dd318ab7952d5af7bc2951f7deb1ca71","つまり、[font color=@3]消えたスイカにはシールがついていた[resetfont]ということよね。","balloon#dd318ab7952d5af7bc2951f7deb1ca71","NPC"
"balloon#dde24589640842774304f090402795ce","はい、間違いないと思います。","balloon#dde24589640842774304f090402795ce","主人公"
"balloon#4a5d2c3c5baa6780113869cc085098c8","つまり、あらっ……。","balloon#4a5d2c3c5baa6780113869cc085098c8","NPC"
"balloon#03650a0c350f2a84aa5ca0f25e072ce5","やだわ……。","balloon#03650a0c350f2a84aa5ca0f25e072ce5","NPC"
"balloon#fa12c666f835d5c8bc3d6e2097776f2e","どうしたんですか？","balloon#fa12c666f835d5c8bc3d6e2097776f2e","主人公"
"balloon#20b69fbda6e16e26f1a2793e50e2bc9a","[emb exp='tf.names.NPC.me']ったら、勘違いしていたの！","balloon#20b69fbda6e16e26f1a2793e50e2bc9a","NPC"
"balloon#d038ecc4ebfac79fa327f89eb2ee3398","てっきり、[font color=@3][emb exp='tf.names.NPC.me']のスイカが消えた[resetfont]と思っていたんだけどね。","balloon#d038ecc4ebfac79fa327f89eb2ee3398","NPC"
"balloon#bbccb93c6e6fde923386839fb22859b7","私のスイカが消えた……？","balloon#bbccb93c6e6fde923386839fb22859b7","主人公"
"balloon#bdbbc021bb91dc8026c0ee3898e55701","えっと、どういうことですか？","balloon#bdbbc021bb91dc8026c0ee3898e55701","主人公"
"balloon#e8f451c8ca102c4fb8b73214e2a3624a","実は[emb exp='tf.names.NPC.me']ね、スイカを五切れに切ったとき……","balloon#e8f451c8ca102c4fb8b73214e2a3624a","NPC"
"balloon#15939b177ef91df3222ff42812be948f","スイカを一切れ落としちゃったのよ。","balloon#15939b177ef91df3222ff42812be948f","NPC"
"balloon#bf776bcd1b1355113a7f405d42bcf254","[emb exp='f.npc_nickname']がスイカを切ったときに、そんなことがあったのか。","balloon#bf776bcd1b1355113a7f405d42bcf254","主人公"
"balloon#7f9656b8130bc141d0421b3c32cbf791","床に落としたものを孫に食べさせるわけにはいかないから、[emb exp='tf.names.NPC.me']の分にしようと思って。","balloon#7f9656b8130bc141d0421b3c32cbf791","NPC"
"balloon#2f2cf13e9c3db3341ccb43f120a5ff75","落としたスイカを拾って洗ったあと、わかりやすく端に戻したのよ。","balloon#2f2cf13e9c3db3341ccb43f120a5ff75","NPC"
"balloon#776153ea2d6ba1ca0abcc00b82b9ab14","それで、端にあったスイカが消えたから、てっきり[emb exp='tf.names.NPC.me']の分が消えたと勘違いしてね。","balloon#776153ea2d6ba1ca0abcc00b82b9ab14","NPC"
"balloon#4b6a859a177749583bfb0e1ed770a478","でも、シールの話で思い出したのよ……","balloon#4b6a859a177749583bfb0e1ed770a478","NPC"
"balloon#37fea59e97ad7a7f629e59a170a0e396","[emb exp='tf.names.NPC.me']が[font color=@3]落としたスイカには、シールなんてついてなかった[resetfont]の。","balloon#37fea59e97ad7a7f629e59a170a0e396","NPC"
"balloon#2f6233291918cc83c3ac2602d109c842","だから、居間に残っている四切れのうち一切れが、私の落としたスイカってことね。","balloon#2f6233291918cc83c3ac2602d109c842","NPC"
"balloon#be4e7e2a128c4a7aef8f6ee5cb56be9b","そうか、[emb exp='tf.names.itsuki.NPC']が落としたスイカに[font color=@3]シールはついていなかった[resetfont]のか。","balloon#be4e7e2a128c4a7aef8f6ee5cb56be9b","主人公"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_千世","千世","speaker_千世",""
