"source","target","id","developer_comments"
"balloon#a6bd5225216c4b08a680120b4eac600c","さてと、これで全員の話が聞けたわね。","balloon#a6bd5225216c4b08a680120b4eac600c","彩葉"
"balloon#866791e5bd7fcb0d6eb42d52e8371fd9","よし、もうこれですっきりしたな！","balloon#866791e5bd7fcb0d6eb42d52e8371fd9","陽平"
"balloon#d753fbe9587b10939184686eaeccadd7","みんな言いたいことは、言えたかしら。","balloon#d753fbe9587b10939184686eaeccadd7","千世"
"balloon#4b4e2494b0b4ed2316a03e51c6230c8f","うん、思い残すことはないよ……[l][chara_mod time=""@f1"" name=""歌葉"" face=""laugh"" position=""right""]なんてね！","balloon#4b4e2494b0b4ed2316a03e51c6230c8f","歌葉"
"balloon#7d2449e480d2c533e5aa90af714b9452","う、うん……。","balloon#7d2449e480d2c533e5aa90af714b9452","主人公"
"balloon#d49ac27d088c41cc3c24f53717bedff8","でも、まだ何も解決していないぞ。","balloon#d49ac27d088c41cc3c24f53717bedff8","主人公"
"speaker_彩葉","彩葉","speaker_彩葉",""
"speaker_陽平","陽平","speaker_陽平",""
"speaker_千世","千世","speaker_千世",""
"speaker_歌葉","歌葉","speaker_歌葉",""
"speaker_主人公","主人公","speaker_主人公",""
