"source","target","id","developer_comments"
"balloon#a065e78aa120319b46616cf6adc40d78","竟然无声无息地消失了……","balloon#a065e78aa120319b46616cf6adc40d78","机翻辅助：

竟然无声无息地消失了……

竟然悄无声息地消失了……

没有声音就消失了……"
"balloon#9561ee6435a536e990a71e03b39ab8d6","真是的，世事真是奇妙。","balloon#9561ee6435a536e990a71e03b39ab8d6","机翻辅助：

真是的，世事真是奇妙。

真是的，也有不可思议的事情。

真是不可思议啊。"
"balloon#3d68fabe590efe8878597323d4d62901","对了，我刚才在家里到处找，想看看有没有遗漏什么……","balloon#3d68fabe590efe8878597323d4d62901","机翻辅助：

对了，我刚才在家里到处找，想看看有没有遗漏什么……

这么说来，有没有什么遗漏，刚才在家里到处找……

对了，刚才我在家里找了一圈，想看看有没有什么疏漏……"
"balloon#f95b074b63d1f8e2294c5a53986a64aa","结果发现了一个令人在意的东西。","balloon#f95b074b63d1f8e2294c5a53986a64aa","机翻辅助：

结果发现了一个令人在意的东西。

我发现了在意的东西。

我找到了在意的东西。"
"balloon#a12015f8d3b173685f1274292e2c4395","跟我来！","balloon#a12015f8d3b173685f1274292e2c4395","机翻辅助：

跟我来！"
"balloon#a9d610db77748b1095105d8e805054a4","是、是的！","balloon#a9d610db77748b1095105d8e805054a4","机翻辅助：

是、是的！

是、是！

好、好！"
"balloon#b491fe5c5422c9b1dce6f04fbfd28421","……这是什么？","balloon#b491fe5c5422c9b1dce6f04fbfd28421","机翻辅助：

……这是什么？

……这是什么呢？"
"balloon#d6fb32e47d3f3cd53b0608cccbe7e48c","[emb exp='tf.names.NPC.chiyo']平常都会好好锁门……","balloon#d6fb32e47d3f3cd53b0608cccbe7e48c","机翻辅助：

[emb exp='tf.names.NPC.chiyo']平常都会好好锁门……

[emb exp='tf.names.NPC.chiyo']平时就紧紧地关着门……

[emb exp='tf.names.NPC.chiyo']平时就把门关得紧紧的……"
"balloon#518761540a633734d845d5ffa504f30f","但是，[emb exp='tf.names.NPC.chiyo']寝室的小窗户[font color=@3]却没锁[resetfont]。","balloon#518761540a633734d845d5ffa504f30f","机翻辅助：

但是，[emb exp='tf.names.NPC.chiyo']寝室的小窗户[font color=@3]却没锁[resetfont]。

不知道为什么[emb exp='tf.names.NPC.chiyo']卧室的小窗户的钥匙开着。[font color=@3][resetfont]

为什么[emb exp='tf.names.NPC.chiyo']卧室的小窗是开着的？[font color=@3][resetfont]"
"balloon#44d7e29f9087090a8ea0cf5250f8f7f6","[font color=@3]小窗的锁的确是处于打开的状态[resetfont]。","balloon#44d7e29f9087090a8ea0cf5250f8f7f6","机翻辅助：

[font color=@3]小窗的锁的确是处于打开的状态[resetfont]。

确实，小窗的锁好像是开着的。[font color=@3][resetfont]

确实，小窗户的钥匙好像是开着的。[font color=@3][resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
