"source","target","id","developer_comments"
"balloon#afe11a7d0caeb3c641f7c93d3e2d2b67","うーん。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""][emb exp='tf.names.NPC.mashima']について気になることは、今は特にないわね。","balloon#afe11a7d0caeb3c641f7c93d3e2d2b67","NPC"
"balloon#a727f73f127195be0ce2e06c8285ccb4","[emb exp='tf.names.itsuki.NPC']が[emb exp='tf.names.itsuki.mashima']について気になっていたことは、もう解決できたみたいだ。","balloon#a727f73f127195be0ce2e06c8285ccb4","主人公"
"balloon#250ba6512e16bc8293e116496bc34c3b","[emb exp='tf.names.NPC.me']にそれをまた聞くってことは……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble""][emb exp='tf.names.NPC.me']のことを疑っているの？","balloon#250ba6512e16bc8293e116496bc34c3b","NPC"
"balloon#ec605fc5eb1c8701a2ec25e4befb7c55","いや、そういうわけじゃ……。","balloon#ec605fc5eb1c8701a2ec25e4befb7c55","主人公"
"balloon#6af76b2a887b9ed75474b23541ccb70e","……まあいいわ。","balloon#6af76b2a887b9ed75474b23541ccb70e","NPC"
"balloon#931fc0e6a9c930aa4396db4840617182","[emb exp='tf.names.NPC.me']も[emb exp='tf.names.NPC.itsuki']のことを疑っているんだから。","balloon#931fc0e6a9c930aa4396db4840617182","NPC"
"balloon#f8be7274b97e25bb6ba770d31d109383","たしかに[emb exp='tf.names.NPC.me']は[emb exp='tf.names.NPC.mashima']と一緒に居たわよ。","balloon#f8be7274b97e25bb6ba770d31d109383","NPC"
"balloon#4f0436a5e8dae7c6cb567efd798fd014","そしてさっきも話したけど、そのときの彼の[font color=@3]足元で何か隠す仕草[resetfont]が気になったの。","balloon#4f0436a5e8dae7c6cb567efd798fd014","NPC"
"balloon#f96722f3bd9c7805a7910cee59fd6234","写真館の前での[font color=@3]足元で何かを隠すような仕草[resetfont]か……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]たしかに気になるな。","balloon#f96722f3bd9c7805a7910cee59fd6234","主人公"
"balloon#a0ab5c2342058c49abfb899eb04e0620","[emb exp='tf.names.NPC.mashima']とは、たしかに写真館の前で会ったわ。[l][chara_mod time=""@f1"" name=""NPC"" face=""panic""]けど……","balloon#a0ab5c2342058c49abfb899eb04e0620","NPC"
"balloon#646a97c382617887be58568c47d50945","……けど？","balloon#646a97c382617887be58568c47d50945","主人公"
"balloon#f743873ec900b0fb46e0fd96e819cf70","[emb exp='tf.names.NPC.me']に気づいたとたん、[emb exp='tf.names.NPC.mashima']の様子がちょっと変だったの。","balloon#f743873ec900b0fb46e0fd96e819cf70","NPC"
"balloon#85a86c6668accc53a11059ca6e7defd1","彼、慌てて[font color=@3]足元で何かを隠すような仕草[resetfont]をしたのよ。","balloon#85a86c6668accc53a11059ca6e7defd1","NPC"
"balloon#87e1a762684b435f0c1ab286db672552","たしか[font color=@3]12:42[resetfont]のことね。","balloon#87e1a762684b435f0c1ab286db672552","NPC"
"speaker_主人公","主人公","speaker_主人公",""
