"source","target","id","developer_comments"
"balloon#7a52a767a1b4635be6f084fbd57a425f","虽然我很犹豫该不该说，但还是告诉[emb exp='tf.names.NPC.itsuki']吧。","balloon#7a52a767a1b4635be6f084fbd57a425f","机翻辅助：

虽然我很犹豫该不该说，但还是告诉[emb exp='tf.names.NPC.itsuki']吧。

我犹豫着该不该说，还是告诉[emb exp='tf.names.NPC.itsuki']吧。

我不知道该不该说，也告诉[emb exp='tf.names.NPC.itsuki']吧。"
"balloon#b10034d1016ba93e4f804f77af6ec7aa","其实[emb exp='tf.names.NPC.chiyo']还在我们家的时候，有人打电话过来。","balloon#b10034d1016ba93e4f804f77af6ec7aa","机翻辅助：

其实[emb exp='tf.names.NPC.chiyo']还在我们家的时候，有人打电话过来。

其实[emb exp='tf.names.NPC.chiyo']还在家的时候，有个电话打来了。

其实[emb exp='tf.names.NPC.chiyo']还在家的时候，来电话了。"
"balloon#ebd262976f6c81b6795ce3533900289b","而那通电话……[l]是[emb exp='tf.names.NPC.kusakabe']打来的。","balloon#ebd262976f6c81b6795ce3533900289b","机翻辅助：

而那通电话……[l]是[emb exp='tf.names.NPC.kusakabe']打来的。

那是从[emb exp='tf.names.NPC.kusakabe']开始的。[l]

那个……是[emb exp='tf.names.NPC.kusakabe']打来的。[l]"
"balloon#96e085f74e5543bba46bdd937838c1be","事件发生前，[emb exp='tf.names.itsuki.kusakabe']打了电话过来？","balloon#96e085f74e5543bba46bdd937838c1be","机翻辅助：

事件发生前，[emb exp='tf.names.itsuki.kusakabe']打了电话过来？

事件发生前，[emb exp='tf.names.itsuki.kusakabe']打来电话？

事件发生前，[emb exp='tf.names.itsuki.kusakabe']打来了电话？"
"balloon#16fdf5cb858fee9b7a2d667ad02bae5f","光是打电话过来就已经很稀奇了，而且在通话中，[emb exp='tf.names.NPC.chiyo']竟然……","balloon#16fdf5cb858fee9b7a2d667ad02bae5f","机翻辅助：

光是打电话过来就已经很稀奇了，而且在通话中，[emb exp='tf.names.NPC.chiyo']竟然……

电话本身也很少见，通话中[emb exp='tf.names.NPC.chiyo']哟……

电话本身也很少见，但是通话中有[emb exp='tf.names.NPC.chiyo']哦……"
"balloon#8392c72923c79cc8bfd70da8b67f85b9","[font color=@3]“又是这件事吗……[l]请不要再问了！”[resetfont]","balloon#8392c72923c79cc8bfd70da8b67f85b9","机翻辅助：

[font color=@3]“又是这件事吗……[l]请不要再问了！”[resetfont]

[font color=@3]“又是那个故事吗……[l]请不要再问了！”[resetfont]

[font color=@3]“又是那件事吗……[l]请不要再问了！”[resetfont]"
"balloon#371ad053dd141a97b0162111e537e72b","……她难得大声说话。","balloon#371ad053dd141a97b0162111e537e72b","机翻辅助：

……她难得大声说话。

……什么的，难得发出很大的声音。

……因为她难得这么大声说话。"
"balloon#cca6ec3fd8f47cb9611c6abbd1898451","[emb exp='tf.names.NPC.me']也吓了一跳，所以印象很深刻。","balloon#cca6ec3fd8f47cb9611c6abbd1898451","机翻辅助：

[emb exp='tf.names.NPC.me']也吓了一跳，所以印象很深刻。

[emb exp='tf.names.NPC.me']也吓了一跳，留下了印象。

[emb exp='tf.names.NPC.me']也吓了一跳，给我留下了深刻的印象。"
"balloon#72c7350bd86af2c8ea568269a40d42ef","[font color=@3]时间是13:22[resetfont]左右。","balloon#72c7350bd86af2c8ea568269a40d42ef","机翻辅助：

[font color=@3]时间是13:22[resetfont]左右。

[font color=@3]我想是13:22左右。[resetfont]

[font color=@3]我想大概是这个时候。[resetfont]"
"balloon#1ea0bdfb1fb8f472096e1bb9fcdbe060","原来当时[font color=@3][emb exp='tf.names.itsuki.chiyo']和[emb exp='tf.names.itsuki.kusakabe'][resetfont]在电话中吵架啊。","balloon#1ea0bdfb1fb8f472096e1bb9fcdbe060","机翻辅助：

原来当时[font color=@3][emb exp='tf.names.itsuki.chiyo']和[emb exp='tf.names.itsuki.kusakabe'][resetfont]在电话中吵架啊。

原来[emb exp='tf.names.itsuki.chiyo']和[emb exp='tf.names.itsuki.kusakabe']在电话里发生口角。[font color=@3][resetfont]

电话那头[font color=@3][emb exp='tf.names.itsuki.chiyo']和[emb exp='tf.names.itsuki.kusakabe']吵架了吗？[resetfont]"
