"source","target","id","developer_comments"
"[0]/text","请选择想要密谈的对象。","[0]/text","机翻辅助：

请选择想要密谈的对象。

请选择想要密谈的对象

请选择想密谈的对象"
"[1]/text","请选择对密谈对象的行动。","[1]/text","机翻辅助：

请选择对密谈对象的行动。

请选择对密谈对象的行动

选择对密谈对象采取的行动。"
"[2]/text","请选择想询问密谈对象的线索。","[2]/text","机翻辅助：

请选择想询问密谈对象的线索。

请选择想向密谈对象提问的线索

密谈请选择你想向对方提问的线索"
"[3]/text","请选择想推理的疑问。","[3]/text","机翻辅助：

请选择想推理的疑问。

请选择你想推理答案的问题。

选择你想推理答案的问题"
"[4]/text","请选择【推理所需的线索】下方的字段。","[4]/text","机翻辅助：

请选择【推理所需的线索】下方的字段。

请选择【推理所需的线索】下面的插槽

请选择【推理所需线索】下面的插槽"
"[5]/text","请选择推理所需的线索。","[5]/text","机翻辅助：

请选择推理所需的线索。

请选择推理时使用的线索

请选择用于推理的线索"
"[6]/text","请选择决定完成的推理。","[6]/text","机翻辅助：

请选择“决定”完成推理。

请选择决定完成推理

请选择决定来完成推理。"
"[7]/text","请选择想告知推理的疑问。","[7]/text","机翻辅助：

请选择想告知推理的疑问。

请选择想要告知推理的疑问

请选择想要告知推理的问题。"
"[8]/text","请选择一名要投票为犯人的对象。","[8]/text","机翻辅助：

请选择一名要投票为犯人的对象。

作为犯人请选择一个投票的对象

请选择一个投你票的犯人。"
"[9]/text","选择疑问后，将开始【推理】。","[9]/text","机翻辅助：

选择疑问后，将开始【推理】。

选择疑问后开始【推理】

选择一个问题，然后开始【推理】。"
"[10]/text","这是【推理】与【提问】使用的线索一览。","[10]/text","机翻辅助：

这是【推理】与【质问】使用的线索一览。

用于【推理】和【提问】的线索一览

【推理】和【提问】中使用的线索一览表"
"[11]/text","这是按照事件的【时间顺序】排列线索的列表。","[11]/text","机翻辅助：

这是按照事件的【时间顺序】排列线索的列表。

这是根据事件的【时间线】排列的线索列表

是按照事件的时间顺序排列线索的一览表"
"[12]/text","这是与事件相关的人物资讯。","[12]/text","机翻辅助：

这是与事件相关的人物资讯。

事件相关的人物信息。

与案件有关的人物信息"
"[13]/text","这是至今令人印象深刻的回忆。","[13]/text","机翻辅助：

这是至今令人印象深刻的事件。

这是至今为止令人印象深刻的事情的回忆

这是一个令人印象深刻的回忆。"
"[14]/text","这是与事件相关的周边状况。","[14]/text","机翻辅助：

这是与事件相关的周边状况。

与案件有关的周边情况

与事件相关的环境。"
"[15]/text","※注意※<br>进行接下来的推理后，将会到达限制时间，<br><font color='@1'>调查阶段将结束</font>。","[15]/text","机翻辅助：

※注意※<br>进行接下来的推理后，限制时间将消失<br><font color='@1'>调查阶段将结束</font>。

※注意※<br>进行下一次推理后没有限制时间<br><font color='@1'>调查阶段结束</font>。

※注意※<br>进行下一个推理之后就没有时间限制了<br><font color='@1'>调查阶段结束</font>。"
"[16]/text","※注意※<br>进行接下来的提问后，将会到达限制时间，<br><font color='@1'>调查阶段将结束</font>。","[16]/text","机翻辅助：

※注意※<br>进行接下来的质问后，限制时间将消失<br><font color='@1'>调查阶段将结束</font>。

※注意※<br>进行下一个问题后没有限制时间<br><font color='@1'>调查阶段结束</font>。

※注意※<br>进行下一个问题后就没有时间限制<br><font color='@1'>调查阶段结束</font>。"
"[17]/text","※注意※<br>告知接下来的推理后，将会到达限制时间，<br><font color='@1'>调查阶段将结束</font>。","[17]/text","机翻辅助：

※注意※<br>传达接下来的推理后，限制时间将消失<br><font color='@1'>调查阶段将结束</font>。

※注意※<br>传达下一次推理后没有限制时间<br><font color='@1'>调查阶段结束</font>。

※注意※<br>传达下一个推理之后就没有时间限制了<br><font color='@1'>调查阶段结束</font>。"
"[18]/text","我被怀疑是犯人了。必须在调查或集体讨论中<font color='@3'>得到大家的信任</font>……","[18]/text","机翻辅助：

我被怀疑是犯人了。必须在调查或集体讨论中<font color='@3'>得到大家的信任</font>……

我被怀疑是犯人。在调查和集体讨论中更应该得到大家的信任……<font color='@3'></font>

我被怀疑是凶手。如果不能通过调查和集体讨论获得大家的信任……<font color='@3'></font>"
"[19]/text","没能找到真正的凶手。
必须通过调查<font color='@3'>查明事件的真相</font>……","[19]/text","机翻辅助：

没能找到真正的凶手。必须
通过调查<font color='@3'>查明事件的真相</font>……"
"[20]/text","没能把票集中投给认为是犯人的人。必须在调查或集体讨论中<font color='@3'>得到信任</font>……","[20]/text","机翻辅助：

没能集中票投给认为是犯人的人。必须在调查或集体讨论中<font color='@3'>得到信任</font>……

认为是犯人的人没有得到选票。在调查和集体讨论中，更应该被信任……<font color='@3'></font>

认为是犯人的人没有得到选票。如果不能通过调查和集体讨论获得更多的信任……<font color='@3'></font>"
"[21]/text","可以确认操作方法与游戏方式。","[21]/text","机翻辅助：

可以确认操作方法与游戏方式

可以确认操作方法和玩法

来确认如何操作和如何玩。"
"[22]/text","相簿中没有资料。","[22]/text","机翻辅助：

相簿中没有资料。

相册里没有数据。"
"[23]/text","请选择要开始游戏的场面。","[23]/text","机翻辅助：

请选择要开始游戏的场面。

请选择想要开始游戏的场面

选择你想要开始游戏的场景。"
"[24]/text","这是最后一次行动。<br><font color='@1'>构筑推理后，会结束调查阶段。</font>","[24]/text","机翻辅助：

这是最后一次行动。<br><font color='@1'>进行推理结构将会结束调查阶段。</font>

这是最后一次行动。<br><font color='@1'>进行推理构筑后，调查阶段结束。</font>

这是最后一次行动。<br><font color='@1'>进行推理构筑的话调查阶段就结束了。</font>"
"[25]/text","就算再问一次从本人那里得到的线索，<font color='@1'>也无法获得新情报</font>吧。","[25]/text","机翻辅助：

就算再问一次本人的线索，<font color='@1'>也无法获得新情报</font>吧。

即使再问一次从本人那里得到的线索，也得不到新的信息。<font color='@1'></font>

即使再次向本人询问本人的线索，也不会得到新的信息。<font color='@1'></font>"
"[26]/text","将人物情报写了下来。","[26]/text","机翻辅助：

我将人物情报写了下来。

记下了人物信息。

我记下了人物信息。"
"[27]/text","将新的【地图】画在了笔记本上。","[27]/text","机翻辅助：

将新的【地图】写在笔记本上。

把新的【地图】写在了笔记本上。

我在笔记本上记下了新的【地图】。"
"[28]/text","将疑问写了下来。","[28]/text","机翻辅助：

将疑问写了下来。

把疑问写下来了。

把疑问记下来了。"
"[29]/text","可以阅览已经玩过的事件与视频。","[29]/text","机翻辅助：

可以阅览已经玩过的事件与视频。

你可以看到已经玩过的活动和影片。

可以浏览已播放的活动和电影"
"[30]/text","可以变更各种设定。","[30]/text","机翻辅助：

可以变更各种设定。

可以更改各种设置

你可以更改各种设置。"
"[31]/text","请选择要存档的位置。","[31]/text","机翻辅助：

请选择要存档的档案。

请选择要保存的插槽

选择你想保留的插槽。"
"[32]/text","存档位置已锁定。","[32]/text","机翻辅助：

档案被锁住了。

存储插槽已锁定

保存槽被锁住了。"
