"source","target","id","developer_comments"
"balloon#fce3ecb71cd002dc78c6d4a28347873e","君ね、まだそんなに若いのに……","balloon#fce3ecb71cd002dc78c6d4a28347873e","NPC"
"balloon#c3e6c15adf45b6073989002affdc6e4c","忘れました……[l][chara_mod time=""@f1"" name=""NPC"" face=""earnest""]で、ごまかせると思ったのかい？","balloon#c3e6c15adf45b6073989002affdc6e4c","NPC"
"balloon#5da66bced987bb4a09f9be6430815c94","そんな……。","balloon#5da66bced987bb4a09f9be6430815c94","主人公"
"balloon#3332a840774517d47463039ff6e33099","殺人現場を目の当たりにしての、突発性健忘症なのか……","balloon#3332a840774517d47463039ff6e33099","NPC"
"balloon#d7becbd7df7a115a67a6cfeb55c91c7e","それとも単に、やましいことでもあるのか。","balloon#d7becbd7df7a115a67a6cfeb55c91c7e","NPC"
"balloon#23c425b6a7c6dd52a7f02f99e6ae2114","とにかく、そんな態度を続けても誰の信用も得られないよ。","balloon#23c425b6a7c6dd52a7f02f99e6ae2114","NPC"
"balloon#70e19b40adc0add9d8ba99d9ae32ddbc","はやく、なにか思い出してくれないとね。","balloon#70e19b40adc0add9d8ba99d9ae32ddbc","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#f95f717308622eed17e12e04cccb314b","そうだ、情報を集めて昨晩の出来事を思い出さないと……。","balloon#f95f717308622eed17e12e04cccb314b","主人公"
"speaker_主人公","主人公","speaker_主人公",""
