"source","target","id","developer_comments"
"[0]/title","消えたスイカ","[0]/title",""
"[0]/text","千世ばあちゃんが五切れに切ったはずのスイカが、一切れ消えた。<br>スイカが消える直前に写真館に居たのは、全部で5人。<br><br>血のつながらない従兄弟の、陽ちゃん。<br>姉妹の彩葉と、歌葉。<br>スイカを切ってくれた千世ばあちゃん。<br>そして、僕自身だ。<br><br>みんなそれぞれ何かが気になる様子だが、言い出せない……そんな雰囲気だ。<br>ここは、これからお世話になる僕が一肌脱いで、みんなの疑問を解決しよう。<br><br>千世ばあちゃんが夕飯の支度を始めるまで、残された時間はわずかだ。<br>","[0]/text",""
"[1]/title","写真館のぼや騒ぎ","[1]/title",""
"[1]/text","12:53ごろ写真館のスタジオでぼや騒ぎが起き、母さんが消火を行った。<br>事件の直前に島を出歩いていた容疑者は、全部で5人。<br><br>島の警察官、真島さん。<br>医師である、神代先生。<br>商店の店主、海老原さん。<br>未来で僕の養母となる、佐倉 久美子。<br>そして、僕自身も容疑者の1人として疑われている。<br><br>このぼや騒ぎを起こした犯人が、今夜大助さんが亡くなる火事や<br>2004年の写真館で起きた火事に関与している可能性が高い。<br><br>今夜の火事で大助さんが亡くなるまでに、残された時間は少ない。<br>陽ちゃんのためにも、かならず犯人を見つけ出そう。","[1]/text",""
"[2]/title","歌葉の神隠し","[2]/title",""
"[2]/text","式音島の学校でかくれんぼをしている最中、歌葉が姿を消した。<br>事件の前後に学校へ立ち寄っていた容疑者と、話し合いをすることになった。<br><br>写真館で働く、佐倉 亮さん。<br>この学校の、影山校長。<br>学校の教師、結城先生。<br>島の警察官、真島さん。<br>そして、僕自身も容疑者の1人だ。<br><br>容疑者以外にも、幼い彩葉が調査に協力してくれる。<br><br>学校は町から離れた場所にあり、簡単に忍び込めるような構造ではない。<br>つまりこの場にいる誰かが、歌葉の行方を知っている可能性が非常に高い。<br><br>なんとしても、歌葉の行方を聞き出さなければならない。<br>歌葉を助けるという彩葉との約束を、かならず守ってみせる。","[2]/text",""
"[3]/title","鉄男の神隠し","[3]/title",""
"[3]/text","式音島の裏山にある山小屋で、鉄男さんと結城先生が襲われた。<br>事件の前後に裏山へ立ち入っていた容疑者たちと、山小屋で話し合うことになった。<br><br>島の警察官、真島さん。<br>商店の店主、海老原さん。<br>学校の教師、結城先生。<br><br>医師である神代先生は、怪我をした結城先生に付き添ってくれている。<br><br>そして、僕自身も容疑者の1人だ。<br><br>僕はいま、2004年へ戻るための“家族写真”を持っていない。<br>疑いを晴らさなければ、最悪の場合この1989年から帰れなくなってしまう。<br><br>まだ鉄男さんを救うチャンスは残されている。<br>なんとしても、二つの事件の謎を解き明かそう。<br>","[3]/text",""
"[4]/title","消えた千世","[4]/title",""
"[4]/text","写真館から、千世ばあちゃんが姿を消した。<br>事件の前後に写真館へ立ち寄っていた人間は、限られている。<br><br>千世ばあちゃんの息子、大助さん。<br>千世ばあちゃんの孫、陽ちゃん。<br>島の警察官、牧野さん。<br>医師である、日下部先生。<br><br>僕に嘘をつく理由がないから、未来の僕が事件に関与している可能性はない。<br><br>未来の僕は『過去が変わっている』と言っていた。<br>つまり誰かが、千世ばあちゃんの行動に影響を及ぼした可能性がある。<br><br>未来の僕が先に千世ばあちゃんを見つけると、大変なことになる。<br>時間の猶予はない、一刻も早く千世ばあちゃんを見つけ出そう。<br>","[4]/text",""
"[5]/title","写真館の殺人","[5]/title",""
"[5]/text","目を覚ました僕の前には、千世ばあちゃんの亡骸があった。<br>そして僕はこの手に、遺体の胸に深々と突き刺さった包丁を握りしめていた。<br>昨晩から今朝にかけてのアリバイがない容疑者は、全部で6人。<br><br>僕の養父、天沢 仁。<br>島の警察官、牧野さん。<br>学校の教師、結城先生。<br>医師である、日下部先生。<br>本土の警察の事情聴取を受けた後現れるだろう、影山校長。<br><br>そして僕は、重要参考人として全員に強く疑われている。<br><br>過去に戻るための写真は、何者かによって持ち去られていた。<br>犯人を見つけ出す以外に、写真を取り戻す方法は思いつかない。<br>本土の警察が事情聴取を始めるまで、残された時間は少ない。<br>なんとしてもこの時間で、犯人を見つけ出そう。","[5]/text",""
