"source","target","id","developer_comments"
"text#7c535c09382b9fa230fdd1a0d7912d9a","事件概要","text#7c535c09382b9fa230fdd1a0d7912d9a",""
"text#5a37317dd7159f7118033df7096a184d","疑问推理","text#5a37317dd7159f7118033df7096a184d","机翻辅助：

疑问推理

疑问、推理

疑问·推理"
"text#eb5da3d14f2af63f94a2527731b5c987","线索","text#eb5da3d14f2af63f94a2527731b5c987","机翻辅助：

线索"
"text#05987941bb6327e4922d146e7f76e9bb","时间顺序","text#05987941bb6327e4922d146e7f76e9bb","机翻辅助：

时间顺序

时间序列"
"text#76d992dcff631d69631627e1692b40fb","地图","text#76d992dcff631d69631627e1692b40fb","机翻辅助：

地图

映射"
"text#54a5d7e61379d2695787a4c3ee375cf2","人物信息","text#54a5d7e61379d2695787a4c3ee375cf2","机翻辅助：

人物信息"
"text#9099c57188f60e64bcb45c31576b70dc","#不在场证明","text#9099c57188f60e64bcb45c31576b70dc","机翻辅助：

#不在场证明"
"text#610bcc9ad3268bd371329a57b5ee143a","#证词","text#610bcc9ad3268bd371329a57b5ee143a","机翻辅助：

#证词"
"text#505be52e1a160ea15694706d854aed24","#物证","text#505be52e1a160ea15694706d854aed24","机翻辅助：

#物证"
"text#a8b53fac2b0ac2f8c2947e386824b74c","未设定","text#a8b53fac2b0ac2f8c2947e386824b74c","机翻辅助：

未设定

未设置"
"text#b9473d92d2e916649d56e8c060a6cfe5","${hasCharactor.name}的疑问","text#b9473d92d2e916649d56e8c060a6cfe5","机翻辅助：

${hasCharactor.name}的疑问

${hasCharactor.name}疑问"
"text#eb922f4f3877da3db7cc406ad6843bab","推理所需线索","text#eb922f4f3877da3db7cc406ad6843bab","机翻辅助：

推理所需线索

推理所需的线索"
"text#1ad9dc0af2744eaad8a1d87d18bac422","树的推理","text#1ad9dc0af2744eaad8a1d87d18bac422","机翻辅助：

树的推理"
"text#f6118280b10685c86bbe4ded92d2fc13","推理的说服力","text#f6118280b10685c86bbe4ded92d2fc13","机翻辅助：

推理的说服力"
"text#7819e7780d3368602568cb35ac98755f","移除线索","text#7819e7780d3368602568cb35ac98755f","机翻辅助：

移除线索

解开线索

排除线索"
"text#ef03e852a58d7ebff8d8b13b262de858","推理","text#ef03e852a58d7ebff8d8b13b262de858","机翻辅助：

推理"
"text#3093010d3d6b88b18d810d716aaae815","照相馆的骚动","text#3093010d3d6b88b18d810d716aaae815","机翻辅助：

照相馆的骚动

照相馆的喧哗声"
