"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。","balloon#583f7be9a9169decbdeb5973474da03f","机翻辅助：

我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。

传达了对[emb exp='f.npc_sysname']的疑问“[emb exp='f.doubt.title']”的回答的推理。"
"balloon#7c8331b049c8ce69474d47ed47861287","………………","balloon#7c8331b049c8ce69474d47ed47861287",""
"balloon#c0629178c3eebd834d58ab183610d95c","…………","balloon#c0629178c3eebd834d58ab183610d95c",""
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#259b9ee7bd433821449c81f663698734","真的耶，[font color=@3]如果是那种推理[resetfont]，我就能接受了。","balloon#259b9ee7bd433821449c81f663698734","机翻辅助：

真的耶，[font color=@3]如果是那种推理[resetfont]，我就能接受了。

真的，如果是那个推理的话[font color=@3]能理解[resetfont]哇。

真的，这个推理的话，我能接受。[font color=@3][resetfont]"
"balloon#1e7e5a2544e14818712c1c3196d1acd4","好，[emb exp='tf.names.itsuki.me']推理时选择的[font color=@3]线索[resetfont]，
似乎[font color=@3]有十足的说服力[resetfont]！","balloon#1e7e5a2544e14818712c1c3196d1acd4","机翻辅助：

好，[emb exp='tf.names.itsuki.me']推理时选择的[font color=@3]线索[resetfont]，
[font color=@3]似乎有十足的说服力[resetfont]！

好，[emb exp='tf.names.itsuki.me']选择推理的[font color=@3]线索[resetfont]，好像有充分的说服力
[font color=@3]！[resetfont]

好吧，[emb exp='tf.names.itsuki.me']选择推理的[font color=@3]线索[resetfont]
[font color=@3][resetfont]似乎有足够的说服力！"
"balloon#05bb4cae7ae4e30dfdbdfb74b70fc8f6","在[emb exp='tf.names.NPC.me']离开厨房的期间，有人为了切西瓜而使用菜刀和砧板。","balloon#05bb4cae7ae4e30dfdbdfb74b70fc8f6","机翻辅助：

在[emb exp='tf.names.NPC.me']离开厨房的期间，有人为了切西瓜而使用菜刀和砧板。

[emb exp='tf.names.NPC.me']离开厨房的时候，有人用菜刀和砧板切西瓜了。

[emb exp='tf.names.NPC.me']离开厨房的时候，有人用菜刀和案板切西瓜。"
"balloon#e2fb23121854a71b5691dd76e8670609","就是这么回事吧。","balloon#e2fb23121854a71b5691dd76e8670609","机翻辅助：

就是这么回事吧。

就是这么回事。"
"balloon#a560527d82cf3db2ed8b9fae587af723","可是，到底是谁切了西瓜呢……？","balloon#a560527d82cf3db2ed8b9fae587af723","机翻辅助：

可是，到底是谁切了西瓜呢……？

但是，到底是谁在切西瓜呢……？

可是，到底是谁在切西瓜呢……？"
"balloon#a189cc96ffce3aedad7aa4aa8b650fe0","多亏了你，我总算知道在意的事情了。","balloon#a189cc96ffce3aedad7aa4aa8b650fe0","机翻辅助：

多亏了你，我总算知道在意的事情了。

托你的福，我知道了你很在意的事情。

托你的福，我知道了我在意的事情。"
