"source","target","id","developer_comments"
"balloon#6e5dec9623cab735a50a4b0e1f8abd25","这样啊。[emb exp='tf.names.NPC.mashima']不可能犯案，这个话题已经够了吧。","balloon#6e5dec9623cab735a50a4b0e1f8abd25","机翻辅助：

这样啊。[emb exp='tf.names.NPC.mashima']不可能犯案，这个话题已经够了吧。

是吗？[emb exp='tf.names.NPC.mashima']不可能作案，这句话已经说够了吧。

这样啊。[emb exp='tf.names.NPC.mashima']不可能犯罪的话已经足够了吧。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#149c5659e87a81a1e5d34309f755a977","看来[emb exp='tf.names.itsuki.NPC']已经不怀疑犯案时刻有不在场证明的[emb exp='tf.names.itsuki.mashima']了。","balloon#149c5659e87a81a1e5d34309f755a977","机翻辅助：

看来[emb exp='tf.names.itsuki.NPC']已经不怀疑犯案时刻有不在场证明的[emb exp='tf.names.itsuki.mashima']了。

[emb exp='tf.names.itsuki.NPC']似乎已经不再怀疑在犯案时间有不在场证明的[emb exp='tf.names.itsuki.mashima']了。

[emb exp='tf.names.itsuki.NPC']似乎已经不再怀疑在作案时间有不在场证明的[emb exp='tf.names.itsuki.mashima']啦。"
"balloon#eb02e46464981b100668c9fe8abc632c","原来如此。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""][emb exp='tf.names.NPC.daisuke']在骚动发生前和你在一起吗？[l][chara_mod time=""@f1"" name=""NPC"" face=""earnest""]嗯……","balloon#eb02e46464981b100668c9fe8abc632c","机翻辅助：

原来如此。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""][emb exp='tf.names.NPC.daisuke']在骚动发生前和你在一起吗？[l][chara_mod time=""@f1"" name=""NPC"" face=""earnest""]嗯……

原来如此。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]发生骚乱之前，你和[emb exp='tf.names.NPC.daisuke']在一起吗。[l][chara_mod time=""@f1"" name=""NPC"" face=""earnest""]嗯……

原来如此。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]发生骚乱之前你和[emb exp='tf.names.NPC.daisuke']在一起吗？[l][chara_mod time=""@f1"" name=""NPC"" face=""earnest""]嗯……"
"balloon#bf79123d53942703fc797aacd1d226df","如果还有[emb exp='tf.names.NPC.mashima']的证词，请尽管告诉我。","balloon#bf79123d53942703fc797aacd1d226df","机翻辅助：

如果还有[emb exp='tf.names.NPC.mashima']的证词，请尽管告诉我。

[emb exp='tf.names.NPC.mashima']的故事，如果还有其他的话请让我多听。

[emb exp='tf.names.NPC.mashima']的故事，如果还有其他的话，请告诉我更多。"
"balloon#9befd2798392869800ede7d0ced6d375","看来[emb exp='tf.names.itsuki.NPC']怀疑的[emb exp='tf.names.itsuki.mashima']的情报，似乎派上用场了。","balloon#9befd2798392869800ede7d0ced6d375","机翻辅助：

看来[emb exp='tf.names.itsuki.NPC']怀疑的[emb exp='tf.names.itsuki.mashima']的情报，似乎派上用场了。

[emb exp='tf.names.itsuki.NPC']所怀疑的[emb exp='tf.names.itsuki.mashima']的情报，好像派上用场了。

[emb exp='tf.names.itsuki.NPC']怀疑的[emb exp='tf.names.itsuki.mashima']的信息好像起到了作用。"
"balloon#5d20cdcd82cd1256942fdc0e16b4f5f2","[emb exp='tf.names.NPC.mashima']和[emb exp='tf.names.NPC.daisuke']在一起吗？","balloon#5d20cdcd82cd1256942fdc0e16b4f5f2","机翻辅助：

[emb exp='tf.names.NPC.mashima']和[emb exp='tf.names.NPC.daisuke']在一起吗？

[emb exp='tf.names.NPC.mashima']和[emb exp='tf.names.NPC.daisuke']在一起了吗。"
"balloon#8960315b2239bdb8137cb405c26842b4","不是嫌疑人的他所作的证词，应该可以相信吧。","balloon#8960315b2239bdb8137cb405c26842b4","机翻辅助：

不是嫌疑人的他所作的证词，应该可以相信吧。

如果是不是嫌疑人的他的证词，应该可以相信吧。

如果是不是嫌疑人的他的证词，可以相信吧。"
"balloon#ae9921aad71995207f0cc7c0532987ec","然后[emb exp='tf.names.NPC.kumiko']发现起火点是[font color=@3]12:53[resetfont]对吧。","balloon#ae9921aad71995207f0cc7c0532987ec","机翻辅助：

然后[emb exp='tf.names.NPC.kumiko']发现起火点是[font color=@3]12:53[resetfont]对吧。

然后[emb exp='tf.names.NPC.kumiko']发现火源是在12:53[font color=@3]。[resetfont]

然后[emb exp='tf.names.NPC.kumiko']发现起火点的时候是12:53。[font color=@3][resetfont]"
"balloon#e00725afae7f96e932294ddc238531d3","骚动发生前有不在场证明，代表可以相信[emb exp='tf.names.NPC.mashima']呢。","balloon#e00725afae7f96e932294ddc238531d3","机翻辅助：

骚动发生前有不在场证明，代表可以相信[emb exp='tf.names.NPC.mashima']呢。

[emb exp='tf.names.NPC.mashima']可以相信他在骚乱之前有不在场证明。

[emb exp='tf.names.NPC.mashima']应该相信，在骚动之前有不在场证明。"
"balloon#706cd591897e52c1102f8365d192f152","的确，如果犯案时间是[font color=@3]12:53[resetfont]，应该可以相信[emb exp='tf.names.itsuki.mashima']。","balloon#706cd591897e52c1102f8365d192f152","机翻辅助：

的确，如果犯案时间是[font color=@3]12:53[resetfont]，应该可以相信[emb exp='tf.names.itsuki.mashima']。

确实，如果犯罪是在12:53进行的，那么[emb exp='tf.names.itsuki.mashima']的事情似乎是可信的。[font color=@3][resetfont]

的确，如果犯罪是在12:53进行的，那么[emb exp='tf.names.itsuki.mashima']的事情应该是可信的。[font color=@3][resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
