"source","target","id","developer_comments"
"balloon#b75fc07830b3137e33e34d5ce86d1014","な、何いってんだよ？","balloon#b75fc07830b3137e33e34d5ce86d1014","NPC"
"balloon#d179ba18f4a89f5119e7edb3d77dd154","それって、[emb exp='tf.names.NPC.me']を疑ってんのか？","balloon#d179ba18f4a89f5119e7edb3d77dd154","NPC"
"balloon#2ae2f3c60d628bcf4427ad771ec52a36","……本当のことを、教えてほしいんだ。","balloon#2ae2f3c60d628bcf4427ad771ec52a36","主人公"
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","NPC"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#949858028bfecaa91c0e1ab2e71fa8f9","いやぁ[emb exp='tf.names.NPC.me']、そんなこと言ったっけなぁ？","balloon#949858028bfecaa91c0e1ab2e71fa8f9","NPC"
"balloon#e83b788a9dddc65918c4f8d6522674ed","細かいことは覚えてねぇや！","balloon#e83b788a9dddc65918c4f8d6522674ed","NPC"
"balloon#11decbfdbde186f4f01aeb22013bc0ff","ははっ……。","balloon#11decbfdbde186f4f01aeb22013bc0ff","NPC"
"balloon#6fe551fd70158214bd151f1fb13bc887","[emb exp='tf.names.itsuki.NPC']に誤魔化されてしまった。","balloon#6fe551fd70158214bd151f1fb13bc887","主人公"
"balloon#f43f08eadaffeac2781d091910f899de","でも、反論されることもなかったな……。","balloon#f43f08eadaffeac2781d091910f899de","主人公"
"speaker_主人公","主人公","speaker_主人公",""
