"source","target","id","developer_comments"
"[0]/text","<br><br>ゲームを終了しますか？<br><br>※アプリケーションを終了します。","[0]/text","id: TITLE_ENDGAME"
"[0]/yes","- 終了する","[0]/yes","id: TITLE_ENDGAME"
"[0]/no","- キャンセル","[0]/no","id: TITLE_ENDGAME"
"[1]/text","<br><br>Steam®︎ストアページを開きますか？<br><br>※外部のブラウザを起動して、<br>Steam®︎ストアページへと移行します。","[1]/text","id: TITLE_OPENSTEAM"
"[1]/yes","- ストアページを開く","[1]/yes","id: TITLE_OPENSTEAM"
"[1]/no","- キャンセル","[1]/no","id: TITLE_OPENSTEAM"
"[2]/text","<br>【　ヒントについて　】<br><br>特定の疑問の推理に行き詰まった際は、<br>その疑問の答えのヒントを見ることができます。<br>ヒントを見ますか？<br><br><font color='@1'>※ヒントは次回以降に見ることもできます。</font>","[2]/text","id: INFERENCE_DISPLAYHINT"
"[2]/yes","- ヒントを見る","[2]/yes","id: INFERENCE_DISPLAYHINT"
"[2]/no","- 見ずに推理する","[2]/no","id: INFERENCE_DISPLAYHINT"
"[3]/text","<br /><br />【 タイトル画面 】へ戻ります。<br /><br /><font color='@1'>※セーブされていない進行状況は失われます。</font>","[3]/text","id: ADV_CONTINUE_RETURNTITLE"
"[3]/yes","- タイトル画面へ","[3]/yes","id: ADV_CONTINUE_RETURNTITLE"
"[3]/no","- キャンセル","[3]/no","id: ADV_CONTINUE_RETURNTITLE"
"[4]/text","<br /><br />【直前の選択肢】まで戻って、ゲームをやり直します。<br /><br />","[4]/text","id: ADV_CONTINUE_RETURNCHOICE"
"[4]/yes","- やり直す","[4]/yes","id: ADV_CONTINUE_RETURNCHOICE"
"[4]/no","- キャンセル","[4]/no","id: ADV_CONTINUE_RETURNCHOICE"
"[5]/text","<br /><br />【 調査フェーズ 】から、<br />ミステリーパートをやり直します。<br /><br /><font color='@1'>※調査・全体議論・投票すべてのフェーズでの<br />ここまでの進行状況が失われます。</font>","[5]/text","id: CONTINUE_RETURNINVESTIGATE"
"[5]/yes","- やり直す","[5]/yes","id: CONTINUE_RETURNINVESTIGATE"
"[5]/no","- キャンセル","[5]/no","id: CONTINUE_RETURNINVESTIGATE"
"[6]/text","<br /><br />【 全体議論フェーズ 】から、<br />ミステリーパートをやり直します。<br /><br /><font color='@1'>※調査フェーズまでの進行状況は残り、<br />全体議論・投票フェーズの進行状況は失われます。</font>","[6]/text","id: CONTINUE_RETURNDEBATE"
"[6]/yes","- やり直す","[6]/yes","id: CONTINUE_RETURNDEBATE"
"[6]/no","- キャンセル","[6]/no","id: CONTINUE_RETURNDEBATE"
"[7]/text","<br /><br />【 投票フェーズ 】から、<br />ミステリーパートをやり直します。<br /><br /><font color='@1'>※調査・全体議論フェーズまでの進行状況は残り、<br />投票フェーズの進行状況は失われます。</font>","[7]/text","id: CONTINUE_RETURNVOTE"
"[7]/yes","- やり直す","[7]/yes","id: CONTINUE_RETURNVOTE"
"[7]/no","- キャンセル","[7]/no","id: CONTINUE_RETURNVOTE"
"[8]/text","<br /><br />【 タイトル画面 】へ戻ります。<br /><br /><font color='@1'>※セーブされていない進行状況は失われます。</font>","[8]/text","id: CONTINUE_RETURNTITLE"
"[8]/yes","- タイトル画面へ","[8]/yes","id: CONTINUE_RETURNTITLE"
"[8]/no","- キャンセル","[8]/no","id: CONTINUE_RETURNTITLE"
"[9]/text","<br /><br />ミステリーパートの攻略を諦め、<br />ストーリーの先へと進みます。<br /><br /><font color='@1'>※投票フェーズで真犯人が判明した扱いとして、<br />以降のストーリーへ進んでいきます。</font>","[9]/text","id: CONTINUE_MOVEON"
"[9]/yes","- 先へ進む","[9]/yes","id: CONTINUE_MOVEON"
"[9]/no","- キャンセル","[9]/no","id: CONTINUE_MOVEON"
"[10]/text","<br><br><br>調査フェーズを終了し、全体議論フェーズへ進みますか？<br><br><font color='@1'>※事件の真相にたどり着いたのち<br>全体議論フェーズへ進むことを強く推奨します。</font><br><br>残り {0} / {1}分","[10]/text","id: DETECTIVE_ENDPHASE"
"[10]/yes","- 全体議論へ進む","[10]/yes","id: DETECTIVE_ENDPHASE"
"[10]/no","- キャンセル","[10]/no","id: DETECTIVE_ENDPHASE"
"[11]/text","<br><br>自身の考えを何も伝えず、順番を終えますか？<br><br><font color='@1'>※決定後、やり直しはできません。<br>※何も主張しないことで、<br>全員からの信用を下げる可能性があります。</font><br>","[11]/text","id: DEBATE_NOSTATE"
"[11]/yes","- 順番を終える","[11]/yes","id: DEBATE_NOSTATE"
"[11]/no","- キャンセル","[11]/no","id: DEBATE_NOSTATE"
"[12]/text","<br><br>【 {0} 】に投票しますか？<br><br><span style=""color:red;"">※投票を行えるのは１度きりです。<br>投票後、変更はできません。</span>","[12]/text","id: VOTE_VOTE"
"[12]/yes","- 投票する","[12]/yes","id: VOTE_VOTE"
"[12]/no","- キャンセル","[12]/no","id: VOTE_VOTE"
"[13]/text","<br><br>Steam®︎ストアページを開きますか？<br><br>※外部のブラウザを起動して、<br>Steam®︎ストアページへと移行します。","[13]/text","id: TRIALEND_OPENSTEAM"
"[13]/yes","- ストアページを開く","[13]/yes","id: TRIALEND_OPENSTEAM"
"[13]/no","- キャンセル","[13]/no","id: TRIALEND_OPENSTEAM"
"[14]/yes","- 質問する","[14]/yes","id: DETECTIVE_QUESTION"
"[14]/no","- キャンセル","[14]/no","id: DETECTIVE_QUESTION"
"[15]/yes","- 推理する","[15]/yes","id: DETECTIVE_CREATE_INFERENCE"
"[15]/no","- キャンセル","[15]/no","id: DETECTIVE_CREATE_INFERENCE"
"[16]/yes","- 推理を伝える","[16]/yes","id: DETECTIVE_SHOW_INFERENCE"
"[16]/no","- 今は伝えない","[16]/no","id: DETECTIVE_SHOW_INFERENCE"
"[17]/yes","- 推理を伝えに行く","[17]/yes","id: DETECTIVE_GO_SECRET"
"[17]/no","- 今は行かない","[17]/no","id: DETECTIVE_GO_SECRET"
"[18]/yes","- ゲームを開始する","[18]/yes","id: CHAPTER_CONFIRM"
"[18]/no","- キャンセル","[18]/no","id: CHAPTER_CONFIRM"
"[19]/text","<br />＜ 体験版を遊ばれた方へ ＞<br />製品版では【 PROLOGUE 】【 CHAPTER 1 】それぞれのミステリーパート開始前に、<br/>ミステリーパートをスキップして先へ進むかどうか選択できる機能を用意しています。<br/><br/>この機能を有効にしますか？<br/><br /><font color='@1'>※この設定は、あとから変更できません。</font><br /><font color='@1'>※体験版と製品版で、物語に違いはありません。</font><br /><font color='@1'>※有効にした場合でも、ミステリーパートをスキップせず遊ぶこともできます。</font>","[19]/text","id: DECIDE_CLEARD_TRIAL"
"[19]/yes","- 有効にして進む","[19]/yes","id: DECIDE_CLEARD_TRIAL"
"[19]/no","- 有効にせず進む","[19]/no","id: DECIDE_CLEARD_TRIAL"
"[19]/cancel","- キャンセル","[19]/cancel","id: DECIDE_CLEARD_TRIAL"
"[20]/text","<br /><br />これから始まる【 PROLOGUE 】のミステリーパートをスキップしますか？ <br /><br /><font color='@1'>※投票フェーズで真犯人が判明したあとのストーリーパートからプレイ再開となります。</font><br /><font color='@1'>※この選択は、あとから変更できません。</font>","[20]/text","id: DECIDE_SKIP_DETECTIVE_PROLOGUE"
"[20]/yes","- スキップして進む","[20]/yes","id: DECIDE_SKIP_DETECTIVE_PROLOGUE"
"[20]/no","- スキップせず進む","[20]/no","id: DECIDE_SKIP_DETECTIVE_PROLOGUE"
"[21]/text","<br /><br />これから始まる【 CHAPTER 1 】のミステリーパートをスキップしますか？ <br /><br /><font color='@1'>※投票フェーズで真犯人が判明したあとのストーリーパートからプレイ再開となります。</font><br /><font color='@1'>※この選択は、あとから変更できません。</font>","[21]/text","id: DECIDE_SKIP_DETECTIVE_1"
"[21]/yes","- スキップして進む","[21]/yes","id: DECIDE_SKIP_DETECTIVE_1"
