"source","target","id","developer_comments"
"balloon#a06d661a5bfe047249578745c4c4c032","……[emb exp='tf.names.mashima_3.itsuki']，怎么了。","balloon#a06d661a5bfe047249578745c4c4c032","机翻辅助：

……[emb exp='tf.names.mashima_3.itsuki']，怎么了。

……[emb exp='tf.names.mashima_3.itsuki']，怎么了？

……[emb exp='tf.names.mashima_3.itsuki']，你怎么了？"
"balloon#6e91caf6baef0ca650a8ca872fa2700c","突然不说话。","balloon#6e91caf6baef0ca650a8ca872fa2700c","机翻辅助：

突然不说话。

突然沉默了。

你突然不说话了。"
"balloon#c1ca270bd25bdd8c83d95b5ca0b4d336","啊，呃……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]对不起！","balloon#c1ca270bd25bdd8c83d95b5ca0b4d336","机翻辅助：

啊，呃……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]对不起！

啊，那个……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]对不起！"
"balloon#e1c7195ee520e25b6393efafe9aa0165","我在整理思绪！","balloon#e1c7195ee520e25b6393efafe9aa0165","机翻辅助：

我在整理思绪！

总结一下想法！

在整理思绪！"
"balloon#718173d6e78735e6f59c460fa9c8c6f4","哎呀呀……[l][chara_mod time=""@f1"" name=""真島"" face=""doubt"" position=""right""]首先，能告诉我[emb exp='tf.names.mashima_3.itsuki']的名字吗？","balloon#718173d6e78735e6f59c460fa9c8c6f4","机翻辅助：

哎呀呀……[l][chara_mod time=""@f1"" name=""真島"" face=""doubt"" position=""right""]首先，能告诉我[emb exp='tf.names.mashima_3.itsuki']的名字吗？

哎呀呀……[l][chara_mod time=""@f1"" name=""真島"" face=""doubt"" position=""right""]首先，请告诉我[emb exp='tf.names.mashima_3.itsuki']的名字吧。

首先，请告诉我[emb exp='tf.names.mashima_3.itsuki']的名字。[l][chara_mod time=""@f1"" name=""真島"" face=""doubt"" position=""right""]"
"balloon#d6f6e8130ee265615c1b55965309b248","虽然我之前都忍不住报上名字，但其实不应该在以前的世界报上名字吧。","balloon#d6f6e8130ee265615c1b55965309b248","机翻辅助：

虽然我之前都忍不住报上名字，但其实不应该在以前的世界报上名字吧。

虽然到现在为止都是不自觉地自报家门，但其实过去的事不应该自报家门。

到现在为止不知不觉自报姓名了，不过，其实在过去不应该自报姓名哟。"
"balloon#2da5bc75870942fd911e5562443d2b3b","在这个1989年报上姓名，未必不会对1990年以后的事件造成影响。","balloon#2da5bc75870942fd911e5562443d2b3b","机翻辅助：

在这个1989年报上姓名，未必不会对1990年以后的事件造成影响。

通过在1989年自报姓名，也有可能不影响1990年以后的事件。

在1989年自称，说不定会对1990年以后的事件产生影响。"
"balloon#f42c31dda640ac526ce9aeffcf541e73","虽然我觉得会被怀疑……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]但还是设法不报上姓名撑过去吧。","balloon#f42c31dda640ac526ce9aeffcf541e73","机翻辅助：

虽然我觉得会被怀疑……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]但还是设法不报上姓名撑过去吧。

我想会被怀疑的……在这里无论如何也不要自报姓名，要克服困难。[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]

我想会被怀疑的……这里无论如何也不要自报家门。[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]"
"balloon#4d2d75ee56b18b691861afd9482e5b55","对不起……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]因为某些原因，我不能报上姓名！","balloon#4d2d75ee56b18b691861afd9482e5b55","机翻辅助：

对不起……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]因为某些原因，我不能报上姓名！

对不起……因故不能自报姓名！[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]

对不起……因为有原因，所以不能自报家门！[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]"
"balloon#d3f8200fcf34ce77ff146aa986ef67a0","啥，你在说什么鬼话？","balloon#d3f8200fcf34ce77ff146aa986ef67a0","机翻辅助：

啥，你在说什么鬼话？

啊，你在说什么？"
