"source","target","id","developer_comments"
"balloon#b9aad93b2365a13af65ab6aba767031c","[emb exp='tf.names.NPC.iroha']を発見できたのは、[emb exp='tf.names.NPC.itsuki']のおかげだ。","balloon#b9aad93b2365a13af65ab6aba767031c","NPC"
"balloon#f794b31123c6698a8fa2a8b031b642b7","だから[emb exp='tf.names.NPC.itsuki']にも、これを伝えておこう。","balloon#f794b31123c6698a8fa2a8b031b642b7","NPC"
"balloon#e258d0364da54e4b4dbc7fdffd178480","見てくれ……","balloon#e258d0364da54e4b4dbc7fdffd178480","NPC"
"balloon#acc875d53f04f9f60a8c7353ceda284f","これは……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]ボタン、ですよね？","balloon#acc875d53f04f9f60a8c7353ceda284f","主人公"
"balloon#217b877bd8acb39f5366180f26458ec6","ああ、それも……","balloon#217b877bd8acb39f5366180f26458ec6","NPC"
"balloon#debc319867db94d03275e005ff14ca28","亡くなった[emb exp='tf.names.NPC.iroha']の[font color=@3]手に握られていた[resetfont]ものだ。","balloon#debc319867db94d03275e005ff14ca28","NPC"
"balloon#76611e028a0d9140073e373ac27e6743","[font color=@3][emb exp='tf.names.itsuki.iroha']はボタンを握っていた[resetfont]のか……。","balloon#76611e028a0d9140073e373ac27e6743","主人公"
"balloon#60173be228a4f1b46d4d18b93eb96b86","[emb exp='tf.names.NPC.me']が気になるのは、当然……","balloon#60173be228a4f1b46d4d18b93eb96b86","NPC"
"balloon#efd0b0950fdce4419d6d2965efccaac2","[font color=@3]ボタンの持ち主が誰なのか[resetfont]ということだ。","balloon#efd0b0950fdce4419d6d2965efccaac2","NPC"
"balloon#67c7767daae2990b59ddb5faf6f3ef3a","それがきっと、犯人につながるだろう。","balloon#67c7767daae2990b59ddb5faf6f3ef3a","NPC"
"balloon#bc2918b13b7a26488ce2ea81f4940680","[emb exp='tf.names.itsuki.NPC']は、[emb exp='tf.names.itsuki.iroha']が握っていた[font color=@3]ボタンの持ち主[resetfont]を知りたいのか。","balloon#bc2918b13b7a26488ce2ea81f4940680","主人公"
"balloon#ad1f36671b8793eb9b167faf96d5d3a6","何かわかったことがあれば、教えてほしいんだ。","balloon#ad1f36671b8793eb9b167faf96d5d3a6","NPC"
"balloon#e72ef89c7bf747688ae3014644ca3585","はい……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""][emb exp='tf.names.itsuki.iroha']が残してくれた、大切な手がかりです。","balloon#e72ef89c7bf747688ae3014644ca3585","主人公"
"balloon#f38e7ae39cc3492f54973d66e6ddf9be","かならず、持ち主を見つけ出してみます。","balloon#f38e7ae39cc3492f54973d66e6ddf9be","主人公"
"balloon#8d189b22ed447be32fcb9f664f254367","ああ……[l][chara_mod time=""@f1"" name=""NPC"" face=""smile""]そう言ってもらえると心強い。","balloon#8d189b22ed447be32fcb9f664f254367","NPC"
"balloon#b78efbccfcfda4ca3847f9c080cbe776","なんとしても、犯人を見つけ出そう。","balloon#b78efbccfcfda4ca3847f9c080cbe776","NPC"
"balloon#e954c5719e92f2ab38fbcf52c8163407","ボタンがあるということは……","balloon#e954c5719e92f2ab38fbcf52c8163407","主人公"
"balloon#1c71b4322f73249cd5fb8de0ba7ebc6c","それは[font color=@3]元々どこかについていた[resetfont]はずだ。","balloon#1c71b4322f73249cd5fb8de0ba7ebc6c","主人公"
"balloon#412bda928274445ba8e0101dcea93178","ボタンがどこについていたのかを探ろう。","balloon#412bda928274445ba8e0101dcea93178","主人公"
"speaker_主人公","主人公","speaker_主人公",""
