"source","target","id","developer_comments"
"[0]/title","歌叶是什么时候不见的？","[0]/title","机翻辅助：

歌叶是什么时候不见的？

歌叶什么时候不见了？

歌曲什么时候消失了？"
"[0]/desc","亮很在意<font color='@1'>歌叶的目击情报</font>，要锁定歌叶失踪的时间<font color='@1'> @sl_c @sl_a </font>需要什么？","[0]/desc","机翻辅助：

亮很在意<font color='@1'>歌叶的目击情报</font>，要锁定歌叶失踪的时间<font color='@1'> @sl_c @sl_a </font>需要什么？

亮很在意<font color='@1'>歌叶的目击情报</font>。与歌曲消失的特定时间段相关的<font color='@1'> @sl_c @sl_a </font>是什么？

亮很在意歌叶的目击情报。与歌叶消失的时间段的特定相连的<font color='@1'>是什么？</font><font color='@1'> @sl_c @sl_a </font>"
"[0]/inference_help_text","为了解决亮的疑问，需要<br><font color=@1>歌叶最后被目击的时间、她应该在的时间带、她发现自己不在的时间带这三项线索。</font><br>","[0]/inference_help_text","机翻辅助：

为了解决亮的疑问，需要<br><font color=@1>歌叶最后被目击的时间、她应该在的时间带、她发现自己不在的时间带这三项线索。</font><br>

为了解决亮的疑问，需要提供三点线索：<br><font color=@1>最后一次看到歌叶的时间、应该在的时间带、发现他不在的时间。</font><br>

要想解决亮的疑问，就要有3个线索。<br><font color=@1></font><br>"
"[1]/title","把歌叶带出校外的人是谁？","[1]/title","机翻辅助：

把歌叶带出校外的人是谁？

将歌叶带出校外的人物是？

把歌叶带到校外的人是谁？"
"[1]/desc","亮很在意<font color='@1'>歌叶失踪</font>的14:58到15:02之间<font color='@1'> @sl_a </font>，是谁带歌叶离开学校，整理所有人的吧。","[1]/desc","机翻辅助：

亮很在意<font color='@1'>歌叶失踪</font>的14:58到15:02之间<font color='@1'> @sl_a </font>，是谁带歌叶离开学校，整理所有人的吧。

亮很在意在歌叶消失的14:58到15:02之间，是谁把歌叶带到了校外。整理一下所有人的<font color='@1'>。</font><font color='@1'> @sl_a </font>

亮很在意歌叶不在了<font color='@1'>14:58到15:02之间，是谁把歌叶带到校外的。整理所有人的</font>。<font color='@1'> @sl_a </font>"
"[1]/inference_help_text","为了解决亮的疑问，需要<br><font color=@1>14:58到15:02之间，五名嫌疑人全部的不在场证明</font><br>线索。","[1]/inference_help_text","机翻辅助：

为了解决亮的疑问，需要<br><font color=@1>14:58到15:02之间，五名嫌疑人全部的不在场证明</font><br>线索。

为了解决亮的疑问，需要提供从14:58到15:02之间，5名嫌疑人全部不在场证明的线索。<br><font color=@1></font><br>

为了解决亮的疑问，需要从14:58到15:02的5名嫌疑人的不在场证明。<br><font color=@1></font><br>"
"[2]/title","Re：歌叶什么时候不见的？","[2]/title","机翻辅助：

Re：歌叶什么时候不见的？

歌叶什么时候不见了？

Re：歌曲什么时候没有了？"
"[2]/desc","亮想重新确认<font color='@1'>歌叶的目击情报</font>，要锁定歌叶失踪的时间<font color='@1'> @sl_c </font>需要什么？","[2]/desc","机翻辅助：

亮想重新确认<font color='@1'>歌叶的目击情报</font>，要锁定歌叶失踪的时间<font color='@1'> @sl_c </font>需要什么？

亮想再次确认歌叶的目击情报。与歌叶消失的时间段的特定相连的<font color='@1'>是什么？</font><font color='@1'> @sl_c </font>

亮想再次确认歌叶的目击情报<font color='@1'>。与歌曲消失的特定时间段相关的</font>是什么？<font color='@1'> @sl_c </font>"
"[2]/inference_help_text","为了解决亮的疑问，需要<br><font color=@1>指出歌叶最后一次被人目击的时间，以及发现她不在教室的时间</font><br>这两个线索。","[2]/inference_help_text","机翻辅助：

为了解决亮的疑问，需要<br><font color=@1>指出歌叶最后一次被人目击的时间，以及发现她不在教室的时间</font><br>这两个线索。

为了解决亮的疑问，需要有两个线索：一是歌叶的最后一次目击时间，二是发现没有的时间。<br><font color=@1></font><br>

为了解决亮的疑问，需要提供两种线索，即<br><font color=@1>歌叶新的最后目击时间和发现他不在的时间。</font><br>"
"[3]/title","Re：带歌叶出校外的人是谁？","[3]/title","机翻辅助：

Re：带歌叶出校外的人是谁？

将歌叶带出校外的人物是？

Re：把歌叶带到校外的人是谁？"
"[3]/desc","亮想重新确认<font color='@1'>歌叶失踪</font>的15:03到15:12之间<font color='@1'> @sl_a </font>，是谁带歌叶离开学校，整理所有人的吧。","[3]/desc","机翻辅助：

亮想重新确认<font color='@1'>歌叶失踪</font>的15:03到15:12之间<font color='@1'> @sl_a </font>，是谁带歌叶离开学校，整理所有人的吧。

亮想再确认一下，从15:03到15:12，是谁把歌叶带出校外的。整理一下所有人的<font color='@1'>。</font><font color='@1'> @sl_a </font>

亮想再次确认歌叶不在的时候，是谁把歌叶带到校外的。整理所有人的<font color='@1'>。</font><font color='@1'> @sl_a </font>"
"[3]/inference_help_text","为了解决亮的疑问，需要<br><font color=@1>15:03到15:12之间，五名嫌疑人全部的不在场证明</font><br>线索。","[3]/inference_help_text","机翻辅助：

为了解决亮的疑问，需要<br><font color=@1>15:03到15:12之间，五名嫌疑人全部的不在场证明</font><br>线索。

为了解决亮的疑问，有必要提供<br><font color=@1>15:03到15:12之间的5名嫌疑人全部不在场证明</font><br>线索。

为了解决亮的疑问，需要线索，显示从15:03到15:12之间的5名嫌疑人全部的不在场证明。<br><font color=@1></font><br>"
"[4]/title","这是事件吗？","[4]/title","机翻辅助：

这是事件吗？"
