"source","target","id","developer_comments"
"balloon#a93c49f768ecbcf21e29c647335daa59","本当に[emb exp='tf.names.itsuki_p.NPC']が、[emb exp='tf.names.itsuki_p.tetsuo']と[emb exp='tf.names.itsuki_p.yuuki']を……？","balloon#a93c49f768ecbcf21e29c647335daa59","主人公"
"balloon#1455a8e484cc6fa9631db36aac64a823","いや、いまはとにかく[emb exp='tf.names.itsuki_p.NPC']を犯人と考えるしかない。","balloon#1455a8e484cc6fa9631db36aac64a823","主人公"
"balloon#28ebf7581862d1f564198b0e5c92a434","[emb exp='tf.names.itsuki_p.mashima']、[emb exp='tf.names.itsuki_p.NPC']を拘束してください！","balloon#28ebf7581862d1f564198b0e5c92a434","主人公"
"balloon#e8584cfb51a72e3621820f5c790eb52e","[emb exp='tf.names.itsuki_p.NPC']は、[emb exp='tf.names.itsuki_p.tetsuo']の居場所を知っているはずです！","balloon#e8584cfb51a72e3621820f5c790eb52e","主人公"
"balloon#8adec5d57ec81f1c482697af7b08c67f","……やはり、[emb exp='tf.names.kamishiro_3.me']の見立て通りでしたね。","balloon#8adec5d57ec81f1c482697af7b08c67f","神代"
"balloon#884c8c88c01f9f266ea5eca53e69dd5d","ち、違う！","balloon#884c8c88c01f9f266ea5eca53e69dd5d","NPC"
"balloon#3adbe548f2921e0628148c8148e886bc","[emb exp='tf.names.NPC.me']は犯人じゃねぇぞ！","balloon#3adbe548f2921e0628148c8148e886bc","NPC"
"balloon#886c8c0ec8697695b29446720c681c90","どうして、[emb exp='tf.names.yuuki_3.me']を襲ったんですか……？","balloon#886c8c0ec8697695b29446720c681c90","結城"
"balloon#73172e39cd55f748a4cd683c0e2c17da","本当にあんたを襲ったりなんかしてねぇ、信じてくれ！","balloon#73172e39cd55f748a4cd683c0e2c17da","NPC"
"balloon#3e086c6471048fd5b48574782adbae81","……とにかく、[emb exp='tf.names.mashima_3.NPC']の身柄は拘束させてもらいます。","balloon#3e086c6471048fd5b48574782adbae81","真島"
"balloon#59f43651a84ae2f8d2c3f9832ab16f16","明日、本土からの応援が来たらじっくり話を聞かせてもらいますよ。","balloon#59f43651a84ae2f8d2c3f9832ab16f16","真島"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#ae8d04c8cb78aee7b0b23f00a5e0b81c","ちくしょう、拘束されりゃあいいんだろ！","balloon#ae8d04c8cb78aee7b0b23f00a5e0b81c","NPC"
"balloon#64645d5edd5fc94cdcf829a8e61c3aa7","[emb exp='tf.names.NPC.me']は、無実だ！","balloon#64645d5edd5fc94cdcf829a8e61c3aa7","NPC"
"balloon#b409617c16bdf823721949b5faeeca8c","きっちり調べてもらえりゃ、わかんだろ！","balloon#b409617c16bdf823721949b5faeeca8c","NPC"
"message10#70ea3304e41ff3406f9197bb0d4c423f","最も犯人として疑われた、[font color=@1]海老原[resetfont]が拘束された。","message10#70ea3304e41ff3406f9197bb0d4c423f",""
"balloon#47d9936f2a0af63a96b9bf9c5e162baa","これで事件が解決して、[emb exp='tf.names.itsuki_p.tetsuo']が見つかるといいんだけど……。","balloon#47d9936f2a0af63a96b9bf9c5e162baa","主人公"
"balloon#95507ec84d5b17cc6ae542b1f0e4e78c","さて、あとは[emb exp='tf.names.kamishiro_3.itsuki']の処遇をどうしましょうか？","balloon#95507ec84d5b17cc6ae542b1f0e4e78c","神代"
"balloon#5ef833e8b40f6f7d7e4d13766ab80b94","彼の身柄も本土の警察に保護してもらい、親元に帰してもらうべきでしょう。","balloon#5ef833e8b40f6f7d7e4d13766ab80b94","真島"
"balloon#176e8a0931351d1b13ea8f49dff25143","ええっ、[emb exp='tf.names.itsuki_p.me']が保護されるんですか！？","balloon#176e8a0931351d1b13ea8f49dff25143","主人公"
"balloon#9d15d96b5eca2913f173fd2da5a9b766","まさか、警察に保護されて問題があるとでも？","balloon#9d15d96b5eca2913f173fd2da5a9b766","神代"
"balloon#53cf513315cb215f478992fa9a0273f8","えっと、いや、でも……。","balloon#53cf513315cb215f478992fa9a0273f8","主人公"
"balloon#03453117b377ee418ada2a8a80f0ad23","まずいぞ、このままじゃ元の時代に帰れなくなる！","balloon#03453117b377ee418ada2a8a80f0ad23","主人公"
"balloon#6be6fc6f1649adeb7af8cf3bd39db264","でも、ここから逃げ出すことは難しそうだ。","balloon#6be6fc6f1649adeb7af8cf3bd39db264","主人公"
"balloon#54ff08379bc2505269150e72d6340754","……ダメだ、どうしようもない。","balloon#54ff08379bc2505269150e72d6340754","主人公"
"balloon#04a5b155a4367a55104e49707339952d","警察に保護されて、鉄男さんが助かったのを見届けてから、元の時代へ帰るしかない。","balloon#04a5b155a4367a55104e49707339952d","主人公"
"balloon#c7d29e4f8025938e2c6e286ebc86d650","はい、わかりました……。","balloon#c7d29e4f8025938e2c6e286ebc86d650","主人公"
"message10#008392e8816187d32a3b4c7fa3ea55bc","樹は、本土の警察に保護されることになった。","message10#008392e8816187d32a3b4c7fa3ea55bc",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_神代","神代","speaker_神代",""
"speaker_結城","結城","speaker_結城",""
"speaker_真島","真島","speaker_真島",""
