"source","target","id","developer_comments"
"balloon#2d630e3ba090794f4caf5e4b0b8af69b","……もう十分だろう、[emb exp='tf.names.jin.itsuki']。","balloon#2d630e3ba090794f4caf5e4b0b8af69b","仁"
"balloon#ff245b6d9362f4b48a5a3dfaf460eaaf","いくら状況証拠や、推理を積み上げても……","balloon#ff245b6d9362f4b48a5a3dfaf460eaaf","仁"
"balloon#19e893d40329bfb085a43742d41022ef","お前が殺害現場にいて、凶器を手にして、アリバイがないという事実は変わらない。","balloon#19e893d40329bfb085a43742d41022ef","仁"
"balloon#d3449f02459a2a86a7a88081d08ad0e4","どうやっても、覆せないんだよ……。","balloon#d3449f02459a2a86a7a88081d08ad0e4","仁"
"balloon#c8f6ad6dff62a7057f97ef8f82b050ff","あなたのことを、信じたい気持ちもある。","balloon#c8f6ad6dff62a7057f97ef8f82b050ff","結城"
"balloon#4e1ba1ec7aa51b8a0b526f464e898bc8","でも……。","balloon#4e1ba1ec7aa51b8a0b526f464e898bc8","結城"
"balloon#39277b9b24cc2bedf24a0322987f58dc","まだ、足りないね。","balloon#39277b9b24cc2bedf24a0322987f58dc","日下部"
"balloon#8ab6a79615d1af2a3b86135c0d80faf5","……僕らの意思を、変えるには。","balloon#8ab6a79615d1af2a3b86135c0d80faf5","日下部"
"balloon#be02a1c458b88e649c0042bbeb5ad645","終わりだ、終わりぃ！","balloon#be02a1c458b88e649c0042bbeb5ad645","影山"
"balloon#cff09d27ab5db7ed1ace1c2c34c66dfa","もう話なんて聞く必要はない！","balloon#cff09d27ab5db7ed1ace1c2c34c66dfa","影山"
"balloon#699aded311965bc8f106b5e0381a94be","[emb exp='tf.names.makino.itsuki']、すまない……。","balloon#699aded311965bc8f106b5e0381a94be","牧野"
"balloon#2408f63fd8fbc8872e6017be74460a30","さあみなさん、事情聴取へ向かう準備をしてください！","balloon#2408f63fd8fbc8872e6017be74460a30","牧野"
