"source","target","id","developer_comments"
"balloon#5ac03d0267417e9529c6c5572322a5ab","まさか、[emb exp='tf.names.itsuki.me']がみんなからぼや騒ぎの犯人として疑われてしまうなんて！","balloon#5ac03d0267417e9529c6c5572322a5ab","主人公"
"balloon#239bce129a786942fe31d9953ff6da54","そんなことだろうと、思ってましたよ。","balloon#239bce129a786942fe31d9953ff6da54","神代"
"balloon#49c28c13d5a7a800485ba37b85d47a04","やっちまったな、坊主。","balloon#49c28c13d5a7a800485ba37b85d47a04","海老原"
"balloon#8c7a1dd0e702a2c730f6c945ba6a6990","[emb exp='tf.names.kumiko_p.itsuki']……[l][chara_mod time=""@f1"" name=""久美子"" face=""sad"" position=""right""]あなたのこと、信じていたのに。","balloon#8c7a1dd0e702a2c730f6c945ba6a6990","久美子"
"balloon#d949ac1dfacaee73a41792129afdca00","明日、本土からの応援を待って、詳しい話を聞かせてもらいます。","balloon#d949ac1dfacaee73a41792129afdca00","真島"
"balloon#1b2dd435f44c5166d568c3ef3616649a","それじゃ遅いんです！","balloon#1b2dd435f44c5166d568c3ef3616649a","主人公"
"balloon#f5a5dd907cc52342c8907fb483816339","今夜、[emb exp='tf.names.itsuki.daisuke']が火事で……！","balloon#f5a5dd907cc52342c8907fb483816339","主人公"
"balloon#541e37a26579120e2aaf080681dd2b53","君の身柄を押さえていれば、もう火事なんて起きないでしょう。","balloon#541e37a26579120e2aaf080681dd2b53","真島"
"balloon#f42d373031794040f9e7f20686e6404a","さぁ、ついて来てもらいましょうか。","balloon#f42d373031794040f9e7f20686e6404a","真島"
"balloon#09eb370f1a11d26b17ea618e7fdcdb06","ま、待ってください！！","balloon#09eb370f1a11d26b17ea618e7fdcdb06","主人公"
"message10#0343cd00b84d958e2b6e73d6496ea35c","ぼや騒ぎの容疑者として、[font color=@1]樹[resetfont]が選ばれた。[l]
真島は本土から応援が来る明日までの間、樹を拘束することにした。","message10#0343cd00b84d958e2b6e73d6496ea35c",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_神代","神代","speaker_神代",""
"speaker_海老原","海老原","speaker_海老原",""
"speaker_久美子","久美子","speaker_久美子",""
"speaker_真島","真島","speaker_真島",""
