"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","NPC"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","主人公"
"balloon#7b41a8d7b7a1dfe61a84f02df9c0b41a","そっか、その推理なら[font color=@3]納得できる[resetfont]よ！","balloon#7b41a8d7b7a1dfe61a84f02df9c0b41a","NPC"
"balloon#1e7e5a2544e14818712c1c3196d1acd4","よし、[emb exp='tf.names.itsuki.me']が推理するのに選んだ[font color=@3]手がかり[resetfont]は、
[font color=@3]十分な説得力[resetfont]があったみたいだ！","balloon#1e7e5a2544e14818712c1c3196d1acd4","主人公"
"balloon#b2bc62f48719c993369109659c27fa43","[emb exp='tf.names.NPC.yohei']のスイカの話は矛盾してるね。","balloon#b2bc62f48719c993369109659c27fa43","NPC"
"balloon#82ff27712214ae2480d95088171613f2","つまり……","balloon#82ff27712214ae2480d95088171613f2","NPC"
"balloon#7031c604b8dc312471d7a5cec5793b94","[font color=@3][emb exp='tf.names.NPC.yohei']は嘘をついていた[resetfont]ってことだね。","balloon#7031c604b8dc312471d7a5cec5793b94","NPC"
"balloon#08ada570b0a7d9f70f0344519d1dcedf","そう、[font color=@3][emb exp='tf.names.itsuki.yohei']はスイカの話で嘘をついていた[resetfont]んだ。","balloon#08ada570b0a7d9f70f0344519d1dcedf","主人公"
"balloon#a9ee552d7199182fa5dc4d202a27a8c9","でも……[l]なんでわざわざ、そんな嘘をついたのかな。","balloon#a9ee552d7199182fa5dc4d202a27a8c9","NPC"
"balloon#f5578df439479e660f2579180eab1d05","うん、たしかにそうだね。","balloon#f5578df439479e660f2579180eab1d05","主人公"
"balloon#5246e9dda8a75dc5ce4eb32e503c5c2f","それって、やっぱり……。","balloon#5246e9dda8a75dc5ce4eb32e503c5c2f","NPC"
"balloon#b374cb4c12e69ee3a0d08faaec334785","[emb exp='tf.names.NPC.itsuki']、答えてくれてありがとうね。","balloon#b374cb4c12e69ee3a0d08faaec334785","NPC"
"balloon#86297f51f9454a06c44af7439b3d3239","それ、本当かな？","balloon#86297f51f9454a06c44af7439b3d3239","NPC"
"balloon#6d77d886a6d9fa4759e5e2dc64fc7a5e","[emb exp='tf.names.NPC.me']は[font color=@3]ちょっと違う[resetfont]と思うな……。","balloon#6d77d886a6d9fa4759e5e2dc64fc7a5e","NPC"
"balloon#346cb98ff74a440cea0992f8b62f415e","どうやら[emb exp='tf.names.itsuki.me']の推理には、[font color=@3]正しい手がかりが一部足りなかった[resetfont]みたいだ……。","balloon#346cb98ff74a440cea0992f8b62f415e","主人公"
"balloon#e72264e180c186ee551e4850557c9a2c","うーん、その話[emb exp='tf.names.NPC.me']は[font color=@3]まったく違う[resetfont]と思うな……。","balloon#e72264e180c186ee551e4850557c9a2c","NPC"
"balloon#2b358ac4f02ee5b4c15e70a41fe9b60a","どうやら[emb exp='tf.names.itsuki.me']の推理は、
[font color=@3]完全に見当違い[resetfont]だったみたいだ……。","balloon#2b358ac4f02ee5b4c15e70a41fe9b60a","主人公"
"balloon#ae009158b6bdc782a0fbedd035ca2f00","[emb exp='f.npc_nickname']の疑問に答えられなくて、ごめん……。","balloon#ae009158b6bdc782a0fbedd035ca2f00","主人公"
"balloon#6ad8b491fc196f2a0aff55bf790ab5a9","気にしないで。","balloon#6ad8b491fc196f2a0aff55bf790ab5a9","NPC"
"balloon#285acec759742f0c4671fdd87d6e45fd","この件なんだけど、私ね……","balloon#285acec759742f0c4671fdd87d6e45fd","NPC"
"balloon#95608f7fd18d07136129b95fd628e126","[font color=@3]手がかり同士で矛盾している話[resetfont]がないか、
1人ずつ再確認するのが大事な気がするよ。","balloon#95608f7fd18d07136129b95fd628e126","NPC"
"balloon#08e16f9d6c1e4377272ad6dc102b9a15","手がかり同士の関係を改めて確認して、
[font color=@3]もう一度推理[resetfont]しよう。","balloon#08e16f9d6c1e4377272ad6dc102b9a15","主人公"
"speaker_主人公","主人公","speaker_主人公",""
