"source","target","id","developer_comments"
"balloon#b3e6796ff85b8af2f5a4441d0bf4393f","そう、[emb exp='tf.names.NPC.yuuki']が校門まで[emb exp='tf.names.NPC.itsuki']を連れてきて……","balloon#b3e6796ff85b8af2f5a4441d0bf4393f","NPC"
"balloon#51f38365042d156dc174511fb4e9619b","[emb exp='tf.names.NPC.me']が引き継いで、[emb exp='tf.names.NPC.itsuki']の相手をしたんだったな。","balloon#51f38365042d156dc174511fb4e9619b","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#d069cd585b38bd875cb66b2a6ac188f7","そう、これは[emb exp='tf.names.itsuki.me']も知っていることだ。","balloon#d069cd585b38bd875cb66b2a6ac188f7","主人公"
"balloon#9d4ba00e574687b7f81897168a13e7e8","[emb exp='tf.names.NPC.yuuki']が[emb exp='tf.names.NPC.itsuki']と校門を訪れたときのことですか。","balloon#9d4ba00e574687b7f81897168a13e7e8","NPC"
"balloon#764269687ec6f335e843ce591557aba2","その時間のことなら、君には言うまでもないね。","balloon#764269687ec6f335e843ce591557aba2","NPC"
"balloon#111d03050e4598fc3f6043b19121857a","え、どういうことですか？","balloon#111d03050e4598fc3f6043b19121857a","主人公"
"balloon#a3a3ddc916d537a321f0cc5d75761812","校門で会った[font color=@3]15:03[resetfont]から、[emb exp='tf.names.NPC.utaha']がいないと騒ぎになった[font color=@3]15:12[resetfont]まで……","balloon#a3a3ddc916d537a321f0cc5d75761812","NPC"
"balloon#5a3b8963a2b387aefd2b0cbd9bdbb750","[emb exp='tf.names.NPC.itsuki']と私は、[font color=@3]校門にずっと一緒[resetfont]にいたでしょう。","balloon#5a3b8963a2b387aefd2b0cbd9bdbb750","NPC"
"balloon#e0202aa67c0074fb227536769b170fb8","そうだ、[emb exp='tf.names.itsuki_p.ryo']が[emb exp='tf.names.itsuki_p.utaha']がいないと声を上げる直前まで……","balloon#e0202aa67c0074fb227536769b170fb8","主人公"
"balloon#f6f9bf9e6e39383ca64c73c8bd87b5a8","[font color=@3][emb exp='tf.names.itsuki_p.me']と[emb exp='tf.names.itsuki_p.kageyama']は一緒[resetfont]にいたんだ。","balloon#f6f9bf9e6e39383ca64c73c8bd87b5a8","主人公"
"speaker_主人公","主人公","speaker_主人公",""
