"source","target","id","developer_comments"
"balloon#97070dd4921f2b21633da91a14518edc","我有在意的事情。","balloon#97070dd4921f2b21633da91a14518edc","机翻辅助：

我有在意的事情。

我有在意的事。

有在意的事情。"
"balloon#0edd47e47c8efd953fba2ef28e9df448","关于[emb exp='tf.names.NPC.chiyo']的事……","balloon#0edd47e47c8efd953fba2ef28e9df448","机翻辅助：

关于[emb exp='tf.names.NPC.chiyo']的事……

虽然是[emb exp='tf.names.NPC.chiyo']的事……

关于[emb exp='tf.names.NPC.chiyo']……"
"balloon#32a3c4858d53b126f161a45d80ad9289","刚才[font color=@3][emb exp='tf.names.NPC.chiyo']说，消失的是它的西瓜[resetfont]哦。","balloon#32a3c4858d53b126f161a45d80ad9289","机翻辅助：

刚才[font color=@3][emb exp='tf.names.NPC.chiyo']说，消失的是它的西瓜[resetfont]哦。

刚才[emb exp='tf.names.NPC.chiyo']说消失的是自己的西瓜。[font color=@3][resetfont]"
"balloon#dc82113501d1caef8c8158d4fcac951a","为什么能说得这么肯定呢？","balloon#dc82113501d1caef8c8158d4fcac951a","机翻辅助：

为什么能说得这么肯定呢？

为什么能断言那样的话呢？

为什么能这么断言呢？"
"balloon#2f62790a8f16000c5c4d2c0d0481d36d","有点不自然呢。","balloon#2f62790a8f16000c5c4d2c0d0481d36d","机翻辅助：

有点不自然呢。

有点不自然吧。"
"balloon#043ff83a0d3b44d2de1ba51c60135048","[emb exp='tf.names.itsuki.chiyo']的发言的确令人在意……","balloon#043ff83a0d3b44d2de1ba51c60135048","机翻辅助：

[emb exp='tf.names.itsuki.chiyo']的发言的确令人在意……

确实不要在意[emb exp='tf.names.itsuki.chiyo']的发言……

确实很在意[emb exp='tf.names.itsuki.chiyo']的发言……"
"balloon#0d8d9817ede0645bdd43f08d80ac6441","我想知道这是怎么回事，你愿意帮忙吗？","balloon#0d8d9817ede0645bdd43f08d80ac6441","机翻辅助：

我想知道这是怎么回事，你愿意帮忙吗？

我想知道是怎么回事，你能帮我吗？"
"balloon#95c438d4ccce0e5ec11f5f5e19a77a2b","知道了，我调查看看！","balloon#95c438d4ccce0e5ec11f5f5e19a77a2b","机翻辅助：

知道了，我调查看看！

好啊，我查一下！

我知道了，我去查一下！"
"balloon#f80a91d7ae91e1f34d90bbafcc58504f","回答得很好！","balloon#f80a91d7ae91e1f34d90bbafcc58504f","机翻辅助：

回答得很好！

很好的回答！

好回答！"
"balloon#362e9faf710a6346e15189d5aa703266","我会抱着一点期待等你哦。","balloon#362e9faf710a6346e15189d5aa703266","机翻辅助：

我会抱着一点期待等你哦。

稍微期待一下等待着呢。

我有点期待地等着。"
"balloon#f23b75d9ce0440bc0f4da5cbad6632fa","如果[emb exp='tf.names.itsuki.chiyo']有事情瞒着我，就算我直接问她，她也不会告诉我吧……","balloon#f23b75d9ce0440bc0f4da5cbad6632fa","机翻辅助：

如果[emb exp='tf.names.itsuki.chiyo']有事情瞒着我，就算我直接问她，她也不会告诉我吧……

如果[emb exp='tf.names.itsuki.chiyo']隐瞒了什么的话，直接问也不会告诉我吧……

如果[emb exp='tf.names.itsuki.chiyo']隐瞒了什么，就算直接问也不会告诉我吧……"
"balloon#adca96127a71a9f57d825299d773469f","不过，如果能让[emb exp='tf.names.itsuki.chiyo'][font color=@3]更加信任[resetfont]我，或许他就会愿意告诉我了。","balloon#adca96127a71a9f57d825299d773469f","机翻辅助：

不过，如果能让[emb exp='tf.names.itsuki.chiyo'][font color=@3]更加信任[resetfont]我，或许他就会愿意告诉我了。

但是，如果能得到[emb exp='tf.names.itsuki.chiyo']更多的信任，也许会说出什么。[font color=@3][resetfont]

不过，如果[emb exp='tf.names.itsuki.chiyo']更加信任我的话，或许会告诉我些什么。[font color=@3][resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
