"source","target","id","developer_comments"
"balloon#b7ef06ac1919c4f37866741e658c129f","昨日崖から転落した男の司法解剖のため、本土から監察医が派遣されて来たんだが……","balloon#b7ef06ac1919c4f37866741e658c129f","NPC"
"balloon#25101c30575d5d5587b1430bc24dd10b","その人が千世さんの検死を担当してくれたおかげで、結果が一部わかったようだ。","balloon#25101c30575d5d5587b1430bc24dd10b","NPC"
"balloon#499bb56681177ed0ae7e1661b80fe289","検死は正確な結果がわかるまで時間がかかるんだが、その監察医が僕の古い友人でね。","balloon#499bb56681177ed0ae7e1661b80fe289","NPC"
"balloon#28b7a2a1fcdc862a1238233789ad209a","わかったことを、少し教えてくれたよ。","balloon#28b7a2a1fcdc862a1238233789ad209a","NPC"
"balloon#a228e5faf130ce2c29942cf636331bf7","第一発見者である君にも教えてあげよう。","balloon#a228e5faf130ce2c29942cf636331bf7","NPC"
"balloon#746cf1e134352c3445275e15215187f1","[emb exp='tf.names.NPC.chiyo']の死亡推定時刻は、昨夜の[font color=@3]22:30から23:00の間[resetfont]だそうだ。","balloon#746cf1e134352c3445275e15215187f1","NPC"
"balloon#d49c41e7f22a64944ec4b4d463e2ebd1","包丁で[font color=@3]急所をひと突き[resetfont]にされたことが、死亡原因に違いないらしい。","balloon#d49c41e7f22a64944ec4b4d463e2ebd1","NPC"
"balloon#bc6ffd80073de722837290f99cd1bf81","そして[emb exp='tf.names.NPC.chiyo']には[font color=@3]抵抗した跡がまったく見受けられなかった[resetfont]そうだ。","balloon#bc6ffd80073de722837290f99cd1bf81","NPC"
"balloon#43b822b9f0e1d51a3b6f0b910c75d59f","[emb exp='tf.names.itsuki.chiyo']が殺害されたのは、今朝じゃなくて[font color=@3]昨晩[resetfont]だったのか。","balloon#43b822b9f0e1d51a3b6f0b910c75d59f","主人公"
"balloon#2a7ac514950e1cf19158fe31fe50b4eb","[emb exp='tf.names.NPC.itsuki']を逮捕するかどうか決めるのは、警察の仕事だ。","balloon#2a7ac514950e1cf19158fe31fe50b4eb","NPC"
"balloon#677cba4c3ad7165dd4969387c4bf047f","だから[emb exp='tf.names.NPC.me']は医師として、気になることにまずは集中したい。","balloon#677cba4c3ad7165dd4969387c4bf047f","NPC"
"balloon#faa362bf001fbba9a69817b4152be6a7","[emb exp='tf.names.NPC.chiyo']は、無抵抗なのに急所をひと突きにされているのが不可解だ。","balloon#faa362bf001fbba9a69817b4152be6a7","NPC"
"balloon#36f95deebed98cd48ef27fe48261dd83","だから[emb exp='tf.names.NPC.me']は……","balloon#36f95deebed98cd48ef27fe48261dd83","NPC"
"balloon#b458ea304f0e61116c7d0514d756cd65","[font color=@3][emb exp='tf.names.NPC.chiyo']が殺害された状況[resetfont]を、もう少し詳しく把握したいんだ。","balloon#b458ea304f0e61116c7d0514d756cd65","NPC"
"balloon#2b6b73c03897558f460225afa782add9","[emb exp='tf.names.itsuki.NPC']は、[emb exp='tf.names.itsuki.chiyo']が[font color=@3]どのように殺害されたのか[resetfont]を知りたいのか。","balloon#2b6b73c03897558f460225afa782add9","主人公"
"balloon#67817c702c9dfe9262445800ed535d13","容疑者である君に、こんなことを聞くのは変かも知れないが……","balloon#67817c702c9dfe9262445800ed535d13","NPC"
"balloon#9b9eb1d4dfc4559b28016a84d68b8c36","自供が一番、正確な情報だからね。","balloon#9b9eb1d4dfc4559b28016a84d68b8c36","NPC"
"balloon#3c4c0de785c172e809749760eef65d64","答えてもらえると助かるよ。","balloon#3c4c0de785c172e809749760eef65d64","NPC"
"balloon#23acb3f11a4308f61fe1c169fd9c1d22","僕は犯人じゃありません……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]信用してもらえるように、頑張ります。","balloon#23acb3f11a4308f61fe1c169fd9c1d22","主人公"
"balloon#695a777d0bf7867c682336fab085eca5","まぁ、そういうことにしておいてあげよう。","balloon#695a777d0bf7867c682336fab085eca5","NPC"
"balloon#a9c37019825c517ddba41de2765aa589","……とはいっても、[emb exp='tf.names.itsuki.chiyo']が殺されたのは[emb exp='tf.names.itsuki.me']が眠ってしまったあとだ。","balloon#a9c37019825c517ddba41de2765aa589","主人公"
"balloon#6201d913ea4c2ca91ef4882fbf7fb283","思い出せることはないから、[font color=@3]なにか知っている人[resetfont]を探すしかないな……。","balloon#6201d913ea4c2ca91ef4882fbf7fb283","主人公"
"speaker_主人公","主人公","speaker_主人公",""
