"source","target","id","developer_comments"
"[0]/text","开、开什么玩笑！","[0]/text","机翻辅助：

开、开什么玩笑！

哼，别开玩笑了！"
"[1]/text","我可没有开玩笑……[l][chara_mod time='@f1' name='神代' face='doubt']有动机袭击[emb exp='tf.names.kamishiro_3.tetsuo']的，就只有你而已。","[1]/text","机翻辅助：

我可没有开玩笑……[l][chara_mod time='@f1' name='神代' face='doubt']有动机袭击[emb exp='tf.names.kamishiro_3.tetsuo']的，就只有你而已。

没有开玩笑……[l][chara_mod time='@f1' name='神代' face='doubt']袭击[emb exp='tf.names.kamishiro_3.tetsuo']的动机只有你。

我没有开玩笑……有袭击[emb exp='tf.names.kamishiro_3.tetsuo']动机的，只有你。[l][chara_mod time='@f1' name='神代' face='doubt']"
"[2]/text","从动机寻找犯人，确实是有效的搜查方法。","[2]/text","机翻辅助：

从动机寻找犯人，确实是有效的搜查方法。

确实，从动机出发寻找凶手是有效的调查方法。

确实从动机中寻找犯人是有效的搜查方法。"
"[3]/text","[emb exp='tf.names.yuuki_3.ebihara']有动机，这是真的吗……？","[3]/text","机翻辅助：

[emb exp='tf.names.yuuki_3.ebihara']有动机，这是真的吗……？

[emb exp='tf.names.yuuki_3.ebihara']的动机是真的吗……？

[emb exp='tf.names.yuuki_3.ebihara']的动机，是真的吗……？"
"[4]/text","喂，[emb exp='tf.names.ebihara_3.itsuki']也别闷不吭声，说点什么啊！","[4]/text","机翻辅助：

喂，[emb exp='tf.names.ebihara_3.itsuki']也别闷不吭声，说点什么啊！

喂，[emb exp='tf.names.ebihara_3.itsuki']也不要沉默，想办法说出来！

喂，[emb exp='tf.names.ebihara_3.itsuki']你也别闭嘴，说点什么！"
"[5]/text","呃，这个……","[5]/text","机翻辅助：

呃，这个……

呃、呃……

嗯、嗯……"
"[7]/text","………………","[7]/text",""
"[8]/text","…………","[8]/text",""
"[9]/text","……","[9]/text",""
"[11]/text","抱歉，我欠[emb exp='tf.names.kamishiro_3.tetsuo']钱是真的……","[11]/text","机翻辅助：

抱歉，我欠[emb exp='tf.names.kamishiro_3.tetsuo']钱是真的……

对不起，我欠[emb exp='tf.names.kamishiro_3.tetsuo']的钱是真的……

对不起，向[emb exp='tf.names.kamishiro_3.tetsuo']借钱是真的……"
"[12]/text","虽然我听说他很缺钱……","[12]/text","机翻辅助：

虽然我听说他很缺钱……

听说你缺钱了……

听说他很缺钱……"
"[13]/text","[emb exp='tf.names.yuuki_3.ebihara']……","[13]/text","机翻辅助：

[emb exp='tf.names.yuuki_3.ebihara']……"
"[14]/text","………………","[14]/text",""
"[15]/text","…………","[15]/text",""
"[16]/text","……","[16]/text",""
"[18]/text","不不不，我再怎么说也不会扯到这种地步吧！","[18]/text","机翻辅助：

不不不，我再怎么说也不会扯到这种地步吧！

不不不，我实在说不出那么大的谎！

不不不不不不不不不不不不不不不不不不不不不！"
"[19]/text","居然随便乱讲，害大家伤脑筋……","[19]/text","机翻辅助：

居然随便乱讲，害大家伤脑筋……

说了适当的话，让大家为难……

随便说说，让大家为难……"
