"source","target","id","developer_comments"
"balloon#760e9e0115fee3d79222af35758d6847","気になることか、そりゃあ決まってるさ。","balloon#760e9e0115fee3d79222af35758d6847","NPC"
"balloon#bf5182e80ea88f6d977494adf2b3d15d","口論の原因はわかったが、揉めてたことに代わりはない。","balloon#bf5182e80ea88f6d977494adf2b3d15d","NPC"
"balloon#29fae84afb4ba7a05e349d78df8d05e0","温厚で争いごとなんてめったに起こさない、あの[emb exp='tf.names.NPC.chiyo']がだ。","balloon#29fae84afb4ba7a05e349d78df8d05e0","NPC"
"balloon#5c8b405b3961e92514b42bf991401100","やっぱり、何かあるって考えるしかないと思うんだ。[l][chara_mod time=""@f1"" name=""NPC"" face=""doubt""]つまり……","balloon#5c8b405b3961e92514b42bf991401100","NPC"
"balloon#e00afdbb9038b205fdf1064599fdc4f8","[font color=@3][emb exp='tf.names.NPC.kusakabe']が怪しい[resetfont]よな！","balloon#e00afdbb9038b205fdf1064599fdc4f8","NPC"
"balloon#5614c7a4a63e1ff060a1edb3a9fbf385","[emb exp='tf.names.NPC.chiyo']が消えたことに、関わってるに違いねぇ！","balloon#5614c7a4a63e1ff060a1edb3a9fbf385","NPC"
"balloon#aa58a0146dc69cb1d8ae4afd1cb9b7e3","[emb exp='tf.names.itsuki.NPC']は[font color=@3][emb exp='tf.names.itsuki.kusakabe']を疑っている[resetfont]のか。","balloon#aa58a0146dc69cb1d8ae4afd1cb9b7e3","主人公"
"balloon#c2bbddee8f1d5aa9e4cd94b5b5b58848","[emb exp='tf.names.NPC.me']だけじゃわかんねぇからよ、[emb exp='tf.names.NPC.itsuki']にも手伝ってほしいんだ。","balloon#c2bbddee8f1d5aa9e4cd94b5b5b58848","NPC"
"balloon#76569b456d00f1d15dbb8a849550b53c","はい、まかせてください！","balloon#76569b456d00f1d15dbb8a849550b53c","主人公"
"balloon#c3aeb877687a16ac81b613b1fa6ddafc","またまた、頼りにしてるぜ！","balloon#c3aeb877687a16ac81b613b1fa6ddafc","NPC"
"balloon#091d4dd39e0d805e6d5c51c7b4d56502","[emb exp='tf.names.itsuki.chiyo']と[emb exp='tf.names.itsuki.kusakabe']が口論になっていたことは間違いないが……","balloon#091d4dd39e0d805e6d5c51c7b4d56502","主人公"
"balloon#cf73697825eb3fa1028c77f63aac0e8e","動機だけでなく、[font color=@3][emb exp='tf.names.itsuki.kusakabe']が関わった証拠の有無[resetfont]まではっきりさせるべきだろう。","balloon#cf73697825eb3fa1028c77f63aac0e8e","NPC"
"speaker_主人公","主人公","speaker_主人公",""
