"source","target","id","developer_comments"
"text#f24fbbed8ffc19bd790d4cb06e767e2d","之后，我接受了本土警方的侦讯。[l]
我的嫌疑并未洗清，就这么被移送至本土。","text#f24fbbed8ffc19bd790d4cb06e767e2d","机翻辅助：

之后，我接受了本土警方的侦讯。[l]
我的嫌疑并未洗清，就这么被移送至本土。

然后我接受了本土警察的调查。[l]
我的嫌疑没有消除，就这样被移送到了本土。

之后，我开始接受本土警察的调查。我的嫌疑没有洗清，就那样被移送到本土。[l]"
"text#e2672eaa6fe39ca1552b428ed4501af8","经过严格的审讯后，她将面临审判。","text#e2672eaa6fe39ca1552b428ed4501af8","机翻辅助：

经过严格的审讯后，她将面临审判。

然后在严格的调查之后，接受了审判。

在经过严格的调查之后，接受了审判。"
"text#cca0f8b97a790411987c4a1e5b35799c","但是我的清白无法获得证明，结果被判有罪。","text#cca0f8b97a790411987c4a1e5b35799c","机翻辅助：

但是我的清白无法获得证明，结果被判有罪。

但是我的无辜没有得到证明，结果是有罪的。

但我的清白没有得到证明，结果是有罪。"
"text#19addb30d956fdeba204d89cf4344a09","当时未成年凶恶犯罪的刑责逐渐加重，我被判处的刑期是……","text#19addb30d956fdeba204d89cf4344a09","机翻辅助：

当时未成年凶恶犯罪的刑责逐渐加重，我被判处的刑期是……

受到当时对未成年凶恶犯罪的严惩化潮流，对我下达的判决是……

在当时严惩未成年暴力犯罪的潮流下，我的判决是……"
"text#7ff499692c93a35e36ecb3cf46408cda","18年徒刑，以未成年犯罪来说，这个刑期实在太过严厉。","text#7ff499692c93a35e36ecb3cf46408cda","机翻辅助：

18年徒刑，以未成年犯罪来说，这个刑期实在太过严厉。

18年的有期徒刑，对于未成年人来说实在是太严厉了。

对被判18年有期徒刑的未成年的判决实在是太严厉了。"
"text#16716624018d596529c0702aa29a2585","杀害两人，而且不认罪的态度也受到严厉的批评。","text#16716624018d596529c0702aa29a2585","机翻辅助：

杀害两人，而且不认罪的态度也受到严厉的批评。

两人的杀害，以及完全不认罪的态度受到了严厉的评价。

杀害了2人，而且完全不认罪的态度受到了严厉的评价。"
"text#64b1d98fb198e7db4db98658f215df80","我没办法明知自己不是犯人却认罪。","text#64b1d98fb198e7db4db98658f215df80","机翻辅助：

我没办法明知自己不是犯人却认罪。

明明知道不是犯人却接受了罪，我做不到。

明知自己不是犯人却接受罪行，我做不到。"
"text#28385fed092e60b9f7107ba10c31924f","从那天之后，经过了漫长的岁月……","text#28385fed092e60b9f7107ba10c31924f","机翻辅助：

从那天之后，经过了漫长的岁月……

从那天起，过了很长时间……

然后从那一天开始，过了很长时间……"
"text#c75553bc3b72c717e645690be84a515a","我下了船，环视四周。","text#c75553bc3b72c717e645690be84a515a","机翻辅助：

我下了船，环视四周。

我下了船，环顾四周。"
"text#507fa516efac7caf203160eb8eca0ec1","……好怀念的光景。[l]
我想起第一次来到岛上时的事情。","text#507fa516efac7caf203160eb8eca0ec1","机翻辅助：

……好怀念的光景。[l]
我想起第一次来到岛上时的事情。

……令人怀念的情景。[l]
这让我想起了第一次访问岛屿时的情景。

……令人怀念的景象。我想起了第一次来到岛上时的情景。[l]"
"text#d8662c59d0d2df648345609c957c38e2","当时是千世奶奶来迎接我。","text#d8662c59d0d2df648345609c957c38e2","机翻辅助：

当时是千世奶奶来迎接我。

那时候，是千世奶奶来接我的。

那个时候，千世奶奶来接我了。"
"text#1127944160d727b96ed93a154913aa10","但是，她已经……[l]不会再迎接我了。","text#1127944160d727b96ed93a154913aa10","机翻辅助：

但是，她已经……[l]不会再迎接我了。

但是，她会来迎接我这件事……[l]不会再有第二次。

但是，她再也不会来接我了。[l]"
"text#0b57d76048b8f27cfca0ac40534b12e5","我正在想这些事的时候，警察过来跟我搭话。","text#0b57d76048b8f27cfca0ac40534b12e5","机翻辅助：

我正在想这些事的时候，警察过来跟我搭话。

正想着那样的事，警察就跟我搭话了。

正当我这么想着的时候，警察跟我说话了。"
"text#a8ed5a32d574f9f37f1bdb4a2a0be3cf","今天是来观光的吗？","text#a8ed5a32d574f9f37f1bdb4a2a0be3cf","机翻辅助：

今天是来观光的吗？

今天是观光吗？

今天是旅游吗？"
"text#c2def24be1d062bfdf19d9f90ae15974","……不，我是来见老朋友的。","text#c2def24be1d062bfdf19d9f90ae15974","机翻辅助：

……不，我是来见老朋友的。

……不是，是去见老朋友。

……不，去见旧朋友。"
"text#40419c9dfbaa49048ed08a03870b4f4c","这样啊。[l]
其实今天岛上发生了一起事件……","text#40419c9dfbaa49048ed08a03870b4f4c","机翻辅助：

这样啊。[l]
其实今天岛上发生了一起事件……

是吗。[l]
实际上，今天岛上发生了事件……

原来是这样。其实，今天岛上发生了事件……[l]"
