"source","target","id","developer_comments"
"text#7489d940da7b99e2fc74a3dcfa24caee","約束通り、船を用意したぞ！","text#7489d940da7b99e2fc74a3dcfa24caee","sakura_daisuke"
"text#eca039f0222908eac6982d9358c30056","ついに時間が来てしまった。","text#eca039f0222908eac6982d9358c30056",""
"text#5e66052145aa3fe632328021c62cc864","そして神代は用意された船に乗り込むと、僕の方を向いてこう言った。","text#5e66052145aa3fe632328021c62cc864",""
"text#157ae937e56094c71e077877989fd2f0","さよならだ、樹。","text#157ae937e56094c71e077877989fd2f0","kamishiro_2004"
"text#09cb7003d855a4229133ae3e42d8aef5","……お前のことを、本当の息子のように思っていた。","text#09cb7003d855a4229133ae3e42d8aef5","kamishiro_2004"
"text#1b42d6b0f44d5f20fe5b5c5cd0af8f4c","幸せになれよ、樹。","text#1b42d6b0f44d5f20fe5b5c5cd0af8f4c","kamishiro_2004"
"text#b6a1310dc97c188ce8cc71cd2dcfbdbb","そして神代が乗った船は、あっという間に水平線の彼方に消え去った。","text#b6a1310dc97c188ce8cc71cd2dcfbdbb",""
"text#c20fe2f6451d48adb191880b6a1c2d43","……樹くん。","text#c20fe2f6451d48adb191880b6a1c2d43","ichinose_utaha"
"text#9c3e8a205c6f97a1859da394758e7464","僕の隣にやってきた歌葉は、不安そうな眼差しを僕に向けた。","text#9c3e8a205c6f97a1859da394758e7464",""
"text#08648eff924aa70f02c68d398e22154d","歌葉……。","text#08648eff924aa70f02c68d398e22154d","amazawa_itsuki"
"text#9fad4edbec07904e37d49b0391b06df7","もう、過去を変えることはできない。[l]
彩葉と千世ばあちゃんを、助けられない。","text#9fad4edbec07904e37d49b0391b06df7",""
"text#8883c5df98e329ba3d4f0167bddd4f73","……ごめん。","text#8883c5df98e329ba3d4f0167bddd4f73","amazawa_itsuki"
"text#e03eecb4c92fbb4113dcf0c8f20f4153","やっとの思いで、その一言だけを口にした。","text#e03eecb4c92fbb4113dcf0c8f20f4153",""
"text#57725e9b916a4631841943e49d4397ea","僕は、歌葉との約束を果たすことができなかった。","text#57725e9b916a4631841943e49d4397ea",""
"text#fd0465cc2081081ad5223a15904b0901","い、いやだ……。","text#fd0465cc2081081ad5223a15904b0901","ichinose_utaha"
"text#7901b1565203503f616924216974134f","おねえちゃん……[l]おねえちゃーーーん！","text#7901b1565203503f616924216974134f","ichinose_utaha"
"text#719af26ff52c3f110fd42c9729f60846","僕は膝をついて泣く歌葉を前にして、ただ立ち尽くすことしかできなかった。","text#719af26ff52c3f110fd42c9729f60846",""
"text#7ddcb298cd80247e53d41d7fd21e893d","事件の後、神代は約束通り母さんの身柄を解放してくれた。[l]
そして神代は自身のあらゆる痕跡を消して、行方をくらませた。","text#7ddcb298cd80247e53d41d7fd21e893d",""
"text#6e87203578c79eca58047ea35969159d","僕の写った古い写真やネガは、一つ残らず神代によって処分されてしまっていた。","text#6e87203578c79eca58047ea35969159d",""
"text#bf72c0900556754952711cb77b62e169","過去へ飛ぶことは、できなくなったのだ。","text#bf72c0900556754952711cb77b62e169",""
"text#6f8f2f5a50806ef775dcc8a8bc2d5c8f","事件の後、僕はDNA鑑定を受けることになった。[l]
そして僕は佐倉 陸であることが確認され、戸籍も回復されたのだ。","text#6f8f2f5a50806ef775dcc8a8bc2d5c8f",""
"text#4df54ed6ba075517bee9b2cda4ceffdf","それから僕は式音島に戻り、写真館で母さんと2人で暮らし始めた。","text#4df54ed6ba075517bee9b2cda4ceffdf",""
"text#302625146bf3a0649641a4791bb2204d","この場所には、あまりにも辛い思い出が多い。","text#302625146bf3a0649641a4791bb2204d",""
"text#1482a88791ae05c9e92d3c29ab2d3a97","それでも写真館は、本当の家族が暮らしていた場所だ。[l]
この場所を手放すことは、僕たちにはできなかった。","text#1482a88791ae05c9e92d3c29ab2d3a97",""
"text#9f626a0d74dd09680a8e859774bcb88f","いまは2022年の夏。[l]
最後の事件から、18年の時が経過していた。","text#9f626a0d74dd09680a8e859774bcb88f",""
"text#93a9f099e15c3468cc09dd20ad253518","いつものように、客の数は少ない。[l]
ありふれた、ひと夏の1日だった。","text#93a9f099e15c3468cc09dd20ad253518",""
"text#8fd83a3cc86b4a94b22ce49ce3fb2661","そんなことを考えていると、懐かしい人が顔を見せてくれた。","text#8fd83a3cc86b4a94b22ce49ce3fb2661",""
"text#862ddb95d5700c0ec2a436ee801789b9","久しぶり、陸くん。","text#862ddb95d5700c0ec2a436ee801789b9","ichinose_utaha_2022"
"text#3439ed55821c479bb745fab014c52a1e","元気にしてる？","text#3439ed55821c479bb745fab014c52a1e","ichinose_utaha_2022"
"text#667203649e70f5f31dc8a6d21790009d","……久しぶり。[l]
なんとかね。","text#667203649e70f5f31dc8a6d21790009d","sakura_riku"
"text#ec82efb082c408b7dded005166136577","事件の後、歌葉は家族と共に本土へ移り住むことになった。","text#ec82efb082c408b7dded005166136577",""
"text#51a04df07d09ad696b611b4193f54472","彩葉との思い出が多いこの島に住み続けるのが辛いからだと、
以前彼女から聞いたことがある。","text#51a04df07d09ad696b611b4193f54472",""
"text#3492071f6928b07a46797e97f2ffbf63","すっかり、写真屋さんが板についてるね。","text#3492071f6928b07a46797e97f2ffbf63","ichinose_utaha_2022"
"text#a8634389236b2da33887b2b914f8858c","1年前、母さんは病気で亡くなった。[l]
そして僕が、このサクラ写真館の跡を継ぐことになったのだ。","text#a8634389236b2da33887b2b914f8858c",""
"text#c8aed9689ed4f8b3e8a02d22a9015dde","島民のみんなの支えのおかげで、なんとか今日まで写真館を続けられている。","text#c8aed9689ed4f8b3e8a02d22a9015dde",""
"text#924e51660c8e0d429923e5d183388cf3","今日はね、お姉ちゃんの命日なの。","text#924e51660c8e0d429923e5d183388cf3","ichinose_utaha_2022"
"text#77d1d8b988bfc1ac63c0ca313cd6fafe","もちろん、歌葉の訪問の理由にも気づいていた。","text#77d1d8b988bfc1ac63c0ca313cd6fafe",""
"text#c0af2b41acdcaf5dd09c66b2728984e3","忘れるわけがない。[l]
あの日からずっと、僕は後悔し続けてきたのだから。","text#c0af2b41acdcaf5dd09c66b2728984e3",""
"text#66b7daa1279d55deb240d2f3ac8adaa8","……千世ばあちゃんと久美子さんにも、お線香を上げさせてもらえないかな？","text#66b7daa1279d55deb240d2f3ac8adaa8","ichinose_utaha_2022"
"text#68b614c203e1d82867747707ad69f288","もちろんだ、上がっていってくれ。","text#68b614c203e1d82867747707ad69f288","sakura_riku"
"text#92fb7af35dd9d6ffb84d3f37764db98a","……急に、お邪魔してごめんね。","text#92fb7af35dd9d6ffb84d3f37764db98a","ichinose_utaha_2022"
"text#16be213349303f3be18eb1114a6b71a6","お線香も上げさせてくれてありがとう。","text#16be213349303f3be18eb1114a6b71a6","ichinose_utaha_2022"
"text#d866f82d8aa9527d5e2b0a59007fee9d","いいんだ、またいつでも遊びに来てくれ。[l]
千世ばあちゃんと母さんも喜ぶよ。","text#d866f82d8aa9527d5e2b0a59007fee9d","sakura_riku"
"text#34ff0496313a13e5ded630464c58400d","僕がそう言うと、歌葉はほほ笑んでくれた。","text#34ff0496313a13e5ded630464c58400d",""
"text#ac24d9706793326ed3190556cb9d982e","そして歌葉は写真館を出ようとしたが、不意に立ち止まった。","text#ac24d9706793326ed3190556cb9d982e",""
"text#8a84f3a11ef8c8e3a0cf729d821a8f3d","それから急に僕の方を振り向くと、彼女はこう言った。","text#8a84f3a11ef8c8e3a0cf729d821a8f3d",""
"text#6e3cf842bcf7673874bd374394a29784","……あのね。","text#6e3cf842bcf7673874bd374394a29784","ichinose_utaha_2022"
"text#66bcc1f69a97edfe76f115f9a848e234","私、結婚するの。","text#66bcc1f69a97edfe76f115f9a848e234","ichinose_utaha_2022"
"text#0b759fd937ba5dd022b54a4e49ed679b","……そっか。","text#0b759fd937ba5dd022b54a4e49ed679b","sakura_riku"
"text#e7531aa9fc09d0bdf0525d3904e385ad","不意打ちだった。","text#e7531aa9fc09d0bdf0525d3904e385ad",""
"text#1a3e37b088187d11bfb311f63b8bf660","事件の後、僕は歌葉との距離感を掴めなくなってしまった。","text#1a3e37b088187d11bfb311f63b8bf660",""
"text#0877ce8641637be610291def3a78f70c","互いのことを、強く意識しあっていた。","text#0877ce8641637be610291def3a78f70c",""
"text#165d7fa016e19431ed109159a18c188b","それでも駄目だった。[l]
2人で顔を合わせるたびに、救えなかった人たちのことが頭をよぎった。","text#165d7fa016e19431ed109159a18c188b",""
"text#b5abc5f5b566a756b03798d9c97a6f21","そして歌葉は、そのまま本土へと引っ越してしまった。","text#b5abc5f5b566a756b03798d9c97a6f21",""
"text#e84ffb9124fc9983e8a75f7ecea98b68","そっかって……[l][chara_mod name=""ichinose_utaha_2022"" face=""sad"" time=""100""]それだけ？","text#e84ffb9124fc9983e8a75f7ecea98b68","ichinose_utaha_2022"
"text#097fba484c0b847d63ea1302646790fa","お、おめでとう。","text#097fba484c0b847d63ea1302646790fa","sakura_riku"
"text#39d3983e073a100d689b8c711cbe979a","……本当に、おめでとう。","text#39d3983e073a100d689b8c711cbe979a","sakura_riku"
"text#c98bd175e4b812aa441d909ca19dcc8e","複雑な気持ちだ。","text#c98bd175e4b812aa441d909ca19dcc8e",""
"text#60225fb151e2938f1cd4332abb5e815d","それでも彼女は、悲しみを乗り越えて幸せになろうとしている。","text#60225fb151e2938f1cd4332abb5e815d",""
"text#e46a69979cc007ee319583cea1267924","それを、心から祝ってあげたかった。","text#e46a69979cc007ee319583cea1267924",""
"text#d03102584486f39cf4834704550dee49","……遅いよ、もうっ。","text#d03102584486f39cf4834704550dee49","ichinose_utaha_2022"
"text#629614466dad8ddc66b689551c3708a5","歌葉のその言葉には、色んな意味が込められているような気がした。","text#629614466dad8ddc66b689551c3708a5",""
"text#c0624daf5200f513ce73a51b7a378f9e","歌葉が帰った後、僕は仕事が手につかなくなってしまった。[l]
そしてぼうっとしていると、また来客があった。","text#c0624daf5200f513ce73a51b7a378f9e",""
"text#bdb47c66654b6eee7d7cb82de0be4caf","……いらっしゃいませ。","text#bdb47c66654b6eee7d7cb82de0be4caf","sakura_riku"
"text#e1f118e729cde137bae7506f9e7cd8fa","初めて見る顔だ。[l]
この写真館では珍しい、新規の客だろうか。","text#e1f118e729cde137bae7506f9e7cd8fa",""
"text#38196cd35efbfe93957cbdcc9efa8807","ずいぶんと、立派な建物ですね。","text#38196cd35efbfe93957cbdcc9efa8807","gentleman"
"text#cb3667726d8035cfc2006388e089d6bb","どうやら観光客のようだ。[l]
この古い建物に釣られて観光客が訪れるのは、稀にあることだった。","text#cb3667726d8035cfc2006388e089d6bb",""
