"source","target","id","developer_comments"
"balloon#eb509050baf05ab95d1f67a825fdf73a","12:43に[emb exp='tf.names.NPC.yohei']とね。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]あの子は容疑者ではないから、その話は信じられそうだ。","balloon#eb509050baf05ab95d1f67a825fdf73a","NPC"
"balloon#49ae907be01054d648bf9c41ea928ef6","しかし[emb exp='tf.names.NPC.kumiko']が火元を発見したのは[font color=@3]12:53[resetfont]のことだ。","balloon#49ae907be01054d648bf9c41ea928ef6","NPC"
"balloon#ad9511dbc7365ee5059bebc3123b8183","君と[emb exp='tf.names.NPC.yohei']が会っていたのは事件の直前だが、アリバイが成立するとまでは……。","balloon#ad9511dbc7365ee5059bebc3123b8183","NPC"
"balloon#80bdafdd37662a98873e0ce8dd63b3a9","いや待てよ、犯人はカメラのレンズを利用していたんだったな。","balloon#80bdafdd37662a98873e0ce8dd63b3a9","NPC"
"balloon#6f0ef72638d34c3281391e66b6745280","そうだ、犯人が収れん火災を仕掛けた本当の時間は……！","balloon#6f0ef72638d34c3281391e66b6745280","主人公"
"balloon#cbf70537c6d6e5e536ea2e6f1338256b","しかし、それはぼや騒ぎと関係あるだろうか？","balloon#cbf70537c6d6e5e536ea2e6f1338256b","NPC"
"balloon#7e8d6cfefeda260aeb87ce752e3d4873","[emb exp='tf.names.NPC.kumiko']が火元を発見したのは、[font color=@3]12:53[resetfont]のことだ。","balloon#7e8d6cfefeda260aeb87ce752e3d4873","NPC"
"balloon#45f6afe13275627b06edbf7b8ec0ead3","君と[emb exp='tf.names.NPC.yohei']が会っていたのは事件の直前だが、[font color=@3]アリバイは成立しない[resetfont]だろう。","balloon#45f6afe13275627b06edbf7b8ec0ead3","NPC"
"balloon#f86654d0064de45d1969e8776c91ab58","[emb exp='tf.names.itsuki.yohei']の証言は信じてもらえたけど、ぼや騒ぎとは関係ないと思われてしまったな。","balloon#f86654d0064de45d1969e8776c91ab58","主人公"
"speaker_主人公","主人公","speaker_主人公",""
