"source","target","id","developer_comments"
"balloon#e6b3c179cf178b7dde319a5b9b9b2e0a","后来，[emb exp='tf.names.NPC.me']也调查了之前提到的时间……","balloon#e6b3c179cf178b7dde319a5b9b9b2e0a","机翻辅助：

后来，[emb exp='tf.names.NPC.me']也调查了之前提到的时间……

之后，[emb exp='tf.names.NPC.me']也在调查那个时间……"
"balloon#ffd961a67b5b92c33a53ecd42cd54d22","[emb exp='tf.names.NPC.itsuki']那边的状况怎么样了？","balloon#ffd961a67b5b92c33a53ecd42cd54d22","机翻辅助：

[emb exp='tf.names.NPC.itsuki']那边的状况怎么样了？

[emb exp='tf.names.NPC.itsuki']这边，是什么状况呢？

[emb exp='tf.names.NPC.itsuki']是怎样的状况呢？"
"balloon#20e30bc42a702e7c9b596013a7f3f5a6","那个时间……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]就是[emb exp='tf.names.itsuki_p.utaha']消失的时间吧。","balloon#20e30bc42a702e7c9b596013a7f3f5a6","机翻辅助：

那个时间……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]就是[emb exp='tf.names.itsuki_p.utaha']消失的时间吧。

那个时间……是[emb exp='tf.names.itsuki_p.utaha']不在的时间吧。[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]

就是说[emb exp='tf.names.itsuki_p.utaha']消失的时间。[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]"
"balloon#778f0b23fa5bb88c0d6364261bff827e","[emb exp='tf.names.NPC.me']们曾经误会过一次。","balloon#778f0b23fa5bb88c0d6364261bff827e","机翻辅助：

[emb exp='tf.names.NPC.me']们曾经误会过一次。

[emb exp='tf.names.NPC.me']们有一次误会了。"
"balloon#8c5148bda8d1d2985317bef287058183","这次一定要厘清正确的时间。","balloon#8c5148bda8d1d2985317bef287058183","机翻辅助：

这次一定要厘清正确的时间。

这次一定要弄清楚正确的时间。

这次一定要明确正确的时间。"
"balloon#2470e4d491e4188119a73e2f7b244777","[emb exp='tf.names.itsuki_p.me']也一样。","balloon#2470e4d491e4188119a73e2f7b244777","机翻辅助：

[emb exp='tf.names.itsuki_p.me']也一样。

这种心情[emb exp='tf.names.itsuki_p.me']也一样。

那种心情[emb exp='tf.names.itsuki_p.me']也一样。"
"balloon#35c6bfc9405e420121d1371badf56a7a","但不能在这时候又传达不确定的消息。","balloon#35c6bfc9405e420121d1371badf56a7a","机翻辅助：

但不能在这时候又传达不确定的消息。

但是在这里，又不能传达不确定的事情。

但是在这里，不能再传达不确定的事情。"
"SECRET_SELECTION/topic#dcb189045b3116d644dafa81df121803","重要的是${itsuki_p.utaha}……","SECRET_SELECTION/topic#dcb189045b3116d644dafa81df121803","机翻辅助：

重要的是${itsuki_p.utaha}……"
"SECRET_SELECTION/text1#18699204f93f9abd1a3af8f5ea7b40bc","最后目击到的时间对吧！","SECRET_SELECTION/text1#18699204f93f9abd1a3af8f5ea7b40bc","机翻辅助：

最后目击到的时间对吧！

是最后被目击的时刻吧！

是最后一次被目击的时间吧！"
"SECRET_SELECTION/text2#03674ab68a6622b35ceeecbc51edf3c8","发现不见了的时间对吧！","SECRET_SELECTION/text2#03674ab68a6622b35ceeecbc51edf3c8","机翻辅助：

发现不见了的时间对吧！

是注意到不在的时刻吧！"
"SECRET_SELECTION/text3#73f8c1d065d3ac700f33e26e06672d9c","和那两个时间有关对吧！","SECRET_SELECTION/text3#73f8c1d065d3ac700f33e26e06672d9c","机翻辅助：

和那两个时间有关对吧！

是关系着的2个时刻哟！

是有关系的两个时刻吧！"
"balloon#cb3992d3c27c13aca73447ba328a3e30","最后一次目击[emb exp='tf.names.NPC.utaha']的时间，是吗……","balloon#cb3992d3c27c13aca73447ba328a3e30","机翻辅助：

最后一次目击[emb exp='tf.names.NPC.utaha']的时间，是吗……

[emb exp='tf.names.NPC.utaha']最后被目击的时刻，啊……

[emb exp='tf.names.NPC.utaha']最后一次被目击的时间，是吗……"
"balloon#708c6d4d94388b1baf55a6cdae459e67","发现[emb exp='tf.names.NPC.utaha']不见的时间，是吗……","balloon#708c6d4d94388b1baf55a6cdae459e67","机翻辅助：

发现[emb exp='tf.names.NPC.utaha']不见的时间，是吗……

注意到[emb exp='tf.names.NPC.utaha']不在的时刻，啊……

注意到[emb exp='tf.names.NPC.utaha']不在的时刻，是吗……"
"balloon#e65f9d6af1d36f653de2775609920046","这两个和[emb exp='tf.names.NPC.utaha']有关的时间，是吗……","balloon#e65f9d6af1d36f653de2775609920046","机翻辅助：

这两个和[emb exp='tf.names.NPC.utaha']有关的时间，是吗……

和[emb exp='tf.names.NPC.utaha']有关的两个时刻，啊……

和[emb exp='tf.names.NPC.utaha']有关的两个时刻，是吧……"
"balloon#8f92efa0caa3f58d13ecee25d9c22742","对啊，[emb exp='tf.names.NPC.itsuki']说得没错。","balloon#8f92efa0caa3f58d13ecee25d9c22742","机翻辅助：

对啊，[emb exp='tf.names.NPC.itsuki']说得没错。

是啊，[emb exp='tf.names.NPC.itsuki']说得没错。

是啊，正如[emb exp='tf.names.NPC.itsuki']所说。"
"balloon#eb8a172409c4374178d20ca5fcd21019","[emb exp='tf.names.NPC.me']觉得很重要，也想知道这一点。","balloon#eb8a172409c4374178d20ca5fcd21019","机翻辅助：

[emb exp='tf.names.NPC.me']觉得很重要，也想知道这一点。

[emb exp='tf.names.NPC.me']觉得很重要，我想知道那里。

[emb exp='tf.names.NPC.me']觉得很重要，我想知道那个。"
"balloon#8a8b6c8bd774c7d579ccd125d2da9954","是的，我也有同样的心情。","balloon#8a8b6c8bd774c7d579ccd125d2da9954","机翻辅助：

是的，我也有同样的心情。

是的，是同样的心情。

是的，同样的心情。"
"balloon#7562c441da6481119e154c09de0674e8","虽然这么说很没出息……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble"" position=""right""]但光靠[emb exp='tf.names.NPC.me']一个人，或许无法找出真相。","balloon#7562c441da6481119e154c09de0674e8","机翻辅助：

虽然这么说很没出息……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble"" position=""right""]但光靠[emb exp='tf.names.NPC.me']一个人，或许无法找出真相。

似乎是在说些懦弱的话……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble"" position=""right""]只有[emb exp='tf.names.NPC.me']可能无法找到真相。

这话听起来好像很软弱……光靠[emb exp='tf.names.NPC.me']一个人，也许无法查明真相。[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble"" position=""right""]"
"balloon#b5f8911ddce5ad6e610f5354f50f652c","[emb exp='tf.names.NPC.itsuki']，我也想借助你的力量。","balloon#b5f8911ddce5ad6e610f5354f50f652c","机翻辅助：

[emb exp='tf.names.NPC.itsuki']，我也想借助你的力量。

希望你的力量也能让我依靠，[emb exp='tf.names.NPC.itsuki']。

[emb exp='tf.names.NPC.itsuki']，我也想依靠你的力量。"
"balloon#49ef12c3eeaf330d0808d9d8cdba4651","是，[emb exp='tf.names.itsuki.me']也想找到[emb exp='tf.names.itsuki.utaha']！","balloon#49ef12c3eeaf330d0808d9d8cdba4651","机翻辅助：

是，[emb exp='tf.names.itsuki.me']也想找到[emb exp='tf.names.itsuki.utaha']！

是的，[emb exp='tf.names.itsuki.me']也想找到[emb exp='tf.names.itsuki.utaha']！"
"balloon#d1292e5c06140d4206f0cba2d7ad90be","[emb exp='tf.names.itsuki.utaha']，再等我一下……","balloon#d1292e5c06140d4206f0cba2d7ad90be","机翻辅助：

[emb exp='tf.names.itsuki.utaha']，再等我一下……

[emb exp='tf.names.itsuki.utaha']，再等一下……

[emb exp='tf.names.itsuki.utaha']，再等等……"
"balloon#9cc8a1c11d370b93276d28c0e49db54f","让我们重新洗刷一下[emb exp='tf.names.itsuki.utaha']的目击情报吧。","balloon#9cc8a1c11d370b93276d28c0e49db54f","机翻辅助：

让我们重新洗刷一下[emb exp='tf.names.itsuki.utaha']的目击情报吧。

让我们重新梳理[emb exp='tf.names.itsuki.utaha']的目击情报。

我们重新调查一次目击情报吧。[emb exp='tf.names.itsuki.utaha']"
"speaker_主人公","主人公","speaker_主人公",""
