"source","target","id","developer_comments"
"text#cac86f2317798f150e60d681868b2ab2","オプション","text#cac86f2317798f150e60d681868b2ab2",""
"text#3c3fb2268c5be57c407025e5f4285c49","- テキスト表示速度","text#3c3fb2268c5be57c407025e5f4285c49",""
"text#94696ab39794b74698af38a9958f2eec","遅","text#94696ab39794b74698af38a9958f2eec",""
"text#4325df71731e219dcaf9f279cde5a0d8","速","text#4325df71731e219dcaf9f279cde5a0d8",""
"text#ea92a209fde58b44260acfcfce26d5f4","- SKIP対象範囲","text#ea92a209fde58b44260acfcfce26d5f4",""
"text#d97a88187c00ae8bacd303c99666d230","すべて","text#d97a88187c00ae8bacd303c99666d230",""
"text#cd6090e7afef9d420dbb08ec813f25a3","既読のみ","text#cd6090e7afef9d420dbb08ec813f25a3",""
"text#a61717ec853f65e613504d0c69f86dfd","- AUTO待ち時間","text#a61717ec853f65e613504d0c69f86dfd",""
"text#c5d52d974e99d889023f259404007fd6","- BGM音量","text#c5d52d974e99d889023f259404007fd6",""
"text#86eff5beb0a6602b9aadc00d1a426f40","- SE音量","text#86eff5beb0a6602b9aadc00d1a426f40",""
"text#884ac8fbfea98206e22a1184127b7f65","- タブ位置の記憶","text#884ac8fbfea98206e22a1184127b7f65",""
"text#6afad7dd7086b95b2e2368cb9b06bb13","記憶しない","text#6afad7dd7086b95b2e2368cb9b06bb13",""
"text#67a50d96cad78788b17ea6f63daf6f77","記憶する","text#67a50d96cad78788b17ea6f63daf6f77",""
"text#22b4c3a70e191a7af5db419565e869d2","- スクリーンモード","text#22b4c3a70e191a7af5db419565e869d2",""
"text#278138ae7ca7255c43f0d5b50b5a9b15","フルスクリーン","text#278138ae7ca7255c43f0d5b50b5a9b15",""
"text#b116872cef71a770f57c649c039c6ad0","ウィンドウ","text#b116872cef71a770f57c649c039c6ad0",""
