"source","target","id","developer_comments"
"balloon#bea3ad05045bfb80c44de51c38537d60","不管多小的事情都好，有没有想起什么。","balloon#bea3ad05045bfb80c44de51c38537d60","机翻辅助：

不管多小的事情都好，有没有想起什么。

再小的事也没关系，有没有什么能想起的事？

什么小事都可以，有什么想起来的吗？"
"balloon#25ad8b98320904590377880eff6a1df6","如果大家难以启齿，就先告诉爸爸吧。","balloon#25ad8b98320904590377880eff6a1df6","机翻辅助：

如果大家难以启齿，就先告诉爸爸吧。

如果对大家很难说的话，首先要告诉爸爸。

如果有难以对大家说的话，就先告诉爸爸。"
"balloon#55caf1dc885ab1e8ed1cba946a501410","只有[emb exp='tf.names.NPC.me']相信你哦。","balloon#55caf1dc885ab1e8ed1cba946a501410","机翻辅助：

只有[emb exp='tf.names.NPC.me']相信你哦。

因为只有[emb exp='tf.names.NPC.me']相信你。

只有[emb exp='tf.names.NPC.me']相信你。"
"balloon#f3ca29f475f5238681e588e339eceba9","站在[emb exp='tf.names.itsuki.me']这边的，或许只有[emb exp='tf.names.itsuki.NPC']而已……","balloon#f3ca29f475f5238681e588e339eceba9","机翻辅助：

站在[emb exp='tf.names.itsuki.me']这边的，或许只有[emb exp='tf.names.itsuki.NPC']而已……

[emb exp='tf.names.itsuki.me']的伙伴可能只有[emb exp='tf.names.itsuki.NPC']……

[emb exp='tf.names.itsuki.me']的伙伴，也许只有[emb exp='tf.names.itsuki.NPC']……"
"balloon#6ce473837e3f396cfed2966c9a0e40ff","……其实[emb exp='tf.names.NPC.me']也有些在意。","balloon#6ce473837e3f396cfed2966c9a0e40ff","机翻辅助：

……其实[emb exp='tf.names.NPC.me']也有些在意。

……其实[emb exp='tf.names.NPC.me']也有点在意。"
"balloon#c4543cf4b6a4f2dc3cf15b6b7f0fd781","就是今天早上，我去厨房擦手上的血时。","balloon#c4543cf4b6a4f2dc3cf15b6b7f0fd781","机翻辅助：

就是今天早上，我去厨房擦手上的血时。

今天早上去厨房擦手上的血的时候。

今天早上，我去厨房擦手上的血。"
"balloon#d4f03992a6279cfe5275ae859dd868a4","生前爱干净的[emb exp='tf.names.NPC.chiyo']竟然会忘记收起来，让我印象深刻……","balloon#d4f03992a6279cfe5275ae859dd868a4","机翻辅助：

生前爱干净的[emb exp='tf.names.NPC.chiyo']竟然会忘记收起来，让我印象深刻……

生前喜欢干净的[emb exp='tf.names.NPC.chiyo']很少见，给我留下了深刻的印象……

[emb exp='tf.names.NPC.chiyo']生前很爱干净，却忘记收起来，这是很少见的，我印象深刻……"
"balloon#4137920f15093f552ca6b806a5374218","虽然不知道跟事件有没有关系，但沥水篮里只留下一个[font color=@3]咖喱盘[resetfont]。","balloon#4137920f15093f552ca6b806a5374218","机翻辅助：

虽然不知道跟事件有没有关系，但沥水篮里只留下一个[font color=@3]咖喱盘[resetfont]。

虽然不知道和事件有没有关系，但是在水篮子里只剩下一个咖喱盘。[font color=@3][resetfont]

虽然不知道跟案子有没有关系，但滤水篮里只剩下一个咖喱盘。[font color=@3][resetfont]"
"balloon#4127e6a40de73ff8b9ff2b2ae12ef841","那是……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""][emb exp='tf.names.itsuki.me']一个人吃完咖喱之后[font color=@3]自己洗的盘子[resetfont]。","balloon#4127e6a40de73ff8b9ff2b2ae12ef841","机翻辅助：

那是……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""][emb exp='tf.names.itsuki.me']一个人吃完咖喱之后[font color=@3]自己洗的盘子[resetfont]。

那是……确实是[emb exp='tf.names.itsuki.me']一个人吃完咖喱后自己洗的盘子。[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""][font color=@3][resetfont]

那是因为……好像是[emb exp='tf.names.itsuki.me']一个人吃完咖喱后自己洗的盘子。[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""][font color=@3][resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
