"source","target","id","developer_comments"
"[0]/title","はじめから","[0]/title","id: prologue1"
"[1]/title","調査フェーズ","[1]/title","id: prologue2"
"[2]/title","投票フェーズ終了後","[2]/title","id: prologue3"
"[3]/title","はじめから","[3]/title","id: CHAPTER1_1"
"[4]/title","調査フェーズ","[4]/title","id: CHAPTER1_2"
"[5]/title","投票フェーズ後","[5]/title","id: CHAPTER1_3"
"[6]/title","選択肢：島民の写真","[6]/title","id: CHAPTER1_4"
"[7]/title","BAD END1「身元不明の死体」","[7]/title","id: CHAPTER1_5"
"[8]/title","BAD END2「身元不明の焼死体」","[8]/title","id: CHAPTER1_6"
"[9]/title","BAD END3「身元不明の死体」","[9]/title","id: CHAPTER1_7"
"[10]/title","はじめから","[10]/title","id: CHAPTER2_1"
"[11]/title","調査フェーズ","[11]/title","id: CHAPTER2_2"
"[12]/title","投票フェーズ終了後","[12]/title","id: CHAPTER2_3"
"[13]/title","選択肢：子供たちの写真","[13]/title","id: CHAPTER2_4"
"[14]/title","BAD END4「2人の死体」","[14]/title","id: CHAPTER2_5"
"[15]/title","BAD END5「2人の死体」","[15]/title","id: CHAPTER2_6"
"[16]/title","BAD END6「2人の死体」","[16]/title","id: CHAPTER2_7"
"[17]/title","はじめから","[17]/title","id: CHAPTER3_1"
"[18]/title","調査フェーズ","[18]/title","id: CHAPTER3_2"
"[19]/title","投票フェーズ終了後","[19]/title","id: CHAPTER3_3"
"[20]/title","選択肢：家族写真","[20]/title","id: CHAPTER3_4"
"[21]/title","BAD END7「焼け落ちた過去」","[21]/title","id: CHAPTER3_5"
"[22]/title","BAD END8「焼け落ちた過去」","[22]/title","id: CHAPTER3_6"
"[23]/title","BAD END9「焼け落ちた過去」","[23]/title","id: CHAPTER3_7"
"[24]/title","BAD END10「地下室の3人」","[24]/title","id: CHAPTER3_8"
"[25]/title","はじめから","[25]/title","id: CHAPTER4_1"
"[26]/title","調査フェーズ","[26]/title","id: CHAPTER4_2"
"[27]/title","投票フェーズ終了後","[27]/title","id: CHAPTER4_3"
"[28]/title","BAD END11「自殺」","[28]/title","id: CHAPTER4_4"
"[29]/title","BAD END12「自殺」","[29]/title","id: CHAPTER4_6"
"[30]/title","はじめから","[30]/title","id: CHAPTER5_1"
"[31]/title","調査フェーズ","[31]/title","id: CHAPTER5_2"
"[32]/title","投票フェーズ終了後","[32]/title","id: CHAPTER5_3"
"[33]/title","BAD END13「18年前の俺へ」","[33]/title","id: CHAPTER5_4"
"[34]/title","はじめから","[34]/title","id: FINAL_CHAPTER0"
"[35]/scenario_label","*写真館の後継ぎ","[35]/scenario_label","id: FINAL_CHAPTER1"
"[35]/title","ENDING1「写真館の跡継ぎ」","[35]/title","id: FINAL_CHAPTER1"
"[36]/scenario_label","*監禁された3人","[36]/scenario_label","id: FINAL_CHAPTER2"
"[36]/title","ENDING2「監禁された3人」","[36]/title","id: FINAL_CHAPTER2"
"[37]/scenario_label","*佐倉陸の痕跡","[37]/scenario_label","id: FINAL_CHAPTER3"
"[37]/title","ENDING3「佐倉 陸の痕跡」","[37]/title","id: FINAL_CHAPTER3"
"[38]/scenario_label","*神代優との対話","[38]/scenario_label","id: FINAL_CHAPTER4"
"[38]/title","ENDING4「神代 優との対話」","[38]/title","id: FINAL_CHAPTER4"
"[39]/scenario_label","*牧野の真実","[39]/scenario_label","id: FINAL_CHAPTER5"
"[39]/title","ENDING5「牧野の真実」","[39]/title","id: FINAL_CHAPTER5"
"[40]/title","ENDING6「このひと夏の十五年」","[40]/title","id: FINAL_CHAPTER6"
"[41]/title","EPILOGUE「その後」","[41]/title","id: FINAL_CHAPTER7"
"[42]/title","SECRET「佐倉 樹の“逆理”」","[42]/title","id: EPILOGUE"
