"source","target","id","developer_comments"
"balloon#e8dc585672cc4ac71df975d7b66ac8e7","気になることかぁ……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]その前に、[emb exp='tf.names.NPC.itsuki']に聞いてほしいことがあるの。","balloon#e8dc585672cc4ac71df975d7b66ac8e7","NPC"
"balloon#f80f411e9754d265160fa5d53820bad3","聞いてほしいこと？","balloon#f80f411e9754d265160fa5d53820bad3","主人公"
"balloon#ded8af706cfbd4f0af4fcbac5129fed9","そう……[l][chara_mod time=""@f1"" name=""NPC"" face=""smile""][emb exp='tf.names.NPC.itsuki']には見られていたと思うから、先に言っておくね。","balloon#ded8af706cfbd4f0af4fcbac5129fed9","NPC"
"balloon#24822e19258392c4903b1c61ed85584d","[emb exp='tf.names.NPC.me']は、[font color=@3]台所に出入りした[resetfont]の。","balloon#24822e19258392c4903b1c61ed85584d","NPC"
"balloon#4f49952d86f8690c6e2df69452c8d557","時計を見ていたから覚えているけど、たしか[font color=@3]14:38[resetfont]ごろのことだよ。","balloon#4f49952d86f8690c6e2df69452c8d557","NPC"
"balloon#d353da935d0e3f81fc231ef2d1ede73d","そう、[emb exp='tf.names.itsuki.me']は[font color=@3]14:38[resetfont]ごろ[font color=@3]台所から出てくる[emb exp='f.npc_nickname'][resetfont]を居間から目撃した。","balloon#d353da935d0e3f81fc231ef2d1ede73d","主人公"
"balloon#48e285f2b1a8978b439f37993b1d57d2","[emb exp='tf.names.itsuki.me']も見ていたことだから、この情報は間違いないな。","balloon#48e285f2b1a8978b439f37993b1d57d2","主人公"
"balloon#c5b7dc76e4d455b18b94a1e0de7a4769","こうして推理ノートに書き留めておけば、
いつでも手がかりを見直せるぞ。","balloon#c5b7dc76e4d455b18b94a1e0de7a4769","主人公"
"balloon#545d2b8e8267046635a1c23a15431a9a","それで、[emb exp='tf.names.NPC.me']が気になることなんだけど……","balloon#545d2b8e8267046635a1c23a15431a9a","NPC"
"balloon#e7f812c4d1574f7afcfb29fc56124359","スイカは[emb exp='tf.names.NPC.chiyo']が持ってくるまで、台所に置かれていたんだよね。","balloon#e7f812c4d1574f7afcfb29fc56124359","NPC"
"balloon#1830e8a53fa9b68561faa5c1c0d3de53","だから[emb exp='tf.names.NPC.me']のあとで、[font color=@3]台所に入った人の中に犯人がいる[resetfont]と思うんだ！","balloon#1830e8a53fa9b68561faa5c1c0d3de53","NPC"
"balloon#4fda6593f0e30a14f21d832ec54dee27","たしかに、自分よりあとに[font color=@3]スイカのある台所に入った人[resetfont]のことは気になるだろうな。","balloon#4fda6593f0e30a14f21d832ec54dee27","主人公"
"balloon#60416de892ee3f85af93a30e78c7a744","[emb exp='f.npc_nickname']の疑問をノートに書き留めたぞ。","balloon#60416de892ee3f85af93a30e78c7a744","主人公"
"balloon#72d59e943eee0394d31f03ee64072330","でも、どうやって疑問に答えよう……。","balloon#72d59e943eee0394d31f03ee64072330","主人公"
"balloon#9fe601651b6ecd08421317a2a9ceaaf4","[emb exp='tf.names.NPC.me']のあと、誰かが台所に入ったはずだよ。","balloon#9fe601651b6ecd08421317a2a9ceaaf4","NPC"
"balloon#ed64cea52d3b84a129e37b6dc5e61c1d","答えがわかったら、[emb exp='tf.names.NPC.me']に教えてね！","balloon#ed64cea52d3b84a129e37b6dc5e61c1d","NPC"
"balloon#e790a2c6c17c0fe0a701a8223d51d397","わかったよ、[emb exp='f.npc_nickname']。","balloon#e790a2c6c17c0fe0a701a8223d51d397","主人公"
"balloon#989ba984724f7855e15dba66789f062a","ありがとね、[emb exp='tf.names.NPC.itsuki']！","balloon#989ba984724f7855e15dba66789f062a","NPC"
"balloon#10eeadde56d22aa472d18940b68db283","あと、念のため言うけど……。","balloon#10eeadde56d22aa472d18940b68db283","NPC"
"balloon#fd5b99d8f814853f7ab4ed277454b51b","[emb exp='tf.names.NPC.me']は、絶対に犯人じゃないからね！","balloon#fd5b99d8f814853f7ab4ed277454b51b","NPC"
"balloon#b41f9e8c1f7617ae13f4a54ea13981a2","[emb exp='f.npc_nickname']から得た手がかりについて、他の人がなにか知っているかもしれない……","balloon#b41f9e8c1f7617ae13f4a54ea13981a2","主人公"
"balloon#d60034d92d52f3966e151906a304e5dd","よし、他の人とも話してみて、[font color=@3]手がかりについて質問[resetfont]してみよう。","balloon#d60034d92d52f3966e151906a304e5dd","主人公"
"speaker_主人公","主人公","speaker_主人公",""
