"source","target","id","developer_comments"
"text#cac86f2317798f150e60d681868b2ab2","OPTION","text#cac86f2317798f150e60d681868b2ab2","机翻辅助：

OPTION

选项卡页面上创建或编辑条目

选项。"
"text#3c3fb2268c5be57c407025e5f4285c49","- 文字显示速度","text#3c3fb2268c5be57c407025e5f4285c49","机翻辅助：

- 文字显示速度

- 文本显示速度"
"text#94696ab39794b74698af38a9958f2eec","慢","text#94696ab39794b74698af38a9958f2eec","机翻辅助：

慢

延迟

迟"
"text#4325df71731e219dcaf9f279cde5a0d8","快","text#4325df71731e219dcaf9f279cde5a0d8","机翻辅助：

快

速

速度"
"text#ea92a209fde58b44260acfcfce26d5f4","- SKIP对象范围","text#ea92a209fde58b44260acfcfce26d5f4","机翻辅助：

- SKIP对象范围"
"text#d97a88187c00ae8bacd303c99666d230","全部","text#d97a88187c00ae8bacd303c99666d230","机翻辅助：

全部"
"text#cd6090e7afef9d420dbb08ec813f25a3","只读取已读","text#cd6090e7afef9d420dbb08ec813f25a3","机翻辅助：

只读取已读

仅已读

只有已读"
"text#a61717ec853f65e613504d0c69f86dfd","- 等待时间","text#a61717ec853f65e613504d0c69f86dfd","机翻辅助：

- 等待时间

- AUTO等待时间

- 自动等待时间"
"text#c5d52d974e99d889023f259404007fd6","- BGM音量","text#c5d52d974e99d889023f259404007fd6","机翻辅助：

- BGM音量

- 背景音乐音量"
"text#86eff5beb0a6602b9aadc00d1a426f40","- SE音量","text#86eff5beb0a6602b9aadc00d1a426f40",""
"text#884ac8fbfea98206e22a1184127b7f65","- 记忆分页位置","text#884ac8fbfea98206e22a1184127b7f65","机翻辅助：

- 记忆分页位置

- 标签位置的记忆

- 存储标签位置"
"text#6afad7dd7086b95b2e2368cb9b06bb13","不记忆","text#6afad7dd7086b95b2e2368cb9b06bb13","机翻辅助：

不记忆

不记得了

不记得"
"text#67a50d96cad78788b17ea6f63daf6f77","记忆","text#67a50d96cad78788b17ea6f63daf6f77","机翻辅助：

记忆

记住"
"text#22b4c3a70e191a7af5db419565e869d2","- 全屏幕模式","text#22b4c3a70e191a7af5db419565e869d2","机翻辅助：

- 全屏幕模式

- 屏幕模式"
"text#278138ae7ca7255c43f0d5b50b5a9b15","全屏幕","text#278138ae7ca7255c43f0d5b50b5a9b15","机翻辅助：

全屏幕

全屏

全面屏幕"
"text#b116872cef71a770f57c649c039c6ad0","视窗","text#b116872cef71a770f57c649c039c6ad0","机翻辅助：

视窗

窗口"
